Topic title: 普腾与吉利签署合约 首相：大马绝对不会丧失主权
username,date,text
Cari_CYJ,20170623,"普腾与吉利汽车公司于6月23日（星期五）签署最终协议后，首相拿督斯里纳吉保证，大马绝对不会丧失主权。图片来源：新海峡时报根据星洲日报报道，多元资源工业旗下的普腾汽车（Proton）正式与中国浙江吉利汽车签署合约，出售普腾49.9%股权给吉利。纳吉在签约仪式上表示，吉利是普腾最好的合作伙伴，并对吉利的未来发展有信心。他以不点名方式，指出“某人”希望普腾100%都是由大马所拥有，这样会造成更大的损失，削弱竞争力。他表示，正式签约以后，普腾将会有全新的开始，并希望国产车能够在大马或全球的市场取得成功。他保证，大马绝对不会丧失普腾汽车的主权。"
肥仔聪,20170623,"难道丧失了你会大声地公布出来吗？"
SanShu,20170623,"这次，不知道又有多少是袋袋平安!？"
亲中勇男,20170623,"即使马政府将普滕汽车公司100%股份售卖给中国吉利汽车有限公司，马来西亚也不会失去国家的主权.不过会丧失普滕汽车公司的控制权。"
Mr.Bean,20170623,"张少林有一首新歌也有唱到这个新闻，卖给李书福。"
noman,20170623,"拿雞白：我不賣破銅，河馬哪裏有錢血拼? 況且1mdb的錢被鎖到死死不能用！接下來就是等旅游稅來花咯！"
大黑天,20170623,"山藩的 保證 不能信的"
PRM,20170623,"可以宣布公共假期吗？卖掉proton 这种举国共庆的好事那里可以没有public holiday? "
大黑天,20170623,"能信的話 以前 英殖民時代 馬來山藩都不被重用"
熊猫一号,20170623,"娶了老婆 还附送一个岳母.买了lotus附送proton啊~~希望马奶人不要反感这个poton还有唐山的血在你面前..其实他们也不愿意的"
RingRingRing,20170623,"丧失了 你也没辙 dont talk Cxxk rf"
aciaco,20170623,"照片中是哪一款车呀？"
BBA88,20170623,"废话人家要的不是你那只thunder cat"
7icecube,20170623,"曾几何时也有个部长上电视拍椅拍桌拍心肝头讲GST不会给百姓任何负担。。。。"
loongken,20170623,"能出售的都七七八八了。"
盡用話題,20170623,"欠别人那么多钱，还讲什么0主权！"
pingshien,20170623,"吉利博越"
使用者,20170623,"話說這次的簽約你簽了多少，這些錢你會哪來做什麼？"
kent05,20170623,"严格来说是山寨thundercats"
BACFREE,20170623,"老千讲的话可以信?"
BBA88,20170623,"它们山寨人家的然后很自豪的说是原创"
kentpua,20170623,"马来西亚的国宝肥婆賣吗？"
50912cmea,20170623,""
50912cmea,20170623,""
funny5635,20170623,"感觉国产车越来越好咯。哈哈哈～"
aciaco,20170623,"那么以后买了PROTON人家问，你开什么车。。。。。 中国车。。。"
pingshien,20170623,"还差0.01%股权。不算 "
jasonwong8228,20170623,"最重要的是会赚钱"
lumixcer,20170623,"这家东西吞掉马币多少个亿？正佗衰家。。"
feilong,20170623,"还提供最后一笔11亿马币作为研发资金补贴，明明是私人公司。"
澎湃三国杀,20170624,"哈哈，你期待的中国车很快就会在大马遍地开花"
淋神无敌,20170624,"鸡鸡做的很好！给老马一个教训！！都不知道楼上的酸民们在酸晓什么！"
lam69,20170624,"这当然，品质越来越好，价钱越来越便宜。以后不能叫“国产车”要改口叫“联产车”。"
