Topic title: 大马油价
username,date,text
david999,20170624,"国际油价下跌时，政府说，因为国际油价下跌，影响马币所以大马油价上升。国际油价上升时，政府说，油价是跟着国际油价浮动的，说以要上涨。全部都由政府讲到完了 lo 。"
完美@1010,20170624,"官字两把口  "
TheFear6769,20170624,"你现在才知道？？？                            "
protonjbagain,20170624,"那么，近来马币上了些国际原油价下了些。所以这两三个星期马来西亚油价也下了些。这也是＂政府讲到完了 lo 。＂ ？？你要不要开多一个＂贴＂申诉一下 ？？"
科学就是未来,20170624,"大选要到了，红豆兵要时时刻刻保温华人对政府的不满，不然输掉议席，尤其是DAP 最宝贵的penang 州，就哭没有眼泪了。现在selangor 马来票不知道能不能保住，但是最重要就是保DAP 议席，就像Perak 一样，保住DAP 议席，就是红豆兵最想看到的。所以需要保温华人不满情绪，不然华人不投票，就完蛋了。"
512MB,20170624,"楼上的马华网络兵团Raya也努力开工。"
loongken,20170624,"当着自己的菜單ー样不滿意就改。"
david999,20170624,"我开不开贴关你P事？"
david999,20170624,"我在讲油价，关大选什么P事，文不对题。"
爱林宜,20170624,"国际油价连跌3个星期，我们的汽油价不是跟着连跌3个星期吗？真的不懂LZ发这种帖子到底发生什么事？因为跌不够多所以LZ看不开 ？"
科学就是未来,20170624,"其实只是借意骂政府而已，保温华人对政府的不满大选近了，各路人马开工了，红豆兵蓝教兵都开工了最近一灯大师的贴也开很多说回油价，最近中东局势出现不安定，可能引发新的战争，反而油价出现连续跌幅，风暴前的奇像，油价大起应该是定居了，等时机开炮而已。美国一定搞事的，石化工业要赚大钱了"
labster,20170624,"大馬的油價不是已經連續3個星期下跌了嗎？還有，國際油價跌的是原油，汽車用的是汽油。。你知道什麼是原油嗎？CRUDE OIL VS PETRO..."
labster,20170624,"紅豆冰還有火箭議員市場都有意無意誤導。。。紅豆冰連汽油和原油傻傻分不清楚。跌價的是國際油價，我們用的汽油價格是不能直接用原油價格算的。因為汽油還有添加劑，加工費用，運輸費用，油站的賺等等。。。就算國際原油跌到零，汽油也可能要賣1塊錢。。"
stupid819,20170624,"不是贪污 只是买贵了"
labster,20170624,"說回油價，現在美國的頁岩油已經發展成熟，成本也很低了。美國已經減少依賴中東，所以就算中東有事情，油價也很難大漲。加上中國工業放緩，減少了很多需求，其實現在原油庫存很多。。油價已經很難再漲。"
us2009,20170624,"油价起 石化就赚大钱?"
leouy,20170624,"升几角，掉几分"
lhchew,20170624,"除了油价，全部的物价嘛是郑虎掌控的！棺材价不懂郑虎有没有控制喽，这个要问一灯大师就知道了。"
杀轮大师,20170624,"楼主就是典型的穷逼，油价再低都觉得高，觉得油价高就不要驾车了吧，去坐公交。"
Daewood,20170624,"快去做官，以后任你讲"
cct2050,20170624,"来自淋党"
miloicekawkaw,20170624,"油价跌。。。。是为了安抚 Balik kampung 的话题不要讲油价贵。"
miloicekawkaw,20170624,"油价跌。。。。是为了安抚 Balik kampung 的话题不要讲油价贵。 "
cct2050,20170624,"霖徒期待马来西亚汽油价像委内瑞拉一样 4 分钱"
512MB,20170624,"楼上马华大话精崇拜贪污鸡与河马的砖戒名牌包包"
cct2050,20170624,"512 痴迷霖政棍的傻逼"
seankaz,20170624,"这里的确是官讲完的"
kmrddecade,20170624,"身在福中不知福的人，马来西亚石油是外国的半价，至于为什么那么便宜的油价却无法为国人带来福利，你就要去问商家了，那些抱怨很多说油价升害他们亏本的商家，换了大屋又换大车，你还相信他们问题是出在政府，我都不知道要怎么说你的智商。"
三傻Samsung,20170624,"楼主有数据吗？别随口说说就开贴哦！就拿最近每星期国际油价跟我国油价涨落来比较吧！免得落人口舌"
512MB,20170624,"马华大话精嘻嘻低2050只会车大炮人参公鸡"
科学就是未来,20170624,"现在石化产品都在起价，原料短缺，可以预估是把石化价格抬高的做法，等石油价钱再拉上去，石化产品再起价，赚翻天，现在还不知道石化公司趁现在石油价钱低，收了几多原料。当然我讲的都是那些搞上游的石化公司"
科学就是未来,20170624,"中国工业放缓？对一半，因为不是全部。我supplier 就是因为中国汽车行业大热，他们原料不够卖，现在不只吊高来卖，还因为宁愿得罪印度客户，也不愿意得罪中国客户，中国客户订单一定做，迟交货也交出来，印度一年也没有货给他们，搞到他们印度分行负责人也辞职不干。当然他们也不敢得罪大本营欧洲和高盈利的日本和韩国。页岩油只是美国拿来打击国际石油价格的一个武器，等世界成熟，搞几个国家出口不到油，拉高市场价格，到时美国石油也是大赚。需要压低价钱时候，页岩油就是借口。等高拉高价钱时候，页岩油就不是价钱阻力了。"
kitkatlow,20170625,"过去几个月每周浮动以来，请问有哪一次是国家原油价格下跌，然后我过油站价格上升的吗？说来听听。"
labster,20170625,"美國頁岩油的開採成本已經是在20美元以下一桶。http://www.zerohedge.com/news/20 ... rofitable-20-barrel在這個前提下，中東的原油已經沒有優勢。也是這個原因，opec減產也提升不了國際油價。另外還有其他非opeC 成員國情況險峻，委內瑞拉這樣的國家缺錢，就算拋售他們也要賣。根本不會理會opec減產協議，你們越減產，他就越賣多。"
kent05,20170625,"看来你患有失忆症国际原油跌国内油价升？在野党:二月汽油涨20仙不合理"
北方未明,20170625,"油降价期间，楼主却开贴靠北油政府涨油价。看来是太久没得喷了，忍不住要在这里大发泄。这样做也没错，免得心里和神经创伤。"
kitkatlow,20170625,"不是我有失忆症，而是你眼睛有问题。再看多一次我说什么：“过去几个月每周浮动以来，请问有哪一次是国家原油价格下跌，然后我过油站价格上升的吗？”“过去几个月每周浮动以来”我问的是“过去几个月每周浮动，就是2017 年 3 月尾开始执行的每周油价计算开始。说多一次，是2017 年 3 月尾你拿2 月的过期新闻来给我看做么？"
科学就是未来,20170625,"这是要拉低油价而制造出的利空消息，在高油价的时代，是没有人提到开采成本的。opec 减产不会造就油价低，因为opec 减产是美国设下的陷阱，opec 越减产，油价也会做出拉低，就如现在opec 减产后，美国以下季预估石油用量减低。美国自己储备油那么多，其实用量本来就是美国可以控制的，油价一向来都不是市场话事，而是后面玩家在搞鬼。Opec 虽然是石油出产国主要联盟，但是用量和买家都不是来自opec 国，主要还是背后有人在搞事。石化工业面临原材料不足，石油降价，本来就不会出现石化工业的原料会不足情况，可见背后有人在控制游戏。现在主要原料不足来自，工厂爆炸，员工罢工，生产线做维修。。。很巧的事"
科学就是未来,20170625,"那些愤青就是这样子，什么事都先鸟政府一轮。就如最近Caltex 跟15家油站业者断约，facebook 传到乱caltex 因为马来西亚政策和经济不行，会慢慢退出马来西亚市场，连我老婆都很失望讲以后没有caltex 打了（我两公婆最喜欢就是caltex 的油，虽然caltex 油站难找）。有人在网上大唱银行关分行，但是对那些新开的分行无视，最重要是唱衰大马政府而已。对于自己支持的党派就有1000个支持的理由，老马都变救国英雄，虽然几年前他们骂老马骂到乱"
labster,20170626,"這些世界大事其實也不是我們可以控制。但是我在想，如果油價繼續維持在40-45 一段時間，很多產油國都會很大件事。還有就是最近看了紀錄片，自動駕駛系統已經很成熟，過幾年內可能很多車都是自動駕駛。UBER 這類服務會用自動駕駛系統，美國，日本這些先進國家的汽車可能減少很多。"
protonjbagain,20170627,"我开不开贴关你P事 ？？的确不关我事 ！！但是，1.对你，开多几个贴可以收多些红豆主席，水箭或火炮什么的钱那可多好 ！！2.对我 ，，看这些说话不经大脑的贴是我的免费娱乐。明白没 ！！"
protonjbagain,20170627,"反正会有一些头脑简单，，，，嗯，，说单纯比较好避免板主扣分。。头脑单纯的拥护者会说＂官字两把口  ＇，你现在才知道那些蠢话，，嗯，，，那些单纯的话来鼓励他的。。LZ发这种帖子到底发生什么事？？说好听的是头脑单纯啦 ！！那不好听的真话呢 ？？？哈哈 ！！哈哈！！哈哈哈 ！！！"
杀龟大郎,20170627,"馬国的汽油價格,算的上是世界上最便宜之一!你們還嫌貴?照我看耒,你們很多是根本未擁有做車主資格的.只是Pokai車主而已!"
：》,20170627,"明天我肯定油价会上升，明早一定要去添油"
科学就是未来,20170628,"国际油价回升了，所以油价会小涨"
syncsw1,20170628,"我国目前的汽油价是跟着上星期的国际油价浮动的。照你看，从4月20号开始的油价（也就是下图红框过后的日子），应该要上升，还是下降，还是保持？"
syncsw1,20170628,"给你多一点资料，4月20日之前的那个星期，马币是升值的，从4.43起到4.40  你猜4月20日的油价是起还是跌？"
