Topic title: 华裔少女遇劫险遭掳走  向周围大声呼救无人理
username,date,text
CARI_KJW,20170625,"柔佛新山日前发生型鯆一歘鞄垴宗抢劫案，一鞧办名印裔刀匪痌鄏鑶在抢走寳耰了嵎蘽一名华裔少女的籫鹌轿车及财物后，还企图掳走少女！据星洲日报，这潢糥宀起案件于鳟瑏6月23日傍晚6韼蹅时左右发頶洝生在蚵寽新山士古褤稼凙来扶獮一家购物广场兖瞄的露天停车场，24岁的竈罝薨华裔女事主頧楛最终冒险跳车，才逃过一褉邴罖劫。该名印裔刀匪看起来横屭年全愉扂约20岁，留着一霏甖褻头短发，蓄有酧榻芴胡子。女事葅杄主李佳恩的譗檟但手机和遏闖现金都被该名刀匪劫走，损失逾1千800令吉，而迈威轿车如釅毱岲今也嫁驦冼不知所踪。当她前往警局报案时褋馆，才得知原月特緭来包括自己在鎍紅甇内，士古鞹瘤鐱来地弴瓲魌区当天已发生錸拭耯5起类似案件。截图自：面子书女事主妁仩怜的姽勎姐姐随后也透过面子书发文，除戭瀞鳉了呼吁民众帮忙寻回被劫走的饳唱迈威轿车外，也提醒民众出门在叨鎳外，一艟巁定钪霘要小心谨慎。她也透露，妹妹差点遭捊竈陴人掳走恀溴时，曾向周围的砷灝浺訥襱人瘠痔大声求助，但令歏眊頾人心寒尉虜困的是嚍沨聋，妹妹的顛忢身边竟没有庍鳗摰人妀鸂宂向她伸出援手。"
loongken,20170625,"除非你是武林高手会点穴不是打斗中错手弄死匪徒就会被控谋杀谁还敢去帮忙。"
Cinabaku,20170625,"华人父母都教的好，不管他人瓦上霜。我在sutera mall 看到的华人女子， 个个眼睛都长在头上。"
Cinabaku,20170625,"你看她也不过教人小心谨慎， 没呼吁拔刀相助"
kmrddecade,20170625,"听说很多人都说担忧马来西亚治安问题哦？是担忧自己安全问题呢？还是担忧马来西亚治安问题？"
512MB,20170625,"幸好不是发生在槟城，不然，马华民政网络兵团一定唱到几十页。"
thunder,20170625,"谁说不关事，这是淋神要赶走老巫的后遗症 ！"
gaomin,20170625,"对那些因反抗而被控的，感到难过。"
gaomin,20170625,"眼睛长在头上，跟不管他人瓦上霜有什么关系？"
浩浩荡荡,20170625,"这可是华人的优良传统啊"
Cinabaku,20170625,"发生事故时，明哲保身啊见高就拜，见低就踩啊。"
VINCENT@YONG,20170625,"发生那么多单，他们当地警方还是什么都没做- -谁知道是不是情侣在吵架？！之前试过帮忙结果还给人骂…现在都是无视好了……"
loongken,20170625,"这里做坏人有市场。"
Bryan@@@,20170625,"看了以上，还真是对大马华人无言。活该独立那么久被马来人欺负，不是没原因的"
Orochimaru,20170625,"可是马来人也没有帮忙喔？ 也是家庭教育有问题？"
hypersong,20170625,"马拉西亚的治安，特别是柔佛的真的是很差。警方又不作为，都去帮那鸡做事了，所以女生们能的话就尽量别独行吧，超危险的。。"
Orochimaru,20170625,"skudai皇后人你们真的是下衰我大蛇！不帮忙下次就轮到你们的妈妈，姐妹，女儿被抢！"
mark,20170625,"就算是在国阵的州属马华中立也能pusing给林神的, 因为林神没监督国阵的州属"
Bashmetviola,20170625,"柔佛，華人十個八個紋身的，但就是紋身nia"
gaomin,20170625,"你是大马华人？"
gaomin,20170625,"现在已经是2017，纹身，不代表什么。"
Bryan@@@,20170625,"是啊。。所以才会无言。 自己不想看到自己人变成那样子。只发现现在的华人越来越爱慕虚荣了。。自私自利的人很多"
Cinabaku,20170625,"华人和keling的事，能免则免吧"
SoulDeWayne,20170625,"遇到印度黑皮没有被性侵算是幸运了，破财挡灾。"
thunder,20170625,"我比较希望被抢的是部长高官的家人，不然就是警察的家人。"
Bashmetviola,20170625,"呵呵，那10仙硬幣放在耳朵呢？"
leo3_puff,20170625,"腫驚殭會告訴大家這只是個案"
super77,20170625,"这个受害者一边说别人不帮他，难道别人遇劫你也会帮咩，不是一样躲远远的。所以现在自己受害了，只能说活该。我之前也试过没人帮，不过我没埋怨 别人。因为别人迟早受到同样的对待。所以我只能说。。。。该死，活该。"
pcmont,20170625,"B不知道明祯几时回jb?!"
为人民服务,20170625,"MALL不会请保安人员吗？"
loneranger0536,20170625,"眾乳毛未乾小子騎單車逆行高速大道被撞反而撞人汽車騎士被控。你還敢救人嗎?是我頂多按汽車喇叭引人注意。"
魂斗罗,20170626,"你脑进水啊？ 大马马来人占百分之70%左右，华人20左右%印度10左右% ，加上那些死马来x 赶着华人balik China，请问华人在大马还有优势？反击他们？我估计你是马来人吧，是的话，tolong jgn halau cina balik china,skrg CHINA sudah belikan PROTON ,lambat LAMBAT MELAYSIAL jugak kene beli.."
为人民服务,20170626,"你必须练好金钟罩铁布衫，这样你就能在不伤害匪徒的情况下把他抓住。"
feyn4402,20170626,"那时你自卑的关系"
他旺,20170626,"这就是为什么每天都有华裔女子被异族强奸甚至轮奸的主要原因之一。华裔女子太喜欢到处乱跑了。"
Cinabaku,20170626,"那以后出门叫兄弟保护囖"
loongken,20170626,"这边的法律像你要配合给他搶就对了。"
samsilence,20170626,"自卫都可以说成是犯法。"
北方未明,20170626,"以后出门记得带键盘"
LoboSolitario,20170630,"前晚骑脚车遇到两个黑皮骑单车从后方接近我时说了些话，但我听不清楚就配合慢了下来，结果后座的就当下下单车，就在他说了一声jangan bising后，我自然反应就往后跳让我脚车往前方跌去，跟他面对面问他是要找架打吗？结果，他转身又坐回单车走了。。。 至今都搞不懂他们要干嘛，虽然很多人都跟我第一反应一样，必定是要打抢的。。。 "
loongken,20170630,"可能想抢你的脚车。"
kwai56,20170630,"現在的人都不會點穴，又沒有金鐘罩鐵布衫 ... 可是可以拍照報警 "
987563214145,20170714,"..................."
总司令,20170714,"二十四岁少女。"
