Topic title: 謝謝首相納吉的領導，馬幣匯美元漲幅比排第二人民幣高出一倍，成為亞洲最佳貨幣
username,date,text
一燈大師,20170701,"謝謝首相納吉的領導，馬幣匯美元漲幅比排第二人民幣高出一倍，成為亞洲最佳貨幣。反對黨想靠 1MDB 課題打擊自己國家、用鑽石話題羞辱首相夫人的陰謀，顯然不攻自破。在首相納吉的領導下，馬來西亞和各族人民再次戰勝反對黨，朝康莊的經濟展望邁進。 http://www.orientaldaily.com.my/s/202603"
李国锋,20170701,"JJDAP很快又来抹黑了。国家进步他们就想破坏。"
一燈大師,20170701,"再次謝謝首相納吉和國陣政府，使馬來西亞 #Negaraku 在亞洲脫穎而出，穩健發展。"
一燈大師,20170701,"難道中國政府被收買了，人民幣 放水？新加坡也被收買了，新幣 也放水？"
lhchew,20170701,"请问物价有下降了吗？？？没有啊！哪你这个灯孙儿酱高兴做什么？"
一燈大師,20170701,"馬來犀利呀。"
kwai56,20170701,"真的要說聲謝謝  出國回來後發現我國是沒有奸商的，東西都賣到這麼便宜 "
RonanGow,20170701,"停在4.29-4.30之間了，之前可以到4.26，但是1mdb那件事有去到4.29到現在，希望下星期可以看到4.25-4.20吧。"
李国锋,20170701,"看看自我矮化的JJDAP。"
李国锋,20170701,"去香港英国这些地方旅行，发现马来西亚真的是物廉价美。"
512MB,20170701,"许子根上台，降到3.50全马人民都支持民政。"
李国锋,20170701,"美国佬搞鬼，不断攻击马来西亚以及中国外汇。"
loongken,20170701,"怀念没 1MDB事件 三元多的日子。"
一燈大師,20170701,"是的。希望每季慢慢收回失地。"
一燈大師,20170701,"我在 foodcourt 留意到應該是 香港旅客，稱讚食物好吃又便宜。"
一燈大師,20170701,"都怪外國那些貪婪銀行經理，垂涎馬幣的價值，起 1MDB 尾注，造成傷害。Singapore Charges Ex-Falcon Bank Manager in 1MDB-Linked Case"
RonanGow,20170701,"現在馬幣一起就會有1mdb的新聞了"
huenyichong,20170701,"多几个月马股汇债变亚洲／世界的殿后时不知道大师如何解释"
RonanGow,20170701,"泰幣很強下"
loongken,20170701,"都是那个 【罪魁祸首】幹的好事。"
byte77,20170701,"只要蚁蚂公司还在，金山银山还是会搬完，趁机多换新币吧"
512MB,20170701,"因为肥刘玩模特送千万砖石项链向全世界证明马来西亚很有钱，所以马币起飞了"
fuxxu,20170701,"谢谢吉哥把马币跌幅第一，也把马币升幅第一，总体还需要加十倍努力，加油！"
雨后的秋林,20170701,"你这种贴只能骗只读国阵控制的媒体，而没什么上网的乡下人。你去看下bank negara网站的ringgit对外汇率，还是一樣低啊。比起两三年前，马币贬了20%到30%左右。"
李国锋,20170701,"多谢老马和JJDAP不断抹黑国家，造成政治不稳定，外资撤离。"
李国锋,20170701,"目前马来西亚靠中国资金，幸好纳吉有好政策，否则老马一定与慕尤丁推翻中庸的纳吉。"
一燈大師,20170701,"bloomberg 也是國陣控制媒體呀。"
icicic,20170701,"支持大师，马帀跌是全部林冠英的错，打倒火箭，打倒林冠英，支持巫统，支持马华，支持大师。马帀对美元，从3.2去到现在的四4.2，都是林冠英的错，谢谢纳吉。马帀对新元，从2.5去到现在的3.1，都是林冠英的错，谢谢纳吉。马帀对日元，从31去到现在的38，都是林冠英的错，谢谢纳吉。马帀对泰帀，从10去到现在的12，都是林冠英的错，谢谢纳吉。马帀对澳元，从2.7到现在的3.2，都是林冠英的错，谢谢纳吉。马帀对港帀，从40到现在的54，气死人，全部都是林冠英的错，谢谢纳吉。马帀对人民帀，40块到现在的63，气气死人，都是林冠英的错，谢谢纳吉。马帀对新台帀，从11到现在的14，天啊，这真的气气气死人了，都是林冠英的错，谢谢纳吉。好吧，说说菲律宾比索，从70到80，印尼盾，从26.8到现在的32.0，真的气气气气死人了，都是林冠英的错，谢谢纳吉。这是这七八年马帀的对外帀的走势，都怪林冠英，都是林冠英做了首长后搞到这样的，打倒林冠英，支持纳吉，支持大师，大师我爱你，哈哈！"
阿白,20170701,"还是一样4.29啊... 明年就4.50了"
icicic,20170701,"不好意思，又被打脸了，大师，我永远支持你，永远爱你。人民的记忆是不会消失的，哈哈！"
icicic,20170701,"看看自我矮化的JJMCA，哈哈！"
CjHyMC,20170701,"虽然我极度不喜欢希望联盟，但是还是有句话想吐个槽。虽然马币升值了，但是看到机票的价格，我还是准备一个心肺复苏器吧。"
samsilence,20170701,"越来越够力了~"
