Topic title: 林冠英刷新國家歷史記錄，成為首位被控上庭，卻還霸著官職不下台的首席部長
username,date,text
一燈大師,20170702,"林冠英刷新國家歷史記錄，成為首位被控上庭，卻還霸著官職不下台的首席部長。Guan Eng 'first and only' to cling on despite graft charges, claims BN 轉眼間，一年過去了，即使以兩項貪污罪被控上庭，還一個人獨攬 27 個官職和主席職，並無會議記錄賣地。這是大馬人民要的政治氣候嗎？ 換言之，若巫統各州的州務大臣也學林冠英一樣，大家會一樣支持嗎？"
ccsoon3279,20170702,"要大选了？ 先令他无法参选？？"
一燈大師,20170702,"是他自己要拖一年，拖到大選。否則爽爽快快，寧願站著死 不願跪著活、清者自清，早就審訊完畢了。現在拖了再拖，身有屎？ 有屎到自己也沒勝數？主动邀请反贪会录取口供林冠英冀厘清购屋案真相 - Malaysiakini"
richgod,20170702,"要説厚颜无恥頼权不下台的已成为国耻的鳮鳮敢認第2无人敢認第1还有槟城有没有林神夕阳黨的馬化冥症仔1样是等着吃白果吃香蕉。"
ccsoon3279,20170702,"被你说完我心中话了！ 给你赞 "
一燈大師,20170702,"距離 719 少過 3 個星期了。"
richgod,20170702,"林伯也很認同1人2届剛剛好，曹观友还需要你和水母扒舔多几下才能硬起来当正，有勞了。"
JowY,20170702,"Tony Pua 是毒瘤"
一燈大師,20170702,"Tony Pua 或許是反董卓聯盟的曹操，要當面插林冠英不容易呀，哈哈。"
512MB,20170702,"支持林冠英坐牢。许子根回来管理槟城。马华滚回家耕田。"
pcmont,20170702,"MO1就等美国公布身份了。。。。。。。。。。可能真的是林冠英！！！！！大家一定倒马华和民政。。。因为林冠英是马华和民政的的！！！！"
leouy,20170702,"这都是因为麻花亲手把安华送进了监狱，要是安华不进去，就会骗林冠英辞职了，当年麻花的首长阿都拉欣和未成年少女发生关系后就被安华骗到辞职了。"
kkk_0,20170702,"大馬司法中立的？"
一燈大師,20170702,"是神聖和公平。 就如安華被 8 個不同法庭、不同的法官、不同時間，判有罪。      "
洋葱小弟,20170703,"问题是 大马公民 都不让他下台啊。 全民 都一人十块 与神同在。不是他不要下台。是大家不要他下台的。"
finity,20170703,"全世界都知道是政治阴谋。这里的2750就曾开眼睛说谎。可怜的华人。这个年代还有汉奸"
阿白,20170703,"那鸡早已经破了一大堆历史记录, 全国人民已经被巫桶政府强奸到击败没感觉了"
seankaz,20170703,"嗯 这是大家想说的"
seankaz,20170703,"做汉奸是没有分年代的"
kkk_0,20170703,"應該拿出誠意。  "
kwai56,20170703,"中央反對黨的華裔州首長當然會創歷史啦  "
一燈大師,20170703,"司法不是談誠意的地方吧。   "
一燈大師,20170703,"這是大馬人民要的政治氣候嗎？ 換言之，若巫統各州的州務大臣也學林冠英一樣，大家會一樣支持嗎？"
ray34,20170703,"麻花抢手好比吴三桂 出卖华人为荣"
一燈大師,20170703,"歷史課的學生又有一個 chapter 可以 skor 了。"
samsilence,20170703,"又来新招了~"
一燈大師,20170703,"原來一年前講到現在還沒做呢。"
MC2,20170703,"这里的政治已经不是普通的政治。这里的政治，如今是非不分，只分种族，只分宗教，政党利益高于人民利益，真是悲哀。"
