Topic title: 如果老马没有下台，今天还是污桶首相！
username,date,text
阿镖叔,20170704,"国家会变先进国？不可能，不过应该会比烂鸡稍好！没有朋党私营化？不可能，不过老马的朋党不会变纳鸡朋党！污桶会放弃种族主义路线，不可能，不过不会跟伊党合作，污桶里还是一群咄咄逼人的极端部长，最极端的那个唇红齿白部长，依然效忠老马，华人中立依然说老马是好首相，说内阁里需要一些极端部长来制衡极端势力。。。。。老马会带领污桶或跟在野党合作，不可能 不过他也不会承认曾经妖魔化火箭！老马不会被当救国英雄，会！老马当权时他一直被当救国英雄，有人说他英明神武，爱民如子，善待华人，带领国家渡过金融危机，没有老马国家会像印尼一样发生暴乱。。。老马不会被在野党当救国英雄，其实在野党根本不曾把老马当救国英雄，只是承认他比纳鸡少烂，把它当杀鸡的前锋！"
kwai56,20170704,"如果老馬還沒有下台 ... 4.3 - 不可能/ 消費稅 - 不可能/ 廢除惠民津貼 - 不可能/ 等 等 等 "
512MB,20170704,"看看老马后面的女人，再看看老鸡后面的河马"
坦克車,20170704,"我根本連看都不想看這雞的背後的女人"
512MB,20170704,"马华民政的偶像"
坦克車,20170704,"我都說不想看，你還硬讓我看"
chinapee3,20170704,"1998 安华是反吨马的。。2017 傻B民联跟吨马合作做鸭？？  安华白坐牢？  傻B？"
loongken,20170704,"马哈迪击败纳吉再掌权，大马会更好？马哈迪出走巫统，加入在野党阵营对抗纳吉，能否为大马带来正面改变？MALAYSIAKINI.COM"
三鹿阿中仔,20170704,"哈哈！国家会变先进国？不可能，不过应该会比烂鸡稍好么？那么华人又会怎么样呢？比现在的鸡时代差多了会不会?老马的朋党不会变纳鸡朋党又有什么问题吗？你是说老马的朋党会比纳吉的朋党好么？老马的污桶会放弃种族主义路线？你觉得只是不可能吗？那会不会比现在梧桐的种族主义路线更甚？老马时代的巫统不会跟伊党合作吗？那是能比现在跟伊斯兰党合作的梧桐更好么？华人中立依然说老马是好首相，说内阁里需要一些极端部长来制衡极端势力？？---------那你是说华人很脑残？非常傻嗨是吗？嗯，我也确实觉得是这样！哈哈老马会带领污桶或跟在野党合作，不可能，不过他也不会承认曾经妖魔化火箭？那现在老马承认了曾经妖魔化火箭又怎么了？能证明老马现在对华人，对火箭更好了是吗？老马还不是为了要重新上台，才会去承认的？？哦，那你是说老马无论上台还是下台，都会被当成救国英雄是吗？但这都只是马来人的家事，跟你们这些其他民族的人有什么关系??哈哈没有老马国家会像印尼一样发生暴乱吗？为什么这么说？那你是说现在只有纳吉，所以就很可能发生跟印尼一样的暴乱吗？哦，在野党只是承认他比纳鸡少烂，把它当杀鸡的前锋吗？那请问老马比纳吉少烂点，是对马来的人来说的？还是对其他人，包括那些寄人篱下的民族来说也是这样？老马和纳吉的斗争，都只是马来人的家事，你们这些其他民族的人，你们这些寄人篱下的垃圾，又为什么要参与人家的家事？然后被人家当成棋子利用呢？再然后被人家卸磨杀驴呢？哈哈，哈哈!"
三鹿阿中仔,20170704,"哈哈！什么叫安华白坐牢？安华的党派，安华的女儿都没有反对，都没有说安华白坐牢！你为什么又要替他们说安华白坐牢的呢？傻逼的应该是你吧，哈哈！"
richgod,20170704,"大馬会不会变好俺不知道俺只知道夕阳黨的馬化冥症仔依然会大舔特舔歌颂着。"
三鹿阿中仔,20170704,"哈哈！马哈迪击败纳吉再掌权，大马会不会更好，这个我不知道！但是马哈迪击败纳吉再掌权，华人的境况会更糟很多，那是确定的！哈哈我个人猜测，马哈迪击败纳吉再掌权，大马会更好个5%到10%已经非常多的！但华人的境况会更糟个百分之七八十到百分之一百，那应该是很肯定的！你觉得是不是啊？哈哈！"
三鹿阿中仔,20170704,"哈哈，那请问为什么夕阳黨的馬化冥症仔依然会大舔特舔歌颂着老马呢？还不是因为你们华人你们华社，其实都是跟马华民政一样，都是汉奸吗？哈哈！"
chinapee3,20170704,"三鹿说话真风趣。。。。。 那以后吨马做回首相人选， 安华就还是坐牢吧。。。。  华人摆左摆右。。。"
paulng85,20170704,"这些政客都是玩政治的，好好利用手中一票吧！"
loongken,20170704,"有鸡陪。"
lumixcer,20170704,"老马自己不让位，有谁推得他下来？他和梧桐反目，的确令人费解。。"
三鹿阿中仔,20170704,"哈哈，对呀！如果他的党派他的女儿不反对，安华就继续去坐牢也没有什么不对呀！这和华人有没有左右摇摆有什么关系？？哈哈！"
三鹿阿中仔,20170704,"哈哈，有鸡陪是什么意思？能否具体说来听听？"
三鹿阿中仔,20170704,"哈哈，是的，没有谁推的他下来！那要不然你们就让老马做到他死为止啊！哈哈另外有什么好费解的？还不是为了权力吗？？为了权力为什么不能反目？哈哈"
loongken,20170704,"你心想那个就是答案说的太清楚会被人告。"
三鹿阿中仔,20170704,"哈哈，但我心没有想什么啊！我又不是马来西亚人，我能去想什么呢？所以我还是不知道你这句话是什么意思啊？哈哈！"
阿镖叔,20170704,"英明神武，爱民如子，善待华人。。。。。值得敬茶！！"
阿镖叔,20170704,"你是外国人，而且是不知道民主议会的外国人，老马要当首相，除非他的议席比公正火箭多，老马能从污桶手里抢下40席以上？"
512MB,20170704,"讲来讲去都是 椰子和瓶子 "
三鹿阿中仔,20170704,"哈哈，你是马来西亚人，而且是只知道马来西亚式假议会民主的马来西亚人，老马要当首相，为什么不能把那吉拉下台以后，再回梧桐去当首相呢？哈哈"
prince,20170704,"老马至少跟华商关系不错，那贼一上台，就迫不及待消灭华人企业。"
三鹿阿中仔,20170704,"哦？真的有这么一回事吗？那你是说老马比纳吉对华商更好吗？但老马前段时间不是还在说，要华商把钱拿出来分给马来人吗？哈哈"
chinapee3,20170704,"华党全是跟尾狗。。。。。不是摆来摆去吗? "
阿镖叔,20170704,"所以说外国傻孩不懂，污桶诸侯为了讨好纳鸡，大多数已经公开呛老马，跟老马撕破脸了，纳鸡倒了这些诸侯也不会让老马回巢，就算跳槽也应该找安华保护，不会送上去被老马报复！"
三鹿阿中仔,20170704,"对呀，但华党全是跟尾狗，摆来摆去，跟如果安华的党派安华的女儿不反对，安华就继续去坐牢也没有什么不对，有什么关系吗？哈哈"
三鹿阿中仔,20170704,"哈哈，所以说马来西亚的脑残傻嗨不懂，纳吉被拉下马以后，老马为了回去当首相，为什么不会去向那些污桶诸侯保证不报复他们，保证不跟他们计较，请他们让老马回梧桐当首相呢？哈哈"
gaomin,20170704,"   这个是那个？这个比那个好看得多了。"
阿镖叔,20170704,"外国的傻孩是阿娇，他们会相信老马的保证，污桶诸侯都是一方之雄，不是阿娇！"
三鹿阿中仔,20170704,"哈哈，这和阿娇或一方之雄有什么关系？他们为了自己的利益，为什么就不会让老马回来？老马会因为他们在纳吉时期违心地反对过老马，而要找他们开刀吗？哈哈所以说马来西亚华人脑残就是脑残啊，哈哈"
chinapee3,20170708,"击败到才讲啦。。。。 就像港独派。。。 习进狗去香港， 那些港独派抬棺木去。。。 习佬都没能力管。。。。 废材一个。。"
三鹿阿中仔,20170708,"哈哈，你现在讲港独派、习进狗有什么用？他们和你们有什么关系吗？你再宣泄对习进狗的仇恨，能解决你们的问题吗？而且要说什么习进狗，以后马来西亚若排华或屠华，你们还要靠习进狗罩你们呢！习进狗比得过你们这些只能被马来人屠的废材华人废材么？哈哈！"
chinapee3,20170708,"就和你这只狗谈老马事一样。。 管你忍事么。。。死开啦。。。 中国仔。 哈哈"
三鹿阿中仔,20170708,"哈哈哈哈！是不管我事啊！但这里是马来西亚的论坛，大家都可以来这里随便讲马来西亚的事情啊！那你也是要来这里侮辱谩骂中国么？好啊！随便你啊！大家继续看你笑话啊！人家中共让你骂是会痛么？哈哈！"
大一,20170708,"假如老马当初没有退位，反对党根本没机会执政任何一个州属，除了吉兰丹。安华根本不可能出来。从头到尾，老马还是老马。他的心还是在巫统。他只是不妥纳吉罢了。他现在所做的一切只是要推倒纳吉。和反对党合作只是暂时计划。"
dupont378,20170708,"请问你贵庚 ？老马时代把 华人企业 全部扫完纳吉等于是捡老马的破烂JALAN TOL , PROTPON ,Indah Water   真的比 GST 好很多 ?"
阿镖叔,20170711,"老马当然想风光回污桶，问题是他有多少本钱？看看今天的污桶诸侯怎样呛他？老马会甘心像拉沙里，慕沙一样吗？小马副主席落选那天老马的茶已经凉了，离开污桶后的老马已经是TEH PENG！"
prince,20170711,"老马再怎样无能，至少吃的钱，不及那贼的1/10。"
