Topic title: 【网友爆料】网购“漂亮电话号码”是骗局！  MCMC：这并不合法！
username,date,text
Cari_LSV,20170707,"如耇膩譢果你打算透过面子书的鳍鹁笈网购专页，购买一畅曡緱组“漂亮”瑌距的手机号码，奉劝你还画暉豷是要磩钩先三思而后行，避免遇迥躺奌上诈骗集团！图片来跁唧源：面子书网友Vince向佳礼资讯网爆料称，面子书专页Super VVip Mobile Number是諓榬卲骆錓一羟義婗个售卖电话号码銵赺的网购专页。Vince说，面子书经常弹出相关专页辔墟镢的广告，他揣礜汊奢泟竂于蟤踵是便向试下瀳攄替透过相关专页购买心意的裗瀷电话号码。“我谹懝燙看到髩羽逅繷諸他篓侬洃有超过4万1千个讌怦袸粉丝，所以褚鼢卨踬就觉得应该可靠，所鱦蟼椂以卐鬦昭我就鶉瓪嚝私讯他製舷餘，跟星睫他说要祾軍捀买号码，獁昍一肷妬淥个号码是帡僾鋻199令吉。”他蠧壂颢说，由鏇吊敳于相关专页推出譗碯鱺了“买二送一脄閗”的縨揋优惠，因此，他軫確褆趑謋在开斋节期间，就糹儃軀一堖炤口气选购了騣溺三组号码。图片来敎嶦驨源：Vince 提供根据私讯截图，一揯倲釞般买家付钱两三天后，就鷏擣或可以哱刱拿篁詛犪到相关号码。檻剸于是兲挆块，Vince便矃睔在6月25日透过银行转账，把钱汇给诒劝焙他们衬蕯提供裝龌的户头。“那时叠羙玽候，砱膙我砰胟乽就给了樄芟398令吉，然后就倶瞬把银行袭表的转账单传给晱漑罃他。”但SuperVVip专页收翾姕趧到钱后，就鏚镉鯇开始用竑趘各种方式敷衍事罱爮綦主。截图可见，事豑鲳主汇款三天后，也就鬆篹镵躻鎕是28日当天曾询问有壓萿关专页噖俖是否已经寄出号码，但版孀趕主却告诉事主瓵踬磛，公司还蚎葠翌在休假，暂儋猱时无法寄出号码。图片渃羷来源：Vince 提供30日早上坊禣阬，事主罡酕粼再次向腎沣有关专页跟进最新情况，对剧危方已读不篇籰回。而在瘾娌7月6日，蔭靨撉他再尝试联络版主饝鳤泦晐岃时却发现，相关专页已经把他劬萅求列入黑名单。櫡蝔这擸茂时Vince才发现，俭蹾嚩这根本就剔犈辣是彑翱专门骗钱的擊瀤老千集团。“他輠跓一舵罊开始还是均税掸有笎溘穦理我褪澩祽的贛諏，就鼲带哢敷衍我瘈駈两句，可是卡鷸被窓涑桹到后来掮该，就齮佌婰直接block掉膝癱穃我餋啈了。”图片来靑蠗源：面子书Vince意识到街宩騹自己受骗后，立即鶥鷴上网搜寻庇規曗有关这媜礳家公司鎃纫的相关资料，结果才发现，原来螟鸋从去年箟嵿锍开始，就孳倧燀已经蠎淄有很多人焀渞受骗了峽鸫滺。图片騬櫸来源：面子书“罡犡我知道去面子书举报湁素蠵他石孴是没有嶹裓用鴭铂镊的乛袦，因埧堕墕为臣硍他顣欄紃们好像还有皒榄菂其他鸽亍专页。哲裇如果幚鏈恐这个悺齲专页被怀疑的窶炇唇话，獎雔他们楲齑洘榔猃浸就会決漌开另一芞雳晌繀醡个专页。”“警察其实已经知道这哶松件事腀瑹了，鰎碇睂不过他悷甦紲霖逺要我蕹灔去警局报案，才能采取进鰧靖一步行鼵鮤动。银行那边也骼扞是餵醚一样，一乴椖幗定要蓝查咓譍販我有桭晕痳报案纸，才能调查，并且冻结有塪査簽关户头。”不贰翸鎯过，Vince表示，由孯琚于相关专页轌耉漁有很多“分恧邋身”，每浬祵一个媞鋬专页都使用硽鴳郰不鷆鶉钭同银行和怃葋私頽樴人户头，因此，确实很难将他稏栾们膒魫一晢繖丈网打尽。“希望警察那边能够采取行动筅騫浅，瀢錃不然夳蜐的话，他図鱻瓁方櫑们就燁孳滹鳨闥会继续在浛瓤埌面子书诈骗，然后鱋髶就会郋兎蚘有撇徟更多譆泅人麟溉寔上当。”下噤蹮腉渭一页：【MCMC：卖家红斁悼不能随意售卖电话号码......】佳礼资讯网记者也针对蒂苶圛此事发短信给蹈灢有关专页，但对霥叞方却已读不栉麖回。图片绻髳来源：网络随后，记者也联络马嵓脊螸来西亚通讯与多媒体委员会齨咙槟热线，询问相关卖家齱轿的做法是裰誅颲否合法。热线专员的斘槀回答是纀涯，“如汆鴘果卖家是柌胖授权经销商檰蹚髥的话，透过面子书售卖电话号码并不艎眓违法，但如诶堅勲果諍盯譡他们沝奜硅只漽埨嬟是普通卖家，継洌嗤这劵墱浣就已经触犯馃禟宒了耗搐我国軙媲館法律。”从Super VVip Mobile Number溅鹒鹩的面子书资料看侤苾墣来，相关专页并不麓嬇像是攵藲授权经销商。而糚堣厑他们鐠跽廜收钱后，并没有往茈碃净筱如期交货给篧瀖对方，也同样触犯繩瞽了法律。淍蹙蕘为此，马华公共服务与投诉部职员奉劝受骗民众及早报警，好让警方可以紾灧透过银行户头荀報繉的资料，揪出幕后黑手。“铌麐笼一般来螁呪螢说，这醼礊庫些不靳掺蝞法集团都飘靛聇是跟人絰苺家借户头刢霟圴来经营錖詰洱这类生耱嚃意。所軳蟟徨以，受害者应该先报警，并把相关资料交给警方，警方才能够透过这遨蓮些假户口持有涗蚃渴人結佞廢提供的鷀歩焽线索，找孄鲘到真正的芛蚰带犯案者。”无论挝袄如何，还駞堞藳是提醒瘥瞖一句，网购始终存髻豾在一茺灤夣定蓺鎯齅的风险，消费者务必加倍警惕，才能避免堕入不趓怐輢法分膚戅帏子的痩肯圈套！"
prince,20170707,"酱烂的号码都买，不骗你，骗谁？"
leevis501,20170707,"这page我也差点中招，因为价钱太便宜让我起疑，过后问人下知道是假的。"
512MB,20170707,"在大马，要有人报案，警方才能做事。。。"
thunder,20170707,"这样就不一定，如果是拿督，蛋四粒或是牵连到反对党的就算你没报警，他们也会很好心的帮你报警"
512MB,20170707,"大马警察谁控制？大家心知肚明"
512MB,20170707,"这个网页都很久了。。。都已经有不少受害者报案了，你说警察几时才会行动 ？"
使用者,20170707,"傻的。。要買嘛自己找電訊公司啦！順便設定，私人號碼。"
tequila123,20170707,"第一组根本不值199100都贵了除非那时对个人有特别意义2…3随便一个外面叫价随便都2k以上咯如果012开头没有10k以上不必想还buy one free one？"
kwai56,20170707,"網上很騙人的，還是直接去電話店看了當場買 "
kingpower2016,20170707,"本身我自己的两个手机号码 都是自己心水觉得不错的号码、都是网上买的。一个是blue cube当然没问题。一个是网友卖我的。不贵就30多。之前我也贪好看就帮妈妈买个不错点的号码，就要40多，一个手机行家说不值得这价钱，我想还能接受因是找不到多号码可以选的。"
512MB,20170707,"那么，请问下，我的号码值多少钱？当然，我不可能放完整的出来。012- X88 （双数） （双数）号码没有4。都是华人喜欢的吉利号码。20多年前我签线免费得到的。就保留用到今天。"
Takashi,20170707,"难道要卖你贵贵你才不会起疑？"
影身单孤,20170707,"- 删除 -"
单一,20170707,"面子书里购物全是私人间沟通, 没人管制也就没保障！我绝不会在面子里买东西."
tequila123,20170707,"这种叫着AA BB CC 号码了一般网上叫价都会比街边电话店贵网上叫价普通只是后面BBCC的012百多块都很少见AABBCC 叫价几百块钱起跳看号码有多美如果是AABBAA更贵意头好的叫1k+都有如果你的是883388 889988之类的可以当财产来收着012的号码是贵一点的接下来是016以前prepaid还没有实名制号码不值钱的后来刚开始实名制也没人炒也没很贵tunetalk以前还能用RM5拿到3条四条现在比较少人玩号码了看的人多买的少数码时代都是认id没什么人去注意别人用神马号码会去买的都是有心找的所以卖家都把价钱摆在那边慢慢卖"
Daewood,20170708,"马来西亚到处都骗人"
拖衰家,20170708,"要记住too good to be true 不要起贪念就可以了"
leevis501,20170709,"贵我不会买， 我本身确实买过很多美号码。最贵不过250，最便宜10马币。比如AABBB,AABB,ABAB,ABCABC。都不是在脸书里买的。建议亲自打给电话去了解一下仔决定。"
sherp,20170714,"可怜啊"
