Topic title: 女学生不雅照疯传 揭发遭2男同学轮奸！
username,date,text
Cari_CYJ,20170709,"沙巴京那巴登岸一名中五的女学生遭2名男同学奸污后不敢吭声，直到不雅照流出疯传后，才揭发这起性侵案件。据东方日报报道，事件发生于今年4月1日早上，受害者是就读沙巴京那巴登岸某国中的中五生。2名嫌犯以讨论功课为由，将受害者诱骗到学校后面的一个油棕园后，强迫受害者宽衣解带，并惨遭污辱。事发后，2名嫌犯威胁受害者不许声张。由于受害者害怕，加上不知如何面对亲友，一直不敢吭声。直到事发当时被拍下的不雅照外泄疯传后，受害者才在老师的劝告下报警。京那巴登岸警区主任沙哈拉末7月8日（周六）证实此案，并指出受害者在老师的劝告下，于7月6日（周四）向警方投报。他指出，已经在7月6日当天，将两名年龄分别为16及17岁的涉案嫌犯逮捕归案。他表示，警方怀疑，该不雅照可能是2名嫌犯在侮辱受害者时偷偷拍下，最后照片外泄疯传，才揭发这起事件。"
Cinabaku,20170709,"请LZ使用正确词句.请勿用奸，轮奸，奸污等不雅字眼。"
SIEWMIN,20170709,"山翻"
lalangwang,20170709,"轮奸这个字有什么不雅了？"
合气求道,20170709,"亚庇和京那巴登岸是两个不同的地方好不好？"
tayar18,20170709,"轮番上阵"
类一凡,20170709,"国中没有上道德课的个个头脑都带黄"
hoongyin07,20170709,"以你的逻辑那女的肯定是自愿的 "
Daewood,20170709,"现在学生很狼喔"
珍珠奶茶20块,20170709,"A片看太多的后果"
sayyv,20170709,"照片外泄？怎么没看到？"
华人美国队长,20170709,"人间悲剧"
Cinabaku,20170709,"当然不雅， 就有如你叫人keling一样；正确叫性侵"
Cinabaku,20170709,"两小无猜， 你们这些老是带有色眼睛"
猴年馬月,20170709,""
samsilence,20170709,"这些人应该阁掉~"
AMOS5566,20170709,"輪姦復網傳，如此二度傷害，理應嚴懲不貸，以儆效尤。"
scooter,20170709,"轮大米比较好"
7382,20170709,"老鼠轮大米？"
chiew2005,20170710,"中国是叫轮流发生性关系。。你们太逊了"
绝地榴莲,20170710,"为啥？哪正确的的词句是什么？  “进入” ？  “性侵” ？  "
Cinabaku,20170710,"你说呢？"
johnlow,20170710,"你是想要命令LZ用“被宠幸”，“承欢胯下”等美化《性》字眼吗？"
158797,20170710,"现今社会的准则是，一个下流的行为，也必须用优雅的字眼包装。例如请勿用奸，轮奸，奸污等不雅字眼。"
Cinabaku,20170710,"马国华人。。。除了racist。。。还是racist"
JowY,20170710,"東馬山番"
lion_o,20170710,"听起来好像 GB "
wilson025,20170711,"才十多岁～～～～～～"
熊猫侠,20170711,"应该说“被轮流发生非自愿试性交”吗？"
Cinabaku,20170711,"错。 性侵非性交"
ijibang,20170713,"上次不是说 X 后可以 娶回家的？？？"
987563214145,20170714,"........"
foxman,20170714,"照片呢！？"
