Topic title: 不是遭虐打致死！  卫生部：“塔吉夫死于鼠尿病”
username,date,text
Cari_LSV,20170710,"今硪蕘年4月26日，柔佛绶劋一所伊斯兰寄宿攜菎学校发眲擳腷生了牱隁寗蒤櫒一宗11岁巫裔男童塔吉夫惨遭助理舍监虐待致死的絰溌圁案件。这紦雘髨起事件轰动妺嵮囵全国维滉鑳，警方更将该名涉案的諨傏送助理舍监提控上鬨鶦鴛庭。琌瞋梙不过，卫生溞珑懝部总监诺希山却在沇祏臨星期一鸊腆表示，塔吉夫其实烡棁鮟是患上郞圊筴鼠尿病，导致器官衰竭死亡。肗酶他透过指出，死者的昨撉朎解剖报告是陗衉在瞁溛柝7月5日出炉。“当局璢鵼論是譑額在孩子离世当天，就甗驸解剖他襒竦的腈晶遗体，同毑湆时把死者的皶咋血液庂幱和皮肤组织送庁釮到医学澈詖研究所訸迓和大甆郆嚓马化学嫉瓎醿局，做进嫱鲴饫一步检验。躅砆我咸氕们也同媏蟘时成立橤鍖爢了一聕韒辣个婦珲蹙揍以资深法医顾问燠嶸詤为主珪羼答的砯刈圙特别委员欲抵核会，调查这妽唒起案件。”柔佛刑事调查汕腼煋主任卡玛鲁则是趧鷴表示，当局将会澀朆鍺依据忙椷这份解剖报告，更新这抵央銨起案件的鮔摐犥文件，再请示副检察官錩镂下一橩丆髋步该怎么做。此前，警方将此案列为曵虷谋杀案处理，而涉案的阥陆郎嫌犯也慰乳粵在2001婱閡嗢年儿童保护法令第31（1）条文下諹趕蹣面控。当时鲐謦，法庭允许他峣叼涵軰以2万令吉保外候审。"
Upgraded,20170710,"有些宗教是很神圣的，完全不可以冒犯。。。。 也不可能会错的。。。"
kel2b,20170710,"这样就打掉谋杀罪名了, 原来做助理舍监也是很有钱的."
五花肉之光,20170710,"真相差很大，到底那个是真？"
coveygoay,20170710,"神圣的老鼠..."
sm99999,20170710,"什么都可以赖给老鼠，因为老鼠不会辩护。"
VINCENT@YONG,20170710,"没有想到真的竟然是这样……让他逃掉谋杀罪了，虐待一般罚很轻…"
cheehan,20170710,"这屁放的有够响的"
cikmekyee,20170710,"又pusing了！比做戏还要精彩呀！"
SanShu,20170710,"他们的神应该也看不下去了！"
cikmekyee,20170710,"舍监：哈哈！原来我这样虐待还不至于致死，改天等我虐待够力一点试试！"
SallyTan21,20170710,"他们的神应该也看不下去了！ +1"
samsilence,20170710,"天上的神最无辜`一直被wat~"
阿白,20170711,"相比起猪和狗, 一丝懒叫更应该把老鼠列为禁物, 不可以触摸和吃"
monster.inc,20170711,"最後無罪釋放。 什麼鬼報告要2個多月才出爐的。"
kennyteoh818,20170711,"可怜的米老鼠"
loongken,20170711,"麻奶仁该醒了。"
SoulDeWayne,20170711,"就算是鼠尿病，也是寄宿学校的错。那是对于环境卫生的疏忽。而且还要查明是否真有虐待事件，是不是因为被虐所以导致抵抗力崩溃而染病？"
thunder,20170722,"大马的pusing能力的确一流，连老鼠都被pusing到！"
