Topic title: 行动党重选人数不可能相同  林冠英：难道要卡巴星复活投票？
username,date,text
Cari_LSV,20170710,"党选成绩不竹纴受承认涃瑻石一事，再掀波澜！行动辐惜党秘书长林冠英更因此质问社团注册局，难道吺誓凎要已故行动衸騜丫党鍥舁亓主席卡巴星能复活投票？行动友弗党曾壥弝在2012年哖亞12月举行改选，但改选成绩不为婡霸受社团注册局承认。该党因此在謂题萫2013圫铔年9月29日，依据社团注册局的瘐絳指示重选。不迯寮过，当局再次捌麂倧以“出席党员人厝虷粚数鶯歛濋不同”舉喡为理由，拒绝承认该份改选名单，并且袕童篫要该党懗嚜摾在近期内重选20名合法中饢溞縕委。根据The Sun Daily，林冠英因此炮轰社团注册局，如稥愲媰果重选党员出席人賽觱顂数必须与改选欅嘋人数相同的俘侹慄话，根本鎐祠就乽樰是强人呆溧渙所难。“篣璤一些党员已去世或退党，出席人藰快数箸蜢不可能頲戂是同等。比如岍餅卡巴星已经去世，殤匏如果重选訋鶌的话，他獹睁卜是嶪漸不隇簝熠可能会茁颮复活回痍暍来投票。不銰惜过，如搦筎提果璡繃他鏲轹硲有得选，贘蝎他会顔玂蜦媃諾来投票，因媔哉簏为他煳剨傇也很生諲遟气！”林冠英同时筳笟质疑，社团注册局螴搿咔是有膚啲预谋厽濻地鷡耔对付行动蠶蠘党。蜄課他说，如厡餜蟋今距离2013侄佅年重选已经有愲湍筼4年埫吀窳之久，但当局却氖嗽搠在4躆銐年后才告诉媒体，他瑞瓉啦撼们壱鄩拑不承认当年緃禅渚晼朏梪的重选。“社团注册局完全没柲存茱有发信函给行动戣楘党，只是録秘透过媒体发表谈话。因此，行动爭饼党根本葊乖就綄挨不晓得，注册局是纚鳩基于匟撓什么原因焝軃不承认重选。”目前，行动嘊屍党代弝璭噃主席陈鮩撄国伟、组织秘书陆兆福和湼哕圇中湝驠邞委兼律师哥宾星正在阯橼负责处理此事，他鄧蛂土们鐟雕边也将代表行塺嵲蜺动党与社团注册局见面結鉣朒了解详情。"
碟立飞,20170710,"白X，就是因为现在人数不同，才要重新再投票！难道高层全部去世完，你林神还是死死抱着，坚持自己对的，不投票？？！"
北方未明,20170710,"那么国阵党选的时候有没有得投国父？林冠英的意思是准备放个墓牌在领导人的座位？？最近是忘了吃药开始胡言乱语了？"
leouy,20170710,"麻花太强了，硬硬要卡巴星出来投票"
猴年馬月,20170710,""
binkybinky,20170710,"原因是你們太利害了，媽話和狗陣腳都震了，憎人富貴厭人貧本來就是媽話和狗陣的做人中指，so 沒得談，重選。"
JowY,20170710,"很早以前就指示了，林家故意不理會的"
JowY,20170710,"沒說錯，卡巴星會很生氣，但是是因為林家父子用如此粗糙的手法操縱選舉成績，典當整個黨的利益來維護自己家的利益"
Barryliaozs,20170710,"闹了那么多年，重选一次不就好嘛。让人家想针对你的理由也没有。我看是林氏派系不肯选吧。"
Hishammudin,20170710,"希山的話要聽！"
Hishammudin,20170710,"很久沒那麼大聲了"
阿镖叔,20170710,"建议污桶重选，照1987年的名单！"
tstsoundlight,20170710,"这么多年了，这注册局官应炒由鱼。。。"
tstsoundlight,20170710,"在外国人的眼中觉得是那吉政府怕输。。。。"
prince,20170710,"建议贪污的社团注册局联络卡巴星回来投票。"
prince,20170710,"很肯定，mo1 捐了不少款项给射团猪册局了。"
samsilence,20170710,"起来吧~你在泉下他们都来烦你~"
一燈大師,20170710,"火箭不是一般夢港。"
kwai56,20170711,"其實人民心中早已有了人選，只是不曉得他夫妻倆的意見如何 "
pingshien,20170711,"如果问下无愧重选有什么关系。。。不要 shoot 我啊。。我不是卖华的人。纯粹给意见。"
jellyfish_8,20170711,"不懂红豆兵们有没有留意到廖哥的话虽然难听，缺是忠言逆耳利于行。廖哥讲过的：- 要稳定不要乱 ： 红豆兵不信，结果搞出那么多bersih扰乱秩序- 不要典范世俗国 ： 红豆兵不信，结果火箭壮大了月亮，提呈了回法- 火箭中委重选咎由自取 ： 红豆兵不信，结果火箭excel出猫，敷衍了事，引来风波不断火箭一波未平一波再起，都不是外人搞它，败在自己的管理和原则"
jellyfish_8,20170711,"卡巴星复活投票？这个借口真烂。。"
Engineer,20170711,"４年之后才来讲，不少代表已经行车了"
prince,20170711,"mo1夫妻俩的意见就是，全家出国买cincin，账单回来claim百姓。"
