Topic title: 慕尤丁終於踢爆巫統全是鬼！大师做鬼不抓鬼！
username,date,text
prince,20170712,"        慕尤丁終於踢爆巫統全是鬼！他們推我出來撥亂反正，但關鍵時刻全都龜縮，這三條友還在我背後插刀！（是他們聰明，還是你太笨？）大馬     2017-07-11     檢舉     原文慕尤丁終於踢爆巫統全是鬼！他們推我出來撥亂反正，但關鍵時刻全都龜縮，這三條友還在我背後插刀！（是他們聰明，還是你太笨？）被慕尤丁特別點名的三個人，恰巧全都是有背叛主人的前科；慕尤丁還相信他們，不是自己找死嗎？第一個被點名的阿末扎希，上個世紀90年代曾經是當時的副首相安華最忠心的追隨者；但當安華失勢後，卻投向馬哈迪陣營。馬哈迪看透他背信棄義的真面目不給予重用，但在阿都拉掌政時，他卻重新回到巫統領導核心，受委國防部長。阿都拉倒台後，他又第一時間對納吉宣誓效忠。如此反覆之人，去慫恿慕尤丁站出來對抗納吉，慕尤丁竟然《傻傻》點頭？還有凱里，大家都知道他原本得罪馬哈迪，不被納吉重用，連中選為巫青團長竟然也沒有一官半職！他苦忍多年才終於守得雲開見月明；證明這條水城府非常深。他也是慫恿慕尤丁去跳火坑的主要人物之一，恐怕也不安什麼好心。其實說穿了，不過就是互相利用罷了啦。阿末扎希說不準，就是希望慕尤丁被納吉打倒，副首相與黨署理主席職位懸空，他就有機會上位了。而凱里更不必說，他深知慕尤丁是馬哈迪的人，鬥倒慕尤丁等於為納吉建功，有利無害；更何況就算納吉真的爆冷被鬥倒，慕尤丁上位，對他的前途也有保障。而慕尤丁呢？恐怕也心存僥倖吧？如果納吉真被鬥倒，他不就可以順勢上位成為大馬第七任首相了嗎？因此，我們更傾向於認定慕尤丁、阿末扎希、凱里只是互相利用罷了，只不過慕尤丁身為黨的第二號人物，順理成章由他領軍而已。奈何他最終全盤皆輸，那些精過鬼的領袖眼見情勢不妙，當然快快見風轉舵，第一時間條船咯。==========================前副首相丹斯里慕尤丁透露，當他還是巫統署理主席時，在多名巫統領袖的要求下，針對巫統與國家的課題，挺身撥亂反正，但最後有關領袖為了保住自己的權位，臨陣退縮。慕尤丁所點名的巫統領袖包括取代慕尤丁成為副首相的拿督斯里阿末扎希、巫青團長兼青體部長凱里以及巫青副團長兼首相署副部長拉查里依布拉欣。他說，上述領袖都是他在巫統的朋友，雖然面對他們的背叛，但是身為穆斯林，他並沒有對他們懷恨在心。「我只是想說，他們都知道巫統所面臨的問題，所以他們當時才會來見我，要求我做些什麼來糾正錯誤，否則巫統以及國家就會完蛋。」「我身為巫統領導人，我沒選擇，我必須履行責任，那就是必須發聲，即使那是令人難以接受的事實。」「我用黨內部的平台來勸諫黨的領導層，希望他們不要錯下去，他們（指阿末扎希等人）卻保持沉默、掩蓋事實，甚至支持會為國家帶來很大損失的黨領導。」慕尤丁在面子書撰文說，因為護主的「功勞」，這些人成功保住在巫統的權位，還升官進爵。「如何這些巫統領袖當初願意與他一起捍衛真理，為不正確的事情發聲，我相信國家會早一點被拯救，人們也無需承受現在的惡果。」無論如何，他感謝上蒼的安排，現在他已經不在巫統，也不用與這些巫統領袖同流合污。另外，針對凱里呼籲前首相敦馬哈迪退出政壇一事，慕尤丁表示他原本對凱里抱有蠻高的期許，沒想到他會發表這樣的言論。「身為巫青團長，凱里理應有符合年青人的思維，那就是要求納吉下台，而不是迫使馬哈迪引退。」他說，迫使一名沒有權位的反對黨領袖退休，並非勇敢的行為，反而要求納吉下台，才能展現年輕人的勇氣。「凱里與其他巫青團領袖還有沒有巫青團精神？還是巫青團早就被『金錢就是王道主義』所感染，將原則忘得一乾二淨？」"
vvti_84,20170712,"鬼离开了巢就变神了 "
luvpris,20170712,"以前幕由丁也曾经是安华的人，也曾经是推安华挑战老马的主要人物之一，后。。。也是踩安华够够力的人物之一。。。。只想说，这只是马国政坛现象。。。。"
jackyboy05,20170712,"幕由丁現在和火箭手垃手，變成天使了"
一燈大師,20170712,"馬來西亞的火箭粉地縛靈何其多，超渡不完的話，華社寸步難行。"
kwai56,20170712,"水鬼升城隍"
samyugi,20170712,"马华汉奸何其多，不杜绝这种汉奸，华社永远二等公民！"
阿镖叔,20170712,"离开老巢，未必变神，但是中立们先停止供奉香火！"
prince,20170712,"这是国阵现象罢了，我们华人就要抓住这点，给它们自相残杀。哇哈哈哈哈"
prince,20170712,"它还不够格，现在推老马去前面挡子弹！"
