Topic title: 禁止学生穿沙丽出席开斋庆典  国中校长道歉
username,date,text
CARI_LDS,20170713,"位于首都吉隆坡的斯里蕉赖国中（Sekolah Kebangsaan Seri Cheras）为日前发出的“开斋节服装禁令”公开道歉，并撤回相关禁止事项。图片来源：自由今日大马面子书一个名为Tamiler Otrumai Kudumbum的专页日前上传了一张照片，显示斯里蕉赖国中本月11日发出的开斋节庆典通知函上，注明学生不能穿沙丽和牛仔裤的条规。照片发布后随即引起网民热烈批评，表示该举有歧视印裔之嫌。为此，其校长玛兹纳向自由今日大马解释，去年有同学因为身穿露肚的沙丽遭同学嬉笑，学校当时也向同学宣导沙丽是传统服装。因此，今年禁止的本意是为了避免去年的事件重演。“我们并没有事先征求印裔老师的看法，这是校方的错，我们承认那项（禁止穿沙丽）的条规是错的。”校长表示，该校已在今日（13日）把新的通知函连同道歉声明分发给学生，新的通知函中允许学生们穿传统服装或是国家服饰。"
阿杜,20170713,"好喜欢沙丽"
终极达人,20170713,".... 纱丽明明就很美 很美。 风情万种 ..."
q(o_o)p,20170713,"太性感的 pasal？？ "
使用者,20170713,"露腰的 pasal？？"
pingshien,20170713,"看到会 stim 然后就会像狗这样 啪啪啪啪啪啪啪。。。所以 ban 9 掉它。。每一年都是这样！看到我都闲！！旗袍没有 ban 吗？旗袍那么紧身看到也是会 stim 的叻！"
cikmekyee,20170713,"达到目标了！已经红了！"
crystoaad,20170713,"  思想在倒退 ~"
dupont378,20170713,"513 过后 木丝林兄弟会的议程得寸j进尺两线制都是他们的人"
阿白,20170713,"河马也时常穿紧身装, 做么没有引发男人的性欲?"
samsilence,20170713,"这样都有罪`"
loneranger0536,20170714,"XX油站穿得密不透風的廣告人像最後取消置放因為×Ⅹ宗教人士一時性飢渴作不雅動作。被批的是穿得密不透風,長像普通的廣告人像。無言!"
vacheron,20170714,"勇敢承认错误"
逍遙,20170714,"宣扬种族主义 不过是引起上层的注意道歉毫无价值"
lion_o,20170714,"那不是服装问题，天生河马身段缘故，拼命挤进 XXXL size 的关系看到会硬的需要快快看医生  "
cikmekyee,20170714,"价值在于他们已经红透半边天！"
cikmekyee,20170714,"价值在于他们已经红透半边天！"
逍遙,20170714,"普选要到了 小鬼小妖越来越多 不必太在意"
cikmekyee,20170714,"我们的龙头老大需要看医生吗？"
cikmekyee,20170714,"有道理，我们居銮这边去听大会的，一人可以拿Rm50。"
CARI_LDS,20170713,"位于首都吉隆坡的斯里蕉赖国中（Sekolah Kebangsaan Seri Cheras）为日前发出的“开斋节服装禁令”公开道歉，并撤回相关禁止事项。图片来源：自由今日大马面子书一个名为Tamiler Otrumai Kudumbum的专页日前上传了一张照片，显示斯里蕉赖国中本月11日发出的开斋节庆典通知函上，注明学生不能穿沙丽和牛仔裤的条规。照片发布后随即引起网民热烈批评，表示该举有歧视印裔之嫌。为此，其校长玛兹纳向自由今日大马解释，去年有同学因为身穿露肚的沙丽遭同学嬉笑，学校当时也向同学宣导沙丽是传统服装。因此，今年禁止的本意是为了避免去年的事件重演。“我们并没有事先征求印裔老师的看法，这是校方的错，我们承认那项（禁止穿沙丽）的条规是错的。”校长表示，该校已在今日（13日）把新的通知函连同道歉声明分发给学生，新的通知函中允许学生们穿传统服装或是国家服饰。"
阿杜,20170713,"好喜欢沙丽"
终极达人,20170713,".... 纱丽明明就很美 很美。 风情万种 ..."
q(o_o)p,20170713,"太性感的 pasal？？ "
使用者,20170713,"露腰的 pasal？？"
pingshien,20170713,"看到会 stim 然后就会像狗这样 啪啪啪啪啪啪啪。。。所以 ban 9 掉它。。每一年都是这样！看到我都闲！！旗袍没有 ban 吗？旗袍那么紧身看到也是会 stim 的叻！"
cikmekyee,20170713,"达到目标了！已经红了！"
crystoaad,20170713,"  思想在倒退 ~"
dupont378,20170713,"513 过后 木丝林兄弟会的议程得寸j进尺两线制都是他们的人"
阿白,20170713,"河马也时常穿紧身装, 做么没有引发男人的性欲?"
samsilence,20170713,"这样都有罪`"
loneranger0536,20170714,"XX油站穿得密不透風的廣告人像最後取消置放因為×Ⅹ宗教人士一時性飢渴作不雅動作。被批的是穿得密不透風,長像普通的廣告人像。無言!"
vacheron,20170714,"勇敢承认错误"
逍遙,20170714,"宣扬种族主义 不过是引起上层的注意道歉毫无价值"
lion_o,20170714,"那不是服装问题，天生河马身段缘故，拼命挤进 XXXL size 的关系看到会硬的需要快快看医生  "
cikmekyee,20170714,"价值在于他们已经红透半边天！"
cikmekyee,20170714,"价值在于他们已经红透半边天！"
逍遙,20170714,"普选要到了 小鬼小妖越来越多 不必太在意"
cikmekyee,20170714,"我们的龙头老大需要看医生吗？"
cikmekyee,20170714,"有道理，我们居銮这边去听大会的，一人可以拿Rm50。"
