Topic title: 第二阶段捷运路线17日开通  料可减少16万轿车入城
username,date,text
CARI_LDS,20170713,"马来西亚捷运公司（MRT Corp）将按照原定计划，于本月17日开通从士曼丹至加影的第二阶段捷运路线，一共19站。图片来源：星报这19个新站分别是，国家博物馆（Muzium Negara）、 中央艺术坊（Pasar Seni）、武吉免登（Bukit Bintang）、敦拉萨国际贸易中心（Tun Razak Exchange Centre）、马鲁里（Maluri）、葛京（Cochrane）、第一花园（Taman Pertama）、美达花园（Taman Midah）、康乐花园（Taman Connaught）、珍珠花园（Taman Mutiara）、山力花园（Taman Suntex）、斯里拉也（Sri Raya）、敦胡仙翁镇（Bandar Tun Hussein Onn）、蕉赖十一哩（Batu Sebelas Cheras）、武吉杜蓊（Bukit Dukung）、双溪哲尼（Sungai Jernih）、默迪卡（Merdeka)、加影体育馆（Stadium Kajang）和加影（Kajang）。根据马新社报道，捷运公司策略通讯及公共关系总监拿督纳加慕丁表示，随着第二阶段的捷运路线启用，搭客将能在80分钟里，从双溪毛糯直达加影。车资方面，从双溪毛糯至加影只需6令吉40仙，Touch N’ Go使用者则只需缴付5令吉50仙。同时，平均每3分钟半会有一趟捷运，每趟有4节车厢，乘客人数上限1千200人，因此每天可接载大约40万乘客。捷运公司更为了鼓励民众搭乘捷运，设立了14座各有8千个停车位的停车大楼，和300辆每10分钟一趟的接驳巴士。该公司估计，在全程51公里的双溪毛糯－加影线全面开通后，每日的乘客数量会从1万5千人十倍增加至15万人，每日进入巴生谷一带的车辆可减少16万辆，有效舒缓交通堵塞的问题。双溪毛糯－加影线第一阶段（双溪毛糯至士曼丹），自去年12月启用后已达200万的搭乘次数。"
Richman-S,20170713,"有谁懂怎样搭MRT 去 Kl sentral或附近"
deadman,20170713,"去到pasar sini轉putra lrt就可以到了，或是MRT bukit bintang轉monorail也是可以到。或是muzium negara站走一段較長的地下隧道過去kl sentral."
华人美国队长,20170713,"花了，7年才建好，这么短的距离中国7年可以，建万里的铁路。"
华人美国队长,20170713,"花了，7年才建好，这么短的距离中国7年可以，建万里的铁路。"
chuinkit,20170713,"Muzium Negara站有通道衔接KL Sentral"
RingRingRing,20170713,"哇 车资贵下 "
deadman,20170713,"忘了merdeka站有一條很長的地下通道走路去kl sentral站。"
肥仔聪,20170713,"多么希望住家附近有MRT。。。"
goolb78,20170713,"捷運通車後會越來越多人會進城找工作，之前的塞車痛苦會減少，會有更多的個人時間在城中工作，不必煩惱塞車的痛苦。"
失望,20170713,"才帮助十多万人，可是城市超过几百万人啊，超过几百九十多万人依然每日每夜承受塞车之苦。"
Daewood,20170713,"到Muzium Negara走tunnel到KL Sentral"
Daewood,20170713,"马来西亚人没驾车，不爽。。。。。"
Daewood,20170713,"人家要到大选才做启用，不然你忘了选他呢，你不会高政治（也不会吃钱）"
kwai56,20170713,"不排斥搭捷運，但希望捷運站有足夠又安全的停車位 "
syncsw1,20170713,"每10分种一趟？讲大话也不眨下眼睛，你要不要亲自去等一下bus  每日乘客量15万，然后减少16万进入klang valley的车辆？好像很厉害的样子，怎样算到的？ 免费的时候用27天达到100万流量，收费后要用整半年才达到第二个 100万 "
JowY,20170713,"中國很好，jom balik china?"
JowY,20170713,"全部拆掉，走回馬哈地路線，建 highway 收 toll 駕 proton  比較好納吉下臺，回到馬哈地光輝時代，那個紅豆去到外國可以承認自己是馬來西亞人的時代 "
寂寞的小子,20170713,"他今天在rapid bus跟他老婆合照了"
Hishammudin,20170713,"NAJIB：我们的捷运系统是世界上最好的"
SilLyPanDa,20170714,"希望能够带来改善，要不然过去建筑工程导致精神上折磨，堵车就白白的熬"
syncsw1,20170714,"纳吉哥哥搭bus是有VVIP待遇的，不用等的。（那个是MRT feeder bus，不是rapid bus） "
华名轩,20170715,"请问第二阶段捷运有一个月免费乘撘吗 ?"
华人美国队长,20170717,"我们要向中国学习。"
华人美国队长,20170717,"马哈，失败之者。"
华人美国队长,20170717,"马哈蒂尔作风独裁,种族政策之外,我对马哈蒂尔所做出来的成绩感到非常怀疑和不满。"
aquamax,20170717,"3分钟半一趟窝。。。Sure bo?"
绝地榴莲,20170717,"4节车厢， 可以载1200人？  所以每节载300人咯？一节车厢到底有多大？"
W5567T,20170719,"蕉赖早上出门Leisure Mall那个地区还是很塞.... "
wayne1004,20170720,"lrt已经在peak period每三分钟一趟了。"
aquamax,20170720,"做么我上次搭好像等很久都不来。。。"
aquamax,20170720,"我刚CHECK。。。BTHO的PARK&RIDE才350个车位。。。等下还是驾车到TTDI好了。。。FEEDER BUS有没有到我的TAMAN。。"
wayne1004,20170720,"peak period才那么多辆。一般下午和晚上都是5-6分钟，那个时候你放再多也没有人搭。每个国家都是这样的..."
雷克斯R,20170720,"会有人这么想。城里的车少了不塞了不如就驾车 "
thunder,20170720,"哪个地区只有星期六日公共假期早上不塞,不过变成中下午塞！"
Hishammudin,20170730,"建捷運鄉下地方也受惠"
cikmekyee,20170909,"太好了不必塞车了。"
jellyfish_8,20170909,"谢谢楼主，看来廖哥忙的不可开交。连拿RM10k去那个什么华小（就算没有锁门）的作秀时间也没有。认真做事的男人最帅！楼主的帖子里带出不要放弃廖哥，不要放弃马来西亚。"
