Topic title: 老的都退下
username,date,text
佳礼编辑,20170713,"左至右：安华、马哈迪与林吉祥。（图片来源 ：网络）年轻的部长凯里说，三位老人家应该退出政坛。他指名敦马（92岁）、安华（70岁）、林吉祥（76岁）。此外，幕尤丁和哈迪也是70了。凯里指这些老领导宣说狭窄的种族思想，在种族间散播毒素和仇恨，造成社会分裂。同意吗？反正我是同意了，而且他们的确是年纪太大了。放眼看去，政坛年轻的面孔真的不多。年纪大有什么不好？邓小平不是年纪大吗？可惜世上只有一位邓小平。我们的的这些老领导，说话行事翻来覆去，自相矛盾，自打嘴巴，老马逃不出他当年“马来人的困境”的思维；老林过去骂的，现在全部吞回；安华忘不了做首相，不知道他的改革是改什么。不要说前瞻，如果老领导能给我们这么一个憧憬：回到那甜美的老日子也不妨，但现在看到的，什么也不是。免责声明：作者文章仅代表其个人意见，不代表本网站立场。"
AMOS5566,20170713,"如此說來，作者年逾古稀，也應該封口了；整天語無倫次，累不累啊？ "
bcteh,20170713,"老的还写些不知所谓的东西.应该退下了.opp..退下就去买咸鴨蛋…还是算了吧"
Orochimaru,20170713,"作者以为自己很年轻"
leouy,20170713,"同意，世上只有一个张木钦，不是每个都能跟进时代"
元旦8466,20170713,"纳吉64岁算年轻???"
kwai56,20170713,"在大馬，60歲或以上的都是退休人士   誣青要取代誣桶的領導層 "
pupuman,20170713,"这个马华张只会嘴炮!"
leo3_puff,20170713,"雖然，這些人都已經皺皮了，但我相信他們不會被老擊敗的他們都是很有經驗之人"
youleak,20170713,"Arnold Schwarzenegger : I'm old not obsolete "
ss24,20170713,"老的就要退，年轻点的不用退？老的定义是什么？鸡哥就不老？不管老不老，好的领袖值得保留，不好的不管多少岁都应该滚蛋。"
Carpenter,20170713,"年轻的更烂"
SanShu,20170713,"不知死之将至，其言也毒？"
SanShu,20170713,"这个好笑。。哈哈哈"
为人民服务,20170713,"老的就退下来，帮助和训练年轻人。"
immigrant_at,20170713,"在馬來你要是不與老闆求加薪,他就當你夠用.同理,你不提讓老臣子退休,你永遠是跟班."
weiwei318,20170713,"92老实说他真的很好命"
Daewood,20170713,"年轻一代的吃的很凶"
samsilence,20170713,"还有谁上呢~"
kianhoe,20170714,"家有一老，如有一宝啊！"
khteoh2001,20170714,"这句话不能一概而论用在任何一个老人身上，是宝还是垃圾，也要看那个老者是否一个有品德的人，如果是一个没有品德的老者，而你依然用这句话套用在那个老者的身上，那是盲目和不智的。"
Cinabaku,20170714,"最面目可憎的是最右哪一位。"
猴年馬月,20170714,"經過歲月無情的洗禮，作者多久沒有照鏡子了？ "
chtan69,20170714,"赞成。烂国阵里面的那堆老废物也是一样的要清除。眼里就只有利益权利。"
K.chengTan,20170714,"老的不死，新人上不了位"
jackyboy05,20170716,"一切都是為了救國啊！"
猴年馬月,20170716,""
Theraceuyl,20170717,"你老好想今天是忘了吃藥 還是忘了照鏡子呢？不過思想狹隘到做噁心走狗這麼多年，確實去醫也嫌浪費資源了，所以我稍微了解只能騙騙稿費積攢存在感的那種無為腐朽的妒忌心態的。"
nsda,20170826,"基本上是同意你的標題，不過一點進來還真炸到， 完全不懂你在寫什麼一方面要表達獨特觀點，一方面要故作古風兼扮文采飛揚，最後恕我水準低下，只看到一隻四不像"
Quest716,20170915,"不同意意见就用理由反驳，但不要咒人家死。。这是基本做人原则，无关偏帮政党。"
yming2475,20170915,"你有信仰就年輕，疑惑就衰老。有自信就年輕，畏懼就衰老。有希望就年輕，絕望就衰老。歲月刻蝕的不過是你的皮膚，但如果失去了熱忱，你的靈魂就不再年輕 。老兵不死，只是凋零 。。道格拉斯·麥克阿瑟 美國五星上將。"
