Topic title: 涉嫌性骚扰夜店女侍应 行动党基层领袖遭延扣
username,date,text
Cari_CYJ,20170714,"涉嫌性骚扰21岁夜店女侍应的行动党前市议员普仁，星期五早（14日）被警方带往法庭申请延扣协助调查。图片来源：东方日报据东方日报报道，警方在早上约10时35分将普仁扣押到槟城法庭申请延扣。他下警车以后，其代表律师马上将他的头压低，避免在场媒体拍到他的样貌。嫌犯聘请了3名律师，分别是古纳瑟嘉兰、勒迪纳古玛及佐迪。受害的女侍应表示，在7月6日（周四）晚上11时30分在槟城土库街某夜店停车场，遭一名行动党印裔基层领袖强抱、强吻、抚摸她的下体及强迫她口交，受害者于事后向警方投报，而普仁也于13日（周四）晚上，在律师的陪同下到警局接受调查后，警方随即在14日把他押上法庭申请延扣。你也可以看强吻女子还手淫射精 火箭议员助理涉非礼"
淋神无敌,20170714,"BN最多只是贪污！林党居然玩口交！火箭不倒人民口交。"
vacheron,20170714,"淋太黑，华人妹子含不下。"
seankaz,20170714,"敢敢抓起来"
情牵軒尼詩,20170714,"在想这种小case需要捞烦阿班迪北阀吗?哈哈哈。开玩笑,才初步调查,还没交到检控那里。哈哈啊哈"
壬炜,20170714,"那女的说事发过程是在停车场走道而并不如一些网民质疑是否在车内。。。。http://www.sinchew.com.my/node/1 ... 6%E6%9B%9D%E5%85%89"
Akira_sendoh,20170714,"keling pariah就是贱"
yokome,20170714,"只是那条水混进去火箭当害群之马罢了，不要一竿子打翻一船人。Ps: CD也不是玩口交?"
chtan69,20170714,"他们基因里就是这模样，没办法的事。"
weiwei318,20170714,"吓死人了"
AMOS5566,20170714,"“一人造孽，全家受累”  敵對黨如獲至寶，無限放大。"
kwai56,20170714,"有精液 ... 斷正 "
AMOS5566,20170714,"陀衰家  “家門”不幸 "
他旺,20170714,"黑皮本来就是下贱的。杯葛黑皮，人人有责。"
壬炜,20170714,"火箭都变了，变得乌烟瘴气，臭味熏天?"
浩浩荡荡,20170714,"榴莲堆里的臭榴莲"
samsilence,20170714,"色字头上一把刀~"
pcmont,20170714,"谁知道是不是无间道。。。。Keling人收到钱。。。。什么都可以的。。。。只要认罪破坏dap的名声，钱入口袋，哪里知道去了扣留房，还可以被一王二后好好被喜欢贿赂已经贪污的党派招待！谁知道！"
e200,20170714,"道理自在人心！！红豆的强词夺理，已经达到人神共愤的阶段了！！............"
北方未明,20170714,"本来以为红豆兵会假装说这件事是属于个人修养，无关政党。看来我低估了红豆兵的脑残程度，现在是直接加罪给受害者，把原告变成被告。"
pcmont,20170714,"hallo！谁是红豆了！。。。。不要乱套哦！如果这个印度党员，真的犯法就应该把他法办，相信行动党也乐于党中毒瘤被清除！还要谢谢小妹妹的牺牲！"
pcmont,20170714,"我只看到很多马华兵团。。。。。。。。。。。。。。小某可不是任何兵团！只是觉得不公听到卖华帮言论硬要说到，行动党个个党员都是一伙的，不然八九不离十这样！人神公愤！！！！！"
novem911,20170715,"根本就是性侵犯啦！其实应该用强奸这个字体什么非礼啊？？？也不是什么性骚扰!!!!!女生下体都被摸了，还有他的烂蕉!!!真的摆脱咯, 这篇报道编辑的人他的头脑真很有问题！"
北方未明,20170715,"哦？你又知道全部骂嫌犯的都是马华兵团？难不成要帮你赞美那个色狼两句吗？"
e200,20170715,"火箭应该要发动一人十元！帮忙弱小的妹妹讨起公道..........这个我就会踊跃的参加！.....至少！我尽了棉力，以惩罚无耻之徒....火箭这一次你干干来！！我绝对的支持你们申张主义.......别让人家看轻你们的虚伪行为........"
e200,20170715,"人家现在有权有势了！！.....你就别惹事！乖乖的吃你的饭就是了！！...其它的！别在管了........"
yokome,20170715,"法律对于强奸的定义必须再严格修改过"
novem911,20170715,"我是尊重你的看法我只想知道如果有一天也发生在你的女性家人身上，你也会一样说吗？谢谢"
novem911,20170715,"禽兽强迫受害者触摸它的烂焦还有已经射精在受害者的身上还可以写成非礼？？根本就当读者白痴啦！"
kmrddecade,20170715,"你知道事情刚揭发的时候，家里这里几多红豆说那个女的是做夜店是因为价钱不美才和男的闹翻的，还有的说女的是马华收买的故意制造陷阱陷害那个男的，总之就是说道女的该死男的无辜就对了。所以我很讨厌那些人，他们被洗脑洗到不正常了"
novem911,20170715,"我明白你的心情你不要理会他们，不需要动怒因为事情不是发生在他们的家人身上如果你是女生提醒你千万不可找之类的人做你的男朋友和老公，最好避免之类的朋友。。hahaha"
玄竹灵峰,20170715,"行动党的素质。"
e200,20170716,"咳！！我想你误解我的意思了！！....我只是借你的回复了讽下红豆的行为.....对不起！！让你误会了！！........"
e200,20170716,"实际上！！最大的白痴，就是为这事，还帮反对党漂白的笨蛋红豆.........."
e200,20170716,"怕什么？？..在这里红豆的势力强大.......有啥事，？找红豆哥哥去！他们会帮你！！...重要的是你就别中立！也别怀疑反对党的道德行为.....要不！！你莫名其妙的成为汉奸的日子指日可待..."
novem911,20170716,"没关系，只要有沟通一切误会都可以化解。抱歉误会你的用意了 ;-)"
novem911,20170716,"可悲啊！"
