Topic title: 侮辱全马人民的一元论.......
username,date,text
e200,20170717,"留言评论："
donut2u,20170717,"每次听人家说，白毛不倒人民穷到吃草。请问谁吃过草吗？什么SPECIES 的草？要怎样煮那个草？"
e200,20170717,"嘎！！过去反对党的一切谎言也就算了....可目前竟然还当全马人民是”渔民“.....回答我问题先！！你有特意的使用一元的伪钞吗？？.."
失望,20170717,"我吃过草，特别在塞车时候，拔路边的野草来咬。"
死蠢,20170717,"白毛给力你多少好处？"
逍遙,20170717,"没听过用文宣骗选票的屎盟 倒是存在的"
逍遙,20170717,"这是砂劳越土产的高素质政棍 与反对党无关"
投资小新手,20170717,"人还是实际点 谁给的多 就投谁管谁当首相 投票是我们的权利 往哪个给的多 就投谁就对了现实点 华裔的票 并不能主导什么 马华/民政/火箭 基本都一个样 马来人 主流政党越多 华裔的票就越值钱 选区 基本代议士来 真的要敢敢要马路，路灯，巴士 全部免费什么未来 在马来西亚 基本都是假的 敢敢要求 敢敢拿人还是自私点 国家如何我们控制不了 比政策 比首相  还不如实际点 你们能给什么 一元 给狗咩"
kwai56,20170717,"硬幣都有假，一零吉的偽鈔算什麼 "
loongken,20170717,"被骗了还沾沾自喜真是服了你。"
一燈大師,20170717,"這個陳長鋒，是針對東馬人的智慧發表上述演說嗎？將用假鈔行騙的罪犯和普通百姓相提並論。之前有拿趙明福和納吉比較，說反貪會雙重標準，查趙明福，不查納吉，言下之意就是說趙明福貪污。火箭還能再低嗎？"
Takashi,20170717,"真的是一元伪钞吗？如果真的印一元伪钞，那个人不止是穷，还很笨。反正都印伪钞，不会印大张一点50,100块的吗？"
rongerlow,20170717,"印一元伪钞的成本超过一元除非真的太多钱，不然不会有人印一元伪钞的"
garrod,20170717,"非法印製一元假鈔，跟經濟學有甚麼關係。難道貨幣兌換所有用到一元鈔票跟國外貨幣做交換？醫生談經濟不懂是好事還是壞事。"
otkkalahteruk,20170717,"幽靈候選人竟然來車大砲"
forte,20170717,"小麥草，較汁後加片檸檬，很健康"
bkkt09,20170717,"这位dap议员不是澳洲人吗？外国人干嘛那么关心马来西亚？"
e200,20170718,"很惭愧的偷偷告诉你！！还真的没好处......."
bcteh,20170718,"死老千,还回來大马骗.骑motor 搶那几百元,也无关品德.死老千党,早就应该滅了"
e200,20170718,"好的！！好的！就算是真的有一零吉的偽鈔.....那使用者就是个人的犯罪行为.......为何！反对党的议员可以理解成“他认为这事无关个人品德问题”.....莫名其妙！！罪犯也可以理所当然的犯法？？？.....相反的！还可以把某一小垫的罪犯竟然影射到是人民的责任！！..."
e200,20170718,"所以说！！没知识并不可怕！！...可怕的是，就连基本常识都没的废肠..........."
e200,20170718,"很无奈的告诉你！！竟然还有高贵的议员相信这样的故事！！.....人民竟然可以为了一元的伪钞，而选择挺而走险.......你不相信啊！！那就算了！！..红豆会相信的！！........"
e200,20170718,"我醒了！！不再被反对党的谎言所蒙.....谢谢你的支持.........."
e200,20170718,"洋水的！！....他们的思想比较不一样......."
syncss,20170718,"小有小骗，大有大骗 1块钱假钞在人流繁杂的地方（比如菜市场，pasar malam) 相对容易出手，100块就很比较难了（商家收到100块总会小心一点），而且需要更好的技术和equipment，所以成本比较高。"
syncss,20170718,"普通print很便宜而已，我都亲眼看过1块钱假钞。"
syncss,20170718,"为什么不能有一元假钞？"
Daewood,20170718,"当政治人物，真钞直接搬回家"
e200,20170718,"你真的曾经穷到需要使用一元的伪钞来冒险吗？？......."
syncss,20170718,"我没有，但其他人有啊。"
e200,20170718,"这可是事实！！可别侮辱伪钞是“穷人”专业来使用的......"
e200,20170718,"那你不是穷人！！....再看看这里是否如反对党所说的！...马来西亚到处都是穷人........"
syncss,20170718,"你不是在说一元论吗？"
Daewood,20170718,"穷人也不傻，要用也要用RM50或RM100的假钞啊"
e200,20170718,"反对党说的！！人民都很穷！！...个个都穷到要使用一元的伪钞........."
Daewood,20170718,"我们这的黑哥哥（negro)和奸奸的Arab都是善用假钞的高手，敢看不起他们吗？"
syncss,20170718,"反对党哪里说“个个都穷到要使用一元的伪钞.” "
e200,20170718,"他们不是穷人........."
e200,20170718,"而是因为人民的生活状况真的不好，才会使得人们不得已才这样做。这现象表示人民真的很穷，才会因为一令吉而作出欺骗的手法。...这里有映射的意思.........."
syncss,20170718,""
e200,20170718,"不过也没关系！！这里没人使用就代表了你们不穷！...那来的有这么多的穷人............"
syncss,20170718,"你要看看一元假钞的新闻吗？"
e200,20170718,"有链接啊！！反对党说使用伪钞是无关个人品德问题！！..是人们穷才冒险的使用......"
e200,20170718,"那你认为那是个人的犯罪行为！！？？还是跟普遍的人民有关........"
syncss,20170718,""
e200,20170718,"而是因为人民的生活状况真的不好，才会使得人们不得已才这样做。这现象表示人民真的很穷，才会因为一令吉而作出欺骗的手法。......."
syncss,20170718,"很夜了，我没有时间听大砂仔 pusing，直接贴新闻就好了 大砂仔还要继续pusing造假，请自便 "
e200,20170718,"那是个人的犯罪行为！还是穷人民的无奈...？？直接点........"
garrod,20170718,"我只看到番薯人扭扭捏捏咯"
kwai56,20170718,""
rongerlow,20170718,"竟然真的发生了，我仔细算一下a4纸: 5centcolor print a4纸 双面 ： Rm2total: RM2.05一张a4可以剪成6张 = RM2.05/6 = 0.34不算人工的话，一张最劣等的RM1伪钞成本为0.34， 还有0.66的毛利。对不起，两位大哥，我错了我要去印了，老板说超过1000张的color printing算50cent，你们要一起吗？"
~Zack~,20170718,"一块钱现在不是塑胶的吗？你直接用A4岂不是直接被猜穿。"
alex2083,20170718,"楼主不要献丑了，standard不够开帖一直给人插。何必呢"
syncss,20170718,"成本不能这样算的，因为你不知道人家是什么情况。如果人家在printing company工作，或者家里本来就有一台放置没用的printer，就是接近零成本了。比如说如果我需要纸张版的company act 2016，我可以上网下载pdf，然后叫公司的 printing & filing department 修订成书就可以用了，不需要去书店花几十块买。假设我朋友需要company act 2016，我说“不如你给我10块钱啦，我帮你print一本出来啦，好过你花30块去popular买”，他会问“company act那么厚，10块你不是亏本？” "
逍遙,20170719,"是啊 都是半个外国人 随时可以开溜 既然还有脸竞选州议员"
rongerlow,20170719,"所以我说是最劣等的方法，贵的方法当然有，只是价格不好控制"
rongerlow,20170719,"也不算零成本，墨水也要钱的，printer也要钱的，维修也要钱的，不过看起来你有门路，需要时真的要找你解救我等普通人"
syncss,20170719,"我的意思是，如果家里有一台还能够function的printer（之前买了，但没什么机会用），就是零成本了，只要不是大规模的去弄。我的确能够零成本print假钞的，只是不敢print更不敢用 "
e200,20170720,"安啦！！反对党议员也暗示！！使用伪钞是无关个人品德问题！！你就放胆的去印...不过建议你印刷大筹码点的伪钞！...有反对党议员的撑腰，你还顾及什么？？....."
e200,20170720,"你真的使用了一元的伪钞了？？....好的！好的！！你有胆使用！！那我还真的满佩服你！！..."
syncss,20170720,"我没有穷到需要使用伪钞啊 anyway，大砂仔的“一元论”被piak到酱，做么还好意思reply的？树都要皮，倒是有些人连脸都不要了，跟马华江夏真的是好brother "
donut2u,20170913,"如果不小心说到政府的一点点的好－－－一小小点的好（当然政府很多方面KNS）那些 D * P 铁粉会问 － 白毛给你好处、那吉步 给你好处。我真的不懂怎么回答。难道我们不能民主，不能客观？一定要100％ 骂政府？我们华人社会容不下一个人如果90％骂政府、10％认同某些政府政策吗？"
e200,20170914,"所以！！我提议！！一切以当地的议员服务为准...........简单来说，能为我们申请当地福利的议员，就要支持！..不管他来自何方！！...重要的是！！他有尽了力了为我们当地人服务！！..那就支持！！怎都好过！一切只会口头上KBKP的，只想在鸡蛋里找骨头的垃圾议员强的多..."
