Topic title: 柔佛公主宣布婚讯  男子社交媒体发侮辱文遭逮捕
username,date,text
CARI_LDS,20170717,"一名来自森美兰的25岁男子，因在社交媒体Instagram上贴文侮辱柔佛公主东姑阿米娜，结果遭警方逮捕。图片来源：网路柔佛州宫廷理事会于周日宣布公主阿米娜的婚讯后，同日6点，警方接获投报，指一名男子在Instagram上发出侮辱阿米娜和王室的言论。星报报道，警方随后援引1998年通讯与多媒体法令第233条文，即任何人发表威胁、下流、虚假、恐吓或冒犯言论，意图滋扰、欺凌、威胁或骚扰他人，于安邦岸拘捕该名男子。31岁的柔佛公主阿米娜家中排行第二，是柔佛苏丹伊布拉欣6名孩子里唯一的女儿。 阿米娜将于8月14日，与28岁的荷兰籍男友丹尼斯莫哈末，在柔佛大王宫根据马来民族的宫廷文化礼仪成婚。 丹尼斯曾是一名半职球员，目前为新加坡淡滨尼流浪队的行销经理，据说他和阿米娜是因着对足球的喜好而结识。"
q(o_o)p,20170717,"很多 馬來人 都很手癢，喜歡在網上攻擊政要"
jasonwong8228,20170717,"明知不可为而为"
thunder,20170717,"很好奇是讲什么，别人结婚关那些路人甲乙丙丁什么鸟事！不会又是信教信到头壳坏掉，讲人不够哈啦！"
yming2475,20170717,"馬來人何止手癢 ～～ "
AMOS5566,20170717,"羨慕過了頭就是妒忌  見不得人好 "
wrm95,20170717,"男子会不会因爱成恨呢？"
firehawk,20170717,"怎样侮辱法？  这个王室好像常常被人侮辱"
Orochimaru,20170717,"不懂怎样侮辱，不过没必要跟小市民计较啦，可能他受的教育不高，天生嘴贱"
monster.inc,20170717,"又多了個紅毛入教了。"
一燈大師,20170717,"突然間那麼多火箭粉站在公主那邊了。上次副首相女兒（寡婦）再婚，火箭粉們都攻擊得不亦樂乎呢。"
q(o_o)p,20170717,"你為什麼這樣支持 國陣？國陣 對你有莫大恩情？"
q(o_o)p,20170717,"還是紅毛靠得住，靠那些整天只會嘴巴鳥 國陣 的 華宅，多 50年都不用 ubah"
yming2475,20170718,"鸡哥不是你的白皮爷爷吗 ～～ "
thunder,20170718,"尸骨未寒！再说讲印尼仔女儿和讲皇室相差很大！"
kwai56,20170718,"忠於君國，人民愛公主是理所當然的事  "
hom1129,20170718,"言论适可而止，别太过份，毕竟这是人家的事..."
q(o_o)p,20170718,"答非所問，我是問你為什麼這樣支持 國陣？"
yming2475,20170719,"那你自己支持谁 ？ "
Orochimaru,20170807,"拿废铁跟黄金比，比个屁啊"
yewchang,20170827,"你先看看驸马的名字。"
wcl94,20170827,"入教之后改的名"
Mr.Bean,20170827,"应该祝贺人家才对嘛，结婚是喜事，就算你不想祝贺也没关系，静静就好，你还发一些污辱文，这分明是见不得人家好的心理！"
