Topic title: 大马官员说狂犬病来自印尼，你信吗？
username,date,text
can_fei_ren,20170718,"刚刚电视报道，狂犬病源自印尼。西马的狗是游泳过海过来传染的，又不见印尼有狂犬病？"
512MB,20170718,"倒不如说是雨伞公司研究病毒感染的也许他要请 Leon ，Chris 和 Rebecca 来消灭病毒"
~Zack~,20170718,"我笑了，但暂时不说破。让子弹先飞一会儿 "
蓝火爆,20170718,"还好，他没有说是源自林冠英。。。。"
寂寞的小子,20170718,"等下他会说是登陆槟城港口，而不是在巴生港口上岸的"
kmrddecade,20170718,"如果平时有多看报纸就不会成为井底之蛙，政治人物为了自己的利益会叫你们不要看报纸，可是多看看总不会吃亏的"
山野草夫,20170718,"应该是说沙拉越的疯狗症有可能能源自印尼, 不是说西马。"
can_fei_ren,20170718,"又不见印尼说疯狗证来自东马？西马疯狗证又来自何方？"
：》,20170718,"婆罗洲包括砂拉越，沙巴和加里曼丹。砂拉越和加里曼丹的交界处，有个叫做四里京的地方，每逢周末，印尼人群聚于此，贩卖各类商品例如高级布料，印尼食品，玩具，蔬果等"
kwai56,20170719,"衛生部不排除砂勞越的瘋狗症是源自印尼是因為早前加里曼丹發生了9宗瘋狗症病例 "
一燈大師,20170719,"霹靂的事件，當局是有說過可能從印尼漁船上的狗只傳染的。"
hangz81,20170719,"更大可能是之前遗留下来的，现在不过找台阶下要隐瞒罢了"
chinapee,20170719,"爱狗人说。。。。 才死几个人， 小事。。。 别杀狗！ 爱生命！！  狗命重要。。。 别学槟城。。。"
一燈大師,20170719,"若是之前遺留下來，也不是什麼醜事，霹靂郊外森林那麼濃密，誰可以擔保野狗全滅。"
hangz81,20170719,"因为之前坚持说屠杀是唯一最有效的方法还在很短时间宣布疫情结束啊!所以这绝对是丑事。对政府的威信会造成影响，还有罔顾人民生命的嫌疑。"
alola,20170719,"是西馬還是東馬？"
thunder,20170719,"中立的又来误到人了，现在有疫情的地方是那里？是penang， kedah 还是perlis？ 那时杀狗了，疫情是不是没了？ 别pusing，请回答，回答不出就别再误导人"
hangz81,20170719,"我有用确定或任何导致人认为我写的一定是事实的字眼？  合理怀疑叫误导？ 还有，1年多了流浪狗是不会移动的？  就算流浪狗不从槟城移到perak那其它可能感染的哺乳类动物比如老鼠呢？自己先看好了解我写的再来批评，或者你该考虑補修你的华文"
hangz81,20170719,"你连我女友是谁都不知道，没见过她更不可能听过她任何消息所以你写的已经是污蔑与诽谤还涉嫌人身攻击。版主请做事。还有， https://www.researchgate.net/pub ... is_and_Perspectives自己看看人家写的，杀还是疫苗接种比较好吧"
thunder,20170719,"中立的，我只是在给你一个很可疑的合理怀疑例子！砂劳越国发生疯狗症，因为kalimantan近期有疯狗症，所以你可以合理怀疑那是那里传来的，十八丁靠海，近期西马没疫情，你可以合理怀疑那是印尼渔船带来的，那叫合理怀疑！中立的！至于你的伟论，那不叫合理怀疑，那叫误导！"
chtan69,20170719,"我更相信是狗阵传来的。"
hangz81,20170719,"你真的应该去进修你的中文你这言论是很确定我女朋友已经怀孕了，这不是合理怀疑，这是要诉说事实！但事实是我女朋友没怀孕所以你这就是污蔑。"
使徒保罗再分身,20170719,"东西马都有，主要是国阵震州发生，pusing团会pusing到是西方蝙蝠侠随电影传染到狗狗的。"
thunder,20170719,"东马太远了，很难pusing到，楼上一位中立的就将perak的pusing给Penang。应该是2015年，感染疯狗症的Penang淋神狗，在临死前回光返照，突然跳了起来，那么巧撞到一只低飞的蝙蝠侠，那只蝙蝠侠就不幸的变成Penang淋神疯狗症蝙蝠侠，然后那只蝙蝠侠就飞呀飞，用了两年的时间,飞到十八丁，突然病发，跌在地上，结果又那么巧合被十八丁的狗狗吃掉，结果十八丁狗狗就感染了，变成了Penang淋神疯狗症蝙蝠侠祸害十八丁狗，造成疯狗症在perak蔓延。这是楼上中立的合理怀疑,有根有据,你别怀疑!"
