Topic title: 继脚车之后跳水也夺了世界冠军！张俊虹
username,date,text
爱林宜,20170720,"羽你同行报道： 大马泳界首个世界冠军张俊虹 游泳界传来捷报，马来西亚女将张俊虹勇夺2017年世界锦标赛跳水女子个人10米跳台冠军。 她也是马来西亚泳坛史上,第一个夺下世界冠军殊荣的运动员，这次带伤参赛依然可以拿下这般好成绩，为马来西亚带来了振奋人心的首金。 这次，她更是击败了梦之队双杀中国里约奥运冠亚军得主勇夺她个人生涯首个世界冠军。今年的亚军司雅杰是前里约奥运会10米跳台银牌得主，季军是里约奥运会的金牌得主任茜。 恭喜张俊虹，恭喜马来西亚。可喜可贺，狂贺。"
sem,20170720,"可喜可贺"
完美@1010,20170720,"恭喜，再接再厉  "
mAx7,20170720,"有了荣誉过后,千万不要像我们的羽球队的阳痿组合,拿了银牌后就阳痿了,不会硬,去到哪输到哪."
yk13,20170720,"恭喜恭喜！世界级训练设备和教练真的很重要没有他们，我们的选手肯定达不到如此成就的"
seicaibao,20170720,"恭喜恭喜. 要打败无敌的中国真的不容易."
kwai56,20170720,"世錦都拿了，奧運金牌還會遠嗎 "
一燈大師,20170720,"謝謝首相納吉為我國持續撥款建設高品質的運動會場和設備，也感激體育部長凱里的精明領導遴選出卓越的教練和選手。謝謝國陣。"
alanis00,20170720,"恭喜恭喜"
monster.inc,20170720,"她的教練是中國人。中國人要罵他漢奸了。"
syncss,20170720,"谢谢纳吉哥哥建设最好的跳水训练设施 "
元旦8466,20170720,"不是土著也会为国争光的。。。。。。"
thunder,20170720,"谢谢再次打脸大师！"
50912cmea,20170720,""
DJHOLISTICLIFE,20170720,"恭喜恭喜！再接再厉  "
山村野夫,20170720,"纳吉万岁！河马万岁！国阵万岁！"
舞猫猫,20170720,"打到大师不敢出来了                       "
pingshien,20170720,"加油。。奥运拿个金牌来！我们看好你。。。"
Orochimaru,20170720,"大师自己拿来衰"
神垂死,20170720,"肯定素国阵的功劳，续脚车，残奥都拿世界冠军了，现在跳水，纳吉布爷爷一直重视体育终于看到成果了，下届大选就要用手上的一票支持支持了～"
神垂死,20170720,"他拿2012年的新闻出来看谁比较打脸～"
syncss,20170720,"说得好，2012年老马还在位，当然是老马的错。纳吉哥哥是2015年才上任首相的，红豆酸民要讲就拿2015年来讲才厚道。 真的谢谢纳吉哥哥上任后一直致力于提升跳水队训练设施和福利 "
jellyfish_8,20170720,"LGE栽培土著人才果珍栽培大马人才"
killingmachine,20170720,"可惜媒体和政府没有很大的表示"
syncss,20170720,"要不是纳吉哥哥为跳水队建的世界一流的训练基地，马国肯定拿不到奥运奖牌和世界奖牌了。那些说“跳水队苦无训练基地”的都是造谣抹黑的红豆酸民。还是要继续谢谢纳吉哥哥 "
舞猫猫,20170720,"请看22及25楼              "
syncss,20170720,"骗人的，都是骗人的。纳吉哥哥已经为跳水队建了世界顶级的跳水基地，但哦烂支。那教练还是继续造谣。很明显这个哦烂支。那教练在马国住太久了，所以被红豆酸民洗脑了，才会讲这些话。"
他旺,20170720,"这才是天才。佩服。"
kmrddecade,20170720,"先看好来，是2012年的新闻，现在跳水冠军在那里训练要查过才知道"
一燈大師,20170720,"LGE：“如果我只栽培華人，我不如進馬華公會？”"
kmrddecade,20170720,"马来西亚脚车世界冠军，没有人提供脚车给我  = 拿到世界冠军马来西亚跳水世界冠军，没有地方训练 = 拿到世界冠军唔。。。好像知道了什么"
惠比寿,20170720,"Kenapa tiada orang melayu"
爱林宜,20170720,"拜托不要挖他人之苦"
逍遙,20170720,"要打败中国 就不可以留在马国"
爱林宜,20170720,"https://www.facebook.com/Badmint ... s/1720754757964848/最好那一跳"
一燈大師,20170720,"謝謝中國教練，祝馬中友誼長青。"
RingRingRing,20170720,"这个常年在外国训练的  用不到鸡哥的“高品质”设施"
一燈大師,20170720,"當然以後要去檳城的泳池訓練啦，一天才 30 人買門票，連救生員和清潔 bangla 的工錢和都不夠 cover。成人 7 塊，12歲以下的兒童也要 5 塊。吉隆坡才 2-5 塊 而已。https://discoverkl.com/2017/05/25/public-swimming-pools-in-kl/"
mark,20170720,"马华中立pusing王又在pusing了..."
一燈大師,20170720,"可以鼓勵現在的同學仔去練習呀。"
forte,20170720,"看了你凸公式的签名，还要叫别人不要挖苦他人？"
惠比寿,20170720,"amoiIni Tanah melayu"
adamlevine,20170720,"真的感谢政府的不支持才造就了他们"
adamlevine,20170720,"没看过我国选手拿过10分，她真厉害!"
jellyfish_8,20170720,"那LGE只为友族进去蹲，不如进梧桐更好？"
Carpenter,20170720,"恭喜恭喜你越来越美丽，越来越有魅力"
Engineer,20170720,"哪是２０１２年的旧闻，现在的设备好多了"
神垂死,20170720,"不要玩文字游戏了，现在纳吉布爷爷执政了的确体坛上百花齐放，相比老马执政什么世界冠军毛都没一条，贪污老马就第一～"
神垂死,20170720,"纳吉布爷爷就素很重视体育，封拿督派钱派福利给哪些健将，所以个个都有动力，相比老马只会贪污不会做东西这点爷爷win！"
justebelmont,20170720,"有没有封。datuk"
seankaz,20170720,"恭喜恭喜，继续努力啊。运动员千万不能自满呀"
jackygogogogo,20170720,"羽球的设施算不错的，所以世界冠军。。。你懂的"
kingofthesouth,20170720,"自己出钱的吗？"
爱林宜,20170720,"应该是国家给的"
bvu,20170720,"嗯........就封个土著身份吧。"
syncss,20170721,"我拿2012年的新闻你靠北，我拿2015年的新闻你又不爽，我再拿2016年尾的新闻你又pusing 你连反驳我的能力都没有，只会跟我pusing东pusing 西，倒底谁在玩文字游戏？===================================老马是贪污没错，但老马执政时代没有世界第一？1992年汤杯冠军知道是什么来的吗？对马来西亚人来说，拿汤杯冠军比拿跳水还是麒麟赛世界冠军重要10倍以上。就好像巴西拿射箭冠军也不错，但拿足球世界杯才是最屌的。其实道理很简单的，马来西亚人会全国一起在电视前，在mamak档看汤杯决赛，可是我敢说马国99%的人根本不知道脚车决赛或跳水决赛是几点。如果汤杯决赛没有拿冠军，马国人举国失望 如果脚车决赛或跳水决赛没有拿冠军，马国人会说“hah，有比赛咩？well whatever” 老马时代没有世界第一哦 "
syncss,20170721,"1992年汤杯队全部9个队员，每个人都有几十万现金奖励（私人界奖励另外算），最重要的是每个人有好几亩雪兰莪地。sidek 在1994年以每块240万卖掉，1994年在雪兰莪价值240万的地，今天没有1000万也有800万吧？等老鸡奖励张俊虹 800万时，你再来开贴吊老马吧 "
syncss,20170721,"老马是滥权是没错，但老鸡比老马重视体育? 告诉你一个事实，1998年共运是老马搞的，bukit jalil体育中心是老马建的。老鸡下个月搞东运会，绝大部分的场馆都是老马时代留下来，比如国家体育馆，国家游泳中心，putra stadium，klcc convention centre，putrajaya watersport complex & equestrian park, shah alam stadium，Petaling Jaya stadium等等。老鸡时代建的？应该主要就只有nilai的脚车馆。没有老马留下来的东西，老鸡要搞东运会应该需要跟马大借stadium来搞。没错，老鸡是有翻新国家体育馆，但老鸡是用bukit jalil周边的几十亩黄金地来付款给承包商的。老马建整个bukit jalil体育中心，从没有到有，都是真金白银从国库拿出来建的。本来用地来付款只要是价格合理的都是没有什么问题的，不过林神用填海地来付款给contractor就被马华仔/中立仔从头吊到尾，老鸡用黄金地来付款就好像什么事都没有发生过那样。还有，当年监督国家体育中心建设和举办共运会的体育部长叫muhyiddin yassin，不知道中立仔在赞扬khairy举办今年东运会的时候会不会也表扬一下muhyiddin yassin？"
