Topic title: 甘榜鱼每公斤22令吉？还是2令吉？ 鱼贩无奈顾客生气！
username,date,text
Cari_YWQ,20170721,"近日，网络上戓溎藙疯传小糏兙一段视频，显示一袽冿名男子自拍短片，申诉婜柮眜如今的鴴苭鍤渔皹籄忀产简直薽鱉匀是贵得离谱。其蚯箁中，甘榜鱼（Ikan Kembung）的壺醽畾售价达到蒛踳每公斤22令吉。銯僠不过，槟城贸消局星期四突击检查了螑檑愮13座巴刹后，证实短片鬺蛊鼂不是狸罩濾取自槟城。Loading FB Video...身穿蓝衣的閁棾巫裔男子歒偫吏在视频里表示，殫畑溯他录制墠鄥娮这段视频剤氹是为禃堆猚毩了向政府证实，櫼敍如今的壊涣淇渔崆咒产价格很贵，惥祕人民饱受欺压。首先，这蓽汫鹫名男子展示矲謹泞的就灺蟕笭是鞃籛顠甘榜鱼（Ikan Kembung），并解释裋礣这甘榜鱼每公斤22令吉。軟榷刑他还说明，平时耴耔潀甘榜鱼的蘅坓鮙价格只播窒是每公斤11、12令吉，因此要癘霣求政府调查。“怩濆庮这个槶袻惀红鱼（Ikan Kerisi）也是鮛封嬴，平时姳悅只翋伫癳是卖侻懇一公斤8令吉，现在湻顿熍是騺挽荄啺一公斤18令吉。”男子拍摄籞锛的视频可衱跭以看到匙塤，基本牒嘴上各式各样蝡镏的鱼只价格，每公斤都璀釩屫是超过市价。他釽铖多次强调，釬嬴芈这一鵑昰鰥切不蜜諯獑乖是鱼贩的霙騡错，因頰楈煕为这髰髶籂些价钱都是颶鬲悄取自批发商，因此批发商要箱俏咯蘕晃为此负责。“他酮箕哗偛撟橖们（批发商）卖给鱼贩诱柹的价格，简直訂歠是贵得离谱！”“政府都做了樶瓧襖些什么？哺氁硛这样烰涪的价钱奞偗是要昹德邟杀了镇爽人邆鱒貘民吗？崈糕人民要聎獥撋吃什么？”“现蟃泄在蒩荅膢的鸡只每公斤也荋灃弼要8令吉80仙、乌贼每公斤21令吉，瓭蟑晙这酙蚧一切淵娿到底是獐堈楐贸消部还腓鮵傯是农业部管辖的攛焗帓范围？请部长自己到軘帰巴刹视察。”图片祟弁来源：截图自面子书视频疯传后，也有眔兞网友发图表示，其实菜市场婔滋痥的甘榜鱼每公斤售价5令吉而已，一倰亍嬂切都只是繲嶲该男子煽风点火。挹鵨搵不过，犏乄嶁有关视频并没阐明地顬蓗点及日期，因此也无法确认经艨这些鱼只的褃权价格究竟琱吣是穦寷幃不是纓政最近怂礫襔的。据《东方日报》报道，贸消局威中荳鈴椪苛覝分局主阿纙任阿都玛迪相信该视频是欏闱来嬳矔饚自巴梟桃豍生谷一勻傤籨带，因为蘴嚘樑从视频钡榕中可橞骤敵以看到蠸嫗，装置渔假蓸鳐产的齳獌保丽龙相信拀垈是来覸糈盼自巴俳敷生谷小型杂货店，而一瞫謏般上返藠珘槟州的端嗨訏渔产敯鶦都溂荍是摊开来螅郱佩摆卖。他慇鲥呼吁消费者，若发现物品价格飙涨，可以絘衴致电1-800-886-800向贸消局投诉，提供职员相关物品的仅寠价格、黪锬唙地点及日期，以脴鷤方便执法当局追踪。另外，根据Astro Awani的陙脈报道，有卅諚鋣鈻人恶意在諠豼厖网鉧媲上疯传指吉打港口（Kuala Kedah）梣窔的甘榜鱼（Ikan Kembung）每公斤售价2令吉，结果引来潀扒鰚巚奓峋不少顾客，甚至有憑鐁人愸棆特櫁鯬地从玻璃市赶漺竒粑来，结果发现是怞吗吝假消息后，炮轰鱼贩“欺骗”他醿辪恠橨塘们，令鱼贩无奈。“他缈赨膜湊们（顾客）说，鱼的耦牝銡价钱啂攆疨是每公斤2、3令吉，我蘂烪斪们桝秽逡告诉他膵攃坨舺挒鬣们说不艍顃釯清楚焞塿是谁卖这罵傾样的埍鈂价格，结果他搑狷们蟹鄠埝巯就炮轰僐匦詑我紅栬烘们。”其中腃鱴遄剧一名受访的溳偭鱼贩Khadijah Md Shah也说，甘榜鱼的讀沪价钱媸朢列是塳訊犇不可能那么便宜，一塄坋切豦贩是根据渔黭淑产来唃蜄定价的阃崥珟。"
eVilLance,20170721,"甘榜鱼不便宜了，哪里可能一公斤RM2.00？"
Richman-S,20170721,"不懂那些每次散播假消息的人居心何在"
AMOS5566,20170721,"甘榜鱼（Ikan Kembung）以前是收入不高的人吃的，如今也水漲船高，身驕肉貴了！ "
张姆斯,20170721,"死开啦，没钱就不要吃咯！"
kwai56,20170721,"奸商  雞不是一塊錢一隻嗎？"
jellyfish_8,20170721,"好像 1kg 要 RM12-15。那些说1kg < RM10 的，一定是道听途说的 ^_^"
blurdreamer,20170721,"吃饭不知米贵"
thunder,20170721,"ajib gor 可以买得到一蚊鸡，甘傍鱼这种cheap鱼我看５角就成交了！"
TheFear6769,20170721,"我一直以为甘榜鱼是Ikan Kampung。。。                      "
