Topic title: 给马哈迪的一封信：你曾经是我心中的大马之神
username,date,text
佳礼编辑,20170722,"亲爱的马哈迪：记得在中学上课的时候，印裔历史老师常常在课堂上说着你的事，她说你是马来西亚担任最久的首相，你是一位值得大家尊敬的领导者，你带领马来西亚走向2020宏愿的先进国，是你造就我们的国家。就读国民型中学，填鸭式的教育下，我和其他同学都直接灌输“你是如此伟大”的想法，我们不曾怀疑，甚至把你捧为大马之神，你是一个如此厉害的首相，没有你就没有现在的马来西亚，没有吉隆坡塔、双峰塔、KLIA机场、Bukit Jalil体育馆、Sepang赛车道、LRT、南北大道、KLCC和Putrajaya。记得那时候老师说，没有你就没有吉隆坡塔和双峰塔；没有你就没有现在的布城；没有你就没有人懂马来西亚。哦，是你把马来西亚从一个第三国家迈向先进国。中学毕业进入私立大学，受到了不少冲击。选择媒体系就读，讲师开始让我学习如何“批判”，一个从小都没人教导的举动，记得小时候都被教育成不要批评，不要质疑，不要回话。政治学的课堂上，讲师解析着大马政治，你当然也是课堂内容之一。那位讲师不断在说你“坏话”，说着一些我不曾知道，也不会在报章上看到的事。他说你让马来西亚进入黑暗时代，一直霸占着首相的位子22年，迟迟不肯下位，说你是个很糟糕的政治人物，让我国的三权分立失去平衡，你在1988年为了一些对政府不利的法庭宣判，罢免联邦法院院长和几名最高法院法官，造成司法危机。你牺牲了司法独立，你利用内安法令扣留了许多和你有不同意见的人，所有反抗你的人都得被关起来，包括前副首相安华。哦，当时的我非常惊讶，20年所相信的事情突然瓦解，你变成一个非常讨人厌的领导者。图片来源：网络以前我没有面子书，没有网路，所有关于你的资讯都是从老师口中得知，也常常看到报纸头版有你的照片，现在更常看到你的消息，有褒有贬，身边的人讨论到你时，常会说：“退休了就好好享受生活，都不知为何还要出来说那么多话。”新的一代可能只懂你是第四任首相，退位了还要一直干涉政治不肯放手，和现任首相纳吉对抗。有时候觉得，你很幸运活在网络还未发达的世界，许多不好的事实都被隐藏得好好的，但纳吉就不一样，全马人都在盯着他，连小学生都知道26亿令吉事件。近日频频出现你的报道，你成立了新的政党——马来西亚土著团结党（Parti Pribumi Bersatu Malaysia (PPBM)），也成为了希望联盟的总主席，和安华一起对抗国阵。哦，突然觉得这世界没有永远的敌人。图片来源：网络可能从小被洗脑成功，我对你还是拥有一种尊敬又仰慕的崇拜，虽然如今听过你不少负面的事情，也知道你不是一个民主的领导者，但我还是你的支持者，只因为我认为你对马来西亚的贡献不可磨灭。92岁高龄的你其实可以不再为我国政治奔波，好好在家过着天伦之乐，但你还是站了出来，无论目的是什么，就让大家看看这一次你能不能成功继续辉煌着你的政治生涯了。亲爱的马哈迪，你已经不是我心目中的神，但我希望你可以让马来西亚变得更好。外星人陈韵如  上"
Orochimaru,20170722,"Lz太天真了，大蛇和其他大多数人也是填鸭式教育长大的，可是不曾把老马视为神或伟大之人，不管小学中学还是大学，政治也只是争取名利的工具罢了，为国为民的早死光了"
山村野夫,20170722,"楼主的漂白术一点都不高明。"
星蕾,20170722,"或许女人的逻辑多数会选择原谅不会在意过去"
BigAssBunny,20170722,"无论他犯过多少错, 却如今有谁敢站出来跟大魔王抗衡? 就让他走完他人生最后一场战役吧。。"
yming2475,20170722,"如果是李光耀來擔任首相會更 ～～ 進步 。。"
sengwai929,20170722,"从小洗脑、网络不开放，听起来很像现在的朝鲜 "
阿镖叔,20170722,"马哈迪曾经是我心中的一号恶魔，但是现在我发现纳鸡青出于蓝，魔法更强，马哈迪敢冒险跟当今一号魔对抗，对他开始有点改观！不是相信他英明神武 爱民如子，善待华人 但是看了纳鸡的表现，对比之下认为他至少比纳鸡少烂！"
kennyteoh818,20170722,"麻烦做多一点功课"
daimon,20170722,"他的年代真的很好不過他也是那個因素國家現在這樣"
