Topic title: 好消息！！废票党有落脚处了！！
username,date,text
bkkt09,20170724,"不满敦马当总裁！烈火莫熄组织或大选对垒希盟--------------------------------------------随着把组织内舔老马的希盟毒瘤给清除后otai reformasi已成为马拉西亚真正清流的改革组织这就是马来西亚人民真正想要的改革组织来届大选可以选择otai reformasi以向腐朽的国阵希盟发出不要比烂的强烈的信号"
us2009,20170724,"没问题 凡不喜欢希盟的都可去选别的 只要尽了国民的义务，投票就可以了"
bkkt09,20170724,"前提是有烈火莫熄有候选人上阵不然还是只能废票"
gaomin,20170724,"有落脚处？不知道谁资助，应该能得到一千几百万吧？"
一燈大師,20170724,"敵人的敵人就是朋友，支持 Reformasi。"
bkkt09,20170724,"民心所向，资金自然有来处反正不会是有1000亿身家的老马资助的"
loongken,20170724,"鸡ㅡ定鸡大欢喜你帮我我帮你。"
gaomin,20170724,"两条路，不从1000亿那里来，那就是从26亿那里来咯。"
junkpart,20170724,"不錯。"
nyluon,20170724,"有些人還是會說他們又不可能贏，投給他們也是浪費票數，等於支持囯陣blah blah blah他們只有一句話：不支持希盟的都是支持囯陣"
cct2050,20170724,"戏盟只剩下同流合污有一点主见，不是自己离开，就是被驱逐，就是被踢除候选人名单"
bkkt09,20170724,"26亿的支持改革运动了？你支持了吗？"
山村野夫,20170725,"期待毒瘤老祖沈同钦和李映霞等人加入PSM 。"
seankaz,20170725,"哈哈 真废"
阿白,20170725,"很好, 我也会考虑投这个ota refomasi"
阿白,20170725,"很好, 我也会考虑投这个ota refomasi"
gaomin,20170725,"人家认得的，只是民联（当时的），月亮以为自己很强。"
chinapee,20170725,"投·HATANO YUI 能吗！？"
512MB,20170725,"怎样转都好，全马华人绝对不投马华民政，让这两个党回乡种番薯"
loongken,20170725,"投这种党只会助他们发财吧了现在只有鸡或敦马ニ选ー。"
noman,20170725,"放心~這組織已經被國陣收買了~遲點你看~就會公開支持惠民的拿擊敗了！"
阿白,20170725,"那个不是我的菜, 不可以投"
chinapee,20170725,"投STELLA　COX也能？　更大么。。"
阿白,20170725,"如果你喜欢大的, 你可以投rion"
逍遙,20170725,"呵呵 叫Reformasi的 骂骂马哈迪的 就是： 老实说 这种大选前才跳出来的 政治排泄物你不放上论坛 大部分人还不知道是什么东西呢"
CjHyMC,20170725,"静观其变吧，看他们下一步的动作先。废票党不爱投给国希二联盟，不代表他们就得投给第三方。"
bkkt09,20170725,"要当国阵希盟奴隶还是要改革只能二选一"
bkkt09,20170725,"不能这么说他的出现是时事造英雄要不是因为国阵希盟都烂透了"
bkkt09,20170725,"投改革派会比废票更有效表达立场"
loongken,20170725,"改个屁这种打着改革在混水摸鱼到时那边有利就跳去那里。"
逍遙,20170725,"关键在于 过去这么多年 他们都在干什么"
novem911,20170725,"不能投废票啊"
bkkt09,20170725,"这么说你是执意要当国阵希盟奴隶不愿给改革机会了很好很好"
bkkt09,20170725,"我知道他们过去是pkr 外围组织一直跟随pkr要推动改革但看到pkr 希盟腐朽不抗明显otai reformasi 不想同流合污傲然驱逐舔马希盟毒瘤出组织自个为改革议程继续上路凭这份坚定信念就值得人们支持"
逍遙,20170725,"有信念的人 早都应该离开 成立新组织了划清界限会这么难吗 需要考虑几百天不会是难分难舍 暗度陈仓吧"
bkkt09,20170725,"跟谁pkr 多年了，一时放不下情感难免但大是大非上他们还是站稳了脚跟选择负自己的宗主pkr ，也不愿负人民"
gaomin,20170725,"按柜金都被没收了，要怎样跳，收了钱搞破坏才是真正目的。"
samsilence,20170725,"谢谢分享~"
cct2050,20170725,"马来西亚需要不分种族的民主社会主义抗衡种族钱袋资本主义"
bkkt09,20170725,"你收了老马多少钱来cari 骗人当老马奴隶"
prince,20170725,"rakyat nak hapus gst，u ini jangan kacau-kacau，biar u ini hilang deposit！"
loongken,20170725,"意思说中选後跳。"
jackyboy05,20170725,"爽，越來越熱鬧。"
bkkt09,20170725,"有了otai reformasi，就不用投废票了"
