Topic title: 青年见色心起‧书店内自慰吓哭妇女
username,date,text
爆seed哥,20170725,"吉隆坡25日讯）世风日下！青年书店遇美少妇後色心大起，当场在书店上演自慰秀，吓得妇女崩溃大哭。这起猥亵的书店自慰事件是於7月16日下午2时45分发生在Solaris Dutamas一家着名购物中心的连锁书店内，事发时，40岁妇女因等待在同一栋建筑物设立律师楼的丈夫而前往书店打发时间，岂知却不幸遇上这宗令她终身难忘的事。妇女的丈夫是一名执业律师，曾出任副检察司，他向本报透露，妻子在事发後马上致电给他，俩人坚持要检查书店的闭路电视，并当场用手机拍下短片前往购物中心保安室投报，惟最终仍无法逮捕涉案青年。这名拥有拿督头衔的律师（38岁）说，他与妻子从未料到有人会在光天化日下，在书店上演自慰及射精秀，所以决定对外公开这件事，以警惕更多的女士要提高警觉丶自我保护。他披露，虽然青年当时站得非常靠近其妻子，不过，由於当时妻子身体不适，再加上身处於书店的孩童阅读区，所以根本没料到青年站在身後是为了进行猥亵行动。上衣湿了惊觉是精液他说，妻子在事後才发现上衣背後湿了，并在检查後发现那是精液。“当时，她感到惊惶失措，甚至情绪崩溃大哭，因为她从来没有想过有人会在书店的孩童阅读区作出这样的事！”他透露，在拮取了闭路电视短片後，他马上前往购物中心保安室投报，购物中心按短片中的截图四处寻找有关青年，惟搜遍後仍无法寻获青年的踪影。他指出，虽然案发时书店并非繁忙时段，不过，他要提醒所有女士提高警戒，因为犯案者一定会重蹈覆辙，对其他人下手。“我自己也有女儿，我不想类似的事件会发生在自己的女儿，或其他人的女儿身上，妻子发生这样的事，身为丈夫一定会感到气愤和激动！”他表示，妻子迄今的心情已恢复平静，不过，这起事件对其妻子或家人来说，仍是一个无法磨灭的噩梦。盼借助媒体力量揪出青年他强调，除了要警惕众人外，他也希望借助媒体的力量揪出这名青年，并亲手把他交给警方接受法律制裁。根据闭路电视短片，这名皮肤白皙的青年在事发时左手持着一本书，在环顾四周看见无人後就走近当时坐在儿童椅子上阅读杂志的妇女，并站在妇女的右侧身後，俩人当时只有数十公分的距离。当时，青年用书遮住自己的下半身，并开始进行疑似自慰的行为，整个过程不超过15秒，完事後，青年还回头望向妇女，看起来并没有察觉自己的一举一动已全程被闭路电视拍下。根据书店闭路电视，这名皮肤白皙丶身穿黑色上衣及长裤的青年从书店的文具区走入孩童阅读区，当时他左手持着一本书正环顾四周，看到四下无人後走近当时坐在儿童椅子上阅读的妇女身後开始自慰射精，完事後他曾一度回头望向妇女才缓缓离开，面向闭路电视的他在离开前，双手疑似正把裤子的拉炼拉上。"
feilong,20170725,"40岁的美少妇。"
JowY,20170725,"整个过程不超过15秒一定要找出來送去治療早泄"
loongken,20170725,"包头佬ー定说穿的太短引人范罪。"
tequila123,20170726,"熟女控。。。事主一定有種特別能吸引比自己年輕男性的獨特魅力"
chiew2005,20170726,"竟然吓哭了？这女的没见惯大场面？"
ongtk,20170726,"看背后就知道阿婶样了"
lam69,20170726,"40岁了，又不是没“见过他市面”,花容失色，大惊小怪.要上报纸吧？"
舞猫猫,20170726,"死变态                         "
死蠢,20170726,"这种人如果抓到他肯定要罚他对着螺丝马的肖像天天自慰一个月！！！"
yming2475,20170726,"夠力了她的老公是律师 ～～"
Cinabaku,20170726,"穿的那么短又坐在小凳上，露太多了。"
Cinabaku,20170726,"其实跟自慰吓哭都无关， 她只是事后才发现‘精液’在她衣服上。可能是鼻涕呢？ 不然一支阳器在旁边都闻不出来"
galaxy2088,20170726,""他也希望借助媒体的力量揪出这名青年""
Cinabaku,20170726,"王八蛋，居然敢渎亵国母"
BBJ,20170726,"看到新闻，该青年哭了。发现那天的幻想对象是40岁的。"
lumixcer,20170726,"尊容照得那么正，他躲去哪。。"
死蠢,20170726,"你的反应螺丝马像你老母多过像国母。"
kennyteoh818,20170726,"应该开心才对。还有市场"
Barryliaozs,20170726,"这位美少妇只看到背面，有正面可以看吗？"
Kyrios,20170726,"他表示，妻子迄今的心情已恢复平静，不过，这起事件对其妻子或家人来说，仍是一个无法磨灭的噩梦。都40多岁人了，是没看过精液？除了恶心之外，那个变态也没接触受害者吧？最多恶心而已，说什么无法磨灭的噩梦太夸张了"
阿白,20170726,"这样对那鸡很不公平咯"
阿白,20170726,"是啦河马是只属于那头鸡专用的!"
chinapee,20170726,"假到。。。 BITCH。。。 假假。。"
50912cmea,20170726,"老公嗅到老婆衣上有精液，以为老婆去X混自己戴了X帽??? "
三傻Samsung,20170726,"男子看来是一灯或是江夏"
samsilence,20170726,"哈哈哈~我比较是他秒射的重点~"
Cinabaku,20170726,"祖上有德啊"
浩浩荡荡,20170726,"秒射哥百撕不得骑姐"
seankaz,20170726,"说少妇还ok, 美少妇就不敢认同不过酱的变态 的确要拿去关"
chinapee,20170726,"这男的根本是中亲笨勇男 ！！"
zaqre,20170726,"話說那位婦人，有人站那麼靠近，也沒發覺嗎？"
kingpower2016,20170726,"应该是熟女控有market."
wlwl,20170726,"其实，这真的是美少妇吗。。"
茅擇洞,20170726,"如果女受害者看起來像30歲左右呢，這樣算獨特魅力嗎？"
aurorau,20170726,"那熟女灵魂出窍啊，站得那么近，竟然没察觉？那射精男是不是她的老公？两人在玩roleplay是吗。"
Orochimaru,20170726,"遇到变态很可怕，网友的脑残留言更可怕"
pcmont,20170726,"还好没有射进嘴巴。。。"
pcmont,20170726,"15秒就射了。。。？？？？少年体质不好回家要记得多多锻炼一下。。。。吃多点生蚝！"
aciaco,20170726,"应该改新闻主题《男子15秒早泄》哇哈哈"
aciaco,20170726,"不要打马赛克，把他的脸公开放出来。。。 不用法律审判就能让他永远“台“不举”头”"
情牵軒尼詩,20170726," 问题是那女的背着他,根本没看到脸,如何证明是个美少妇?"
情牵軒尼詩,20170726,"你这句话不对了,公共厕所和私家厕所是不一样的。"
情牵軒尼詩,20170726,"短裤一条有几暴露??她应该是那天倒霉,自认栽了。"
情牵軒尼詩,20170726,"打了马赛克如何搜索?他是想给大众一些想象的空间以便可以指鹿为马??"
情牵軒尼詩,20170726,"前面可能没拍到,又或者剪接了。哈哈哈"
情牵軒尼詩,20170726,"包头佬会问你愿不愿意嫁给他tiam,哈哈哈"
180,20170726,"有些会故意穿t-back露给你欣赏的。"
Daewood,20170726,"要让人知道，40多岁，还有市场"
情牵軒尼詩,20170726,"她看书看到灵魂出悄似的。那个人站那么近她都可以如此般的后知后觉?晕!!!扒手最喜欢这类人?应该是从天堂下凡的,不懂地球很危险"
情牵軒尼詩,20170726,"她的防危意识太络,完全没开防火墙。所以副墙在遇到危化武器过后就collapse了。"
情牵軒尼詩,20170726,"40岁也可以是经不起惊涛骇浪的室内小花,不要以为senior就一定是outstanding 的那个。很多都是挂名veteran 罢了。"
情牵軒尼詩,20170726,"人家给你欣赏你就好好的张大眼睛去鉴赏,不需要用其他的道具去弄脏别人的衣服,你看,你弄脏人家那么贵的衣服,你赔得起吗?哈哈哈"
yming2475,20170726,"又沒有照片看如何鑑定她就是 ～～ 美魔女 ？？ "
180,20170726,"这是他人心态问题，你我都改变不了。"
lancer12,20170726,"很变态的快抢手"
情牵軒尼詩,20170726,"我也希望你能够听取我的劝告,切勿步他后尘。哈哈哈"
洗零,20170726,"被吓到- 太快了大声痛哭- 太浪费了"
180,20170726,"女人的心理，太难捉摸。"
Cinabaku,20170726,"为了避免类似事件再发生，书店要贴dress code了"
alienwong,20170726,"整个脸都是马赛克，找屁啊！"
RingRingRing,20170726,"最近很多撸射哥啊 "
Mr.lo,20170726,"这男的。。。。为啥不对着电脑荧幕有更多选择。"
Cinabaku,20170726,"不要这样啦，搞不好3个月不敢造爱，阴影还在。"
浩浩荡荡,20170726,"其实，是不是拿来嗅才发现是精液？"
楚河汉界,20170726,"可能是日本人。。日本人才那么变态。。"
qweasd147-,20170726,"这里的留言果然够贱"
蓝火爆,20170726,"真期待他们的女人、姐姐、妹妹，老母、姨妈等等。。。。在公众场所被人颜射。"
novem911,20170726,"真变态"
seng1981,20170726,"好像很小罢了，大概是华人"
lam69,20170726,"老处女就说“小女子怕怕啦”,这个已经为人老母了，肉条都看到臭酸了啦！看到一个小伙子玩枪会吓到这样？ 我才不信。"
lam69,20170726,"你不会说有阴影到老公掏枪出来就涛咆大哭。"
情牵軒尼詩,20170726,"自己养的狗和外面的野狗是不一样的哦。哈哈哈"
Cinabaku,20170727,"这种要用冻火鸡治疗法"
chiew2005,20170728,"放进嘴里尝了一下。。"
猎人凯特,20170728,"小年轻＋紧张，秒射正常，哈哈"
JowY,20170728,"這個只是五姑娘，給他真的女人的時候不是要緊張到5秒？"
猎人凯特,20170728,"可能紧张到直接不举"
thunder,20170728,"十五秒，这个贱男不死也没用了!"
三傻Samsung,20170728,"人家短小精快嘛！你以为谁都可以的咩？"
三傻Samsung,20170728,"人家短小精快嘛！你以为谁都可以的咩？"
t.c.l,20170728,"秒射歌"
liew8631,20170728,"敢敢大叫，让人抓着对方"
为人民服务,20170728,"他拿的那本书应该是色情刊物。不是清真的。"
beyondseek,20170729,"做律師的沒有這樣的口材怎樣幫人搞到對方賠多一點~~~"
kingofthesouth,20170729,"应该砍下来，打包送给她。"
