Topic title: 钱袋资本主义泛滥，每公里的造价 4 亿的檳城泛道公路
username,date,text
cct2050,20170726,"每公里造价 4 亿的檳城泛道公路  ..... 亚洲第一高价。泛槟岛高速公路的造价是 86 亿令吉，公路全长 19.5 公里，每公里的造价是 4 亿 4100 万令吉的天价！505 之后，戏盟贪污腐败风暴已经形成！纳吉也甘拜下风，直接认输 !http://www.laksou.com/2017/07/20/李明胜：造价暴涨，槟城建全马最贵大道和轻快铁/槟建全马最贵大道轻快铁  ？   21/07/2017http://www.kwongwah.com.my/?p=359306"
kwai56,20170726,"LRT3也不便宜 "
prince,20170726,"mo1 夫人 的一粒石头都一亿了，做条公路要多少粒石头，很便宜了，不要再嫌了。"
cct2050,20170726,"去年 6 公里路   8  亿今年 19.5 公里    86 亿胃口越喂越大霖家是贪腐之皇你就承认 嘿嘿"
假冒是神50,20170726,"UNCLE说过淋狂英在PENANG所吃的每一亿都必须如你们所愿在同一个PLATFORMX 13YOU GET IT?UNCLE WILL NOT REPEAT AND REMIND YOU AGAIN嗯嗯嗯嗯嗯嗯嗯嗯嗯"
山村野夫,20170726,"引狼入室，槟城人民这次大条了。"
一燈大師,20170727,"對火箭粉來說，一公里裡少過 26 億肯定不是貪污。所以這個是偽命題。"
JowY,20170727,"這個有點誇張，難以置信"
loongken,20170727,"投资什么最後都是亏本收场还是另有内情？         在沙地地铁营运亏损数亿 拉菲兹:国家基建公司债台高筑在沙地地铁营运亏损数亿 拉菲兹:国家基建公司债台高筑…MALAYSIABLE.NEWS"
vvti_84,20170727,"penang island土地费贵 "
一燈大師,20170727,"你被拉菲茲洗腦了。基建是國家給人民的福利，不是用來賺錢。沙地地鐵是我國協助沙地，換到的是沙地投資我國 Pengerang 300億石油化工。這些拉菲茲不會向人們講。"
loongken,20170727,"好处自己入袋亏了全民埋單。"
cct2050,20170727,"槟城就是这样玩的朝野都是贪婪的右翼"
hangz81,20170727,"在低价买房事件上红豆说过地价对屋子建造成本的影响非常低，所以这应该也可应用在这事上"
loongken,20170727,"朝的己光明正大吃野的是有做早就被捉。"
kwai56,20170727,"基建是國家給人民的福利，那來那麼多貪污案 "
jellyfish_8,20170727,"西门大海啸来咯。。"
feilong,20170727,"除了比烂，还要比谁贪得少。"
cct2050,20170727,"ok 我们以 2016 的 6 公里 8亿 为成本來算这单每公里 1.3 亿，1 3 x 20 =26 亿86 - 26 =60 亿比纳吉的 1mdb 更狠手"
jellyfish_8,20170727,"那条路可以让槟城郎自豪，就叫“钻石大道”吧！"
pulauturtle,20170727,"说来说去就是要破坏槟城发展"
cct2050,20170728,"60 年代 拉萨马哈迪粉丝也是一样口气劳工党等反对党联盟就是要破坏马来亚的发展"
prodigys,20170728,"谁被黑锅."
山村野夫,20170728,"华山派的末日到了。"
hangz81,20170728,"人家说是因为要环保所以造价才那么高所以应该取名为“钻石级世界环保大道”"
jellyfish_8,20170728,"火箭让槟城从电子州大跨越到钻石州，人民之福。干巴爹！"
