Topic title: 适耕庄增7千新选民  行动党州议员质疑“马来保留地出现非巫裔”
username,date,text
Cari_CYJ,20170801,"雪兰莪适耕庄州议员黄瑞林表示，许多来自吉隆坡、马六甲甚至沙巴的新选民，被分配到雪兰莪适耕庄选区，直指这些都是幽灵选民。据The Malaysian Insight报道，黄瑞林表示，据新选民的登记号码显示，大部分都不是雪州的居民。一些只有9至10间民宅的村庄，竟有上百名人士登记为选民，包括华裔、印裔及土著，不排除大部分是幽灵选民。他也表示，早前巫统大港区部主席嘉玛尤诺斯曾指出，已有7千人登记为适耕庄新选民。然而，黄瑞林指责嘉玛，将华裔和印裔选民，登记为一个马来保留地的选民。因此，他会就此事到警局报案。这名行动党州议员说：“如果只是一两人（选民），还算可以接受，因为或许你是搬迁过去。不过，如此庞大的人数，或许是已经谋划好的。”与此同时，嘉玛指黄瑞林玩弄肮脏的政治手段，并挑战他向警方投报。较早前，嘉玛曾表示，他在适耕庄发现了7千名新选民，并表示这些新选民将有助巫统在来届大选，夺回雪州议席。"
cikmekyee,20170801,"呵呵，这个年代能骗就骗，能吃就吃，能打就打…………"
kwai56,20170801,"有機會拿下誣青了 "
元旦8466,20170801,"适耕庄嘉马旅馆的租住客不行的咩?!!"
kentpua,20170801,"嘉马这个无赖？"
SIEWMIN,20170801,"不是新鲜事"
loongken,20170801,"什么肮脏手段都出完。"
jellyfish_8,20170801,"火箭当务之急就是抓几个Banglasia，拔几搓长又黑的脚毛来证明真的有幽灵。不然这样的鬼话，真的不懂该怎么延续下去？"
阿白,20170801,"幽灵选民, 加上废票党民,  会确保巫桶轻松大胜过后那鸡会带更多bangla进来变土著, 华人将会变成4等公民, 废票党们静静不敢出声, 默默举牌ilovePM"
mark,20170801,"国阵有选委会的配合，来届大选必胜无疑..."
iStandAlone,20170802,"鸡鸡现在只许胜利没有后退之路，现在如果有发现疑点全部必须仔细查"
cct2050,20170803,"dap 已经正式成为马来穆斯林的守护者"
