Topic title: 哈迪赴英告《砂报告》诽谤：先赢了1.5万英镑堂费
username,date,text
Cari_YWQ,20170806,"伊党署琗赾主席哈迪阿旺起诉《砂拉越报告》诽谤案取得初步胜利。伦敦法庭喻令《砂拉越报告》主邴炑编克莱尔（Clare Rewcastle-Brown）支付哈迪阿旺1万5000英镑（约马币8万3719令吉）的浾垈掮堂费。根据哈迪阿旺訵匣在借珦个鳒贸人面子书蝫瘾上传呙犅姛的文告显示，早前克莱尔嬟饵蔅要求英拣繚国法庭指示哈迪阿旺先悏踡洆为柰抷崾这诽谤诉讼支付押金，絳洏賆以确保日后如撅謇果哈迪败诉，她也能收到帾猤哈迪椔碌的堂费。檀鵗谮不过，英耽岴国法庭驳回了俚晳吒克莱尔的慲乊申请，并在茦屳獀8月2日喻令克莱尔支付堂费趤冚豜的三畅馞鰷分之二，即1万5000英镑给哈迪。文告也指出，法庭只籄蘓渊是让克莱尔份逡嵐在21天内自辩，不駏矶允许峻墲上诉。  去年亳坮壳8月6日，《砂拉越报告》刊登晙氥一篇评论指伊党最高领导层收取了錚鈝挻首相纳吉剪歭的9000万令吉，以哷勈便支持国圶釥阵和邀鐨巫统。徥奙荣不过，伊党否认，并指该篇评论具有砂鹀娪恶意，而伊党躦琻主席哈迪阿旺也贜邥对此起诉克莱，要胢吓求停止指控和槈牅索取赔偿。"
Orochimaru,20170806,"胜就是胜输就是输，不明白什么初步小胜利"
cikmekyee,20170806,"没有证据的东西还是不要乱登！"
bcteh,20170806,"哈迪有种"
李国锋,20170806,"反对党最喜欢利用媒体制造假新闻。"
Hishammudin,20170806,"纳吉会不会打铁趁热去美国？"
JowY,20170806,"佳禮記者 @Cari_YWQ  詞窮，人家不是正規記者，你要求不要那麽苛刻"
JowY,20170806,"回教黨 是 １ＭＤＢ事件的大贏家快點開庭，讓英國婆原形畢露"
kmrddecade,20170806,"为什么哈迪要去英国告砂报告？英国法庭也收哈迪钱？"
友仔,20170806,"一夜暴富的故事还是存在，不过是要看发生在谁的身上"
samsilence,20170806,"没有证据"
JowY,20170807,"英國法庭出賣華人，漢奸走狗，死中立中立  "
JowY,20170903,"針對英國婆沒有向英國法庭提交書面抗辯，當今大馬詢問了當事人確認英國婆沒有否認  她交不出抗辯書https://www.malaysiakini.com/news/393939哈迪 vs 英國婆 2：0 "
素还真,20170903,"可恶的英国不应该允许哈迪提告，因为哈迪只能遵守回教法律。"
