Topic title: 林冠英在新春团拜活动上，曾以《听妈妈的话》这首歌，向村民保证州政府顺从民意
username,date,text
一燈大師,20170806,"柔府村民再次为被革职的前村长詹德荣情愿，望州政府听取民意。原來村長和村民站在同一陣線抗議外勞村，就被以 “非火箭黨籍” 革職。 曾国荣：望州政府听从民意杨堃芳：新村长应与民同一阵线 **********************************“林冠英在新春团拜活动上，曾以《听妈妈的话》这首歌，向村民保证州政府顺从民意”噁心的政客。"
蓝火爆,20170806,"大师江郎才尽了。。。。"
一燈大師,20170806,"這場戲的主角是 ： 檳城華人忍無可忍群起 screw 林冠英火箭政府。我負責字幕而已。"
蓝火爆,20170806,"大师保重，还真担心大师您拼到最后一滴精而精尽人亡。。。"
一燈大師,20170806,"不解救完全部沉淪的火箭粉，就不成佛。"
W5567T,20170806,"林神的妈妈命令他革职前村长, 所以林神是《听妈妈的话》 "
otkkalahteruk,20170806,"真的嗎，等下林神政權又掃90巴仙華人票？"
一燈大師,20170806,"已經大半年沒一個火箭議員敢吹這頭牛了。"
jellyfish_8,20170806,"火箭内部已经四分五裂，阿头诚信破裂，阿粑胡言乱语，不足外人没眼看，自己人更不敢吹。。"
李国锋,20170806,"政客连妈妈都利用，真是火贱。"
空中说话,20170806,"上届连他老婆也利用啦（利用他老婆剃头）。"
一燈大師,20170806,"原本受到萬民祝福，勢如破竹地直取中央令旗，可是重伊輕華，祝福變成唾罵，形成火箭粉說的家運衰敗，兒子惹官非、老竇倒戈馬哈迪晚節不保。我國最令巫統聞風喪膽的火箭反對黨，已名存實亡。"
一燈大師,20170806,"整家基督教徒，為了選票，竟然跑到極樂寺佛祖前演戲 騙華人。要剃髮，他們應該到各自的教會。"
空中说话,20170806,"落发事件，大选后被天主教会谴责。他也默不出声。对他来说-我已经胜了，成功蒙骗人民过关了。"
一燈大師,20170806,"哎唷 天呀。人神共憤。對了，外勞村的反對聲浪，州政府是聾了，除了對媒體發表說 “大多數人支持外勞村” 外，沒提過四周的住宅區怎麼辦。"
teachew,20170806,"1M低B的事情呢？假装看不见？"
jellyfish_8,20170806,"槟城郎曹观友已经预备很久了 ^_^"
假冒是神50,20170806,"落完发一走出佛门就接着鬼上身大开杀戒去讨好那些鬼迷心窍乱跟阿拉认亲认戚的叛徒他这个TOKONG呀是骗到完得罪到完佛祖上帝阿拉天打雷劈恶运接着恶运屎定了啦嗯嗯嗯嗯嗯嗯嗯"
空中说话,20170807,"所以阿，这一届要跟你身边朋友，爸爸妈妈，公公婆婆，叔伯夷姑互相禀告。这个人是老千啊！跟当年他老爸发动丹绒1，丹绒2一样老千。"
假冒是神50,20170807,"丹绒2气走了李霖泰2008年卡巴星还公开表示希望李霖泰告诉大家当年退出DAP的原因嗯嗯嗯"
