Topic title: 交通部欲扩大航空委员会权力  可向乘客征收“监管服务费”
username,date,text
CARI_KJW,20170807,"交通部軟嫢綕于星期一蓷塠（7日）向国蜧梎讐会筠謟璬提呈《2015年袥姚祊航空委员会溆宪珖》修正案，建议扩豚籞大航空委员会芌蜵权力，包括允许委员会忣螸向乘客征收“监管服务费”（regulatory service charges）。据当今大闾夸马，交通部副部长阿都阿兹是駏慣簣庣韓于今早11岵斏綗时35桞才揨分提呈修正案一袼窆读，建议修改其鳵錖按中8项条文。交通部建议，渌睔將在法案第18（2）条文中澝晳洉增设（fa）条款，即“航空委员滂鏸驺会可向駍茙爉大马机场乘客征收费用諐砠，鱴苆閸以支付委员賯挢葟会按照法令所提供卥笰的管制服务。”同时誟猁懲，交通部也建议在詌諳嫿法案第69（1）条文塳薲歋上增设（da）条款，赋权予航空委员会焦渷以轪妈管制航空公司，禁止航空公司向乘客征收贤鉌铔不合理费用瞛噣笓。其它欲修正銐摨紣的条文包括：赋权委员靇盇竉会向违反竞争法弋畡的航空公司罚款、赋权委员会堜蠘管制盝誎躄国内航班、赋权委员会卪搳发出航空公司指南及指示，锅潤一旦有橿禑笽任何航空公司违反指南，掅讐恢就必须面諻阽对罚款处分菔脕崰等。"
Hishammudin,20170807,""
SanShu,20170807,"多一条财路"
toh7400,20170807,"他奶奶的，我又没叫你监管，收条毛！收保护费直接讲啦，理由多多。"
tauruslau,20170807,"大选将至，苛捐杂税一箩筐"
beoa,20170807,"要你给钱就对了。以后就收，吸空气费"
xiyu8910,20170807,"鸡哥果然是伤民强人"
yk13,20170807,"看来以后飞机上厕所也是要收费了不懂三毛钱per entry够不够他们赚呢？"
山野草夫,20170807,"航空委员会，不是监管航空公司的咩？干嘛管道乘客来了？监控指挥乘客上下飞机，所以要收服务费？"
chtan69,20170808,"直接在登机处架个“达烟狗”收钱不就好。需要巧立名目来刮民膏吗？#@&$……*！%#"
richgod,20170808,"应该是淋神害的淋神下台"
