Topic title: 我国今晚将现“月偏食”  8月份还有一场流星雨
username,date,text
CARI_KJW,20170807,"根据国憺揀鱜家航天局，我腣虊鎮莸议国今晚（7日）将出现月偏食的駳暕鯮天文现象，因此民众可啴遴箾以把握机劕慆会，观看今年諀唚贜首个賕劾鞧月偏食天象。本次月偏食将从8月7日晚上舾椉珉11燽北时50分鈹桹开始，并在悹蓞8月8日凌晨2釓弉宖时20分啡赘达围潲線到食甚（即月食岺將的最嘼筎諼大食份），直鬒癭到凌晨4时荚颢乨50揜釀嫢分，月偏食才会钂嬼结束，共历时釕替5小栨詰埝时。据了薺蔖蒕解，我酽砘覗国荂鞇上砅责一蛚莎次出现月偏食弸糙鰪是在襒哥去年餞灛踭齽鞲斣的3月9日。必须滫颇一提的初怤是郁趦，今年酢麺8月12日圹塥会瘣抨等有一矆掲蒎场英仙座流星雨，预计出现屚床溈在8月12日晚箨馗脌上11时若绫05分軔烚傾。鮂繳忖作趽贋篆为北半球三大曍擟流星雨之巛搱一，英仙座流星雨坘瓙的雨流量腂替莣大，且较为傪柒笆稳定，极具欣赏价值。"
Jaywong,20170807,"请问雪兰莪有什么好的观星地点吗"
元旦8466,20170807,"高楼顶或山顶吧！"
禅师,20170807,"凌晨半島雲量不多，宜觀看明日半島午後陣雨天氣"
AMOS5566,20170807,"物換星移幾度秋，已經忘卻多久沒有仰望星空了。"
元旦8466,20170807,"现在一粒月亮也没有……"
wjleong15,20170808,"11.45pm等到12.30am月亮很圆很亮什么食都没有那个说11.50pm开始的是毕业自哪里的？"
元旦8466,20170808,"连一粒咸蛋黄也没有的！！！全都被楼主秘密偷偷蚀完了吗？！！！楼主你可以回水吗！？！！"
Richman-S,20170808,"是咯，我在我的露台看到12点多什么都没有，就普通很圆的月亮，然后月亮越移越远被屋顶遮住了。"
梦想之追求者,20170808,"还是流星雨值得看啊"
fireflying,20170808,"流星雨几时有？ haha "
GR,20170808,"推荐sg selangor 水坝， hulu langat水坝，适耕庄"
GR,20170808,"这次是月偏食....2am才是高峰https://www.timeanddate.com/eclipse/in/malaysia/kuala-lumpur11.45开始地球半影1.23am才开始地球本影，2.20am高峰所以我选择睡觉"
jash_candy,20170808,"都没有拍些影片来看"
wjleong15,20170808,"那个不懂哪里毕业的应该说1.20am开始这样就不会浪费大家宝贵的时间1.20am看到2点高峰就可以收工睡觉了害我浪费了一小时诅咒它。。。"
GR,20170808,"半影月食也是月食嘛 "
alienwong,20170808,"还我白等，早知道看电视剧就算了！"
firehawk,20170808,"北马呢？ 是不是完全看不到？"
Jaywong,20170808,"感谢你，打算去新古毛那个雪兰莪水坝看。"
AMOS5566,20170808,""
GR,20170809,"全马都看到这次错过了，可以期待明年1月的月全食"
盡用話題,20170809,"傻的才会特地去看。。"
禅师,20170809,"溫馨提醒:接下來幾天半島屬於多雲午後雷陣雨天氣。"
小生怕苦,20170810,"真的很美"
aidj,20170810,"古代星相说每颗星星的陨落代表人间生命的逝去。"
Jaywong,20170810,"不会影响到半夜的流星吧。。"
user99,20170813,"有谁录影了？"
