Topic title: 移民局料11月实施电子付费  打压贪污且方便民众
username,date,text
CARI_LDS,20170809,"移民局为整治滥权贪腐的风气，决定不久后引进电子付费程序，以减少公务人员受贿的机会。合图。（图片来源：网路）星报报道，移民局总监拿督斯里慕斯达法阿里星期三（9日）带领移民局职员进行廉政宣誓，会场见证人包括副首相拿督斯里阿末扎希、反贪会副主席拿督阿占巴基和其它内政部官员。慕斯达法在仪式结束后披露，移民局目前正和财政部、内政部商量，设立一笔预算，让移民局可以在11月启用电子付费系统。此电子付费系统将让办理人不再需要携带现金前往该居申请或更新护照、工作签证等官方证件。“如果我们要避免人为的干预（受贿行为），我们就得升级我们的服务，让它电子化。” “我们有些公务人员一天光是收集护照和工作签证费用就已经高达40万令吉，如果人们使用电子服务付费，我们就不会那么头痛。”慕斯达法表示电子付费系统启用后，人们还是可以使用现金付费，但是移民局会鼓励民众使用信用卡、预付卡或电子系统付费，因为这样可以避免公务人员保管和处理大量现金的状况。移民局此举遭到副首相阿末扎希的赞许，“电子服务可以限制职员和利益相关者进行不正规的交易，这样会减少滥权和贪腐的机率”、“再说，民众也可以受惠，因为他们得以减少在办事处的等待时间，进而舒适便利地到办事处领取证件就好。”"
elysebear,20170809,"早就应该跟上时代的步伐啦。。现在才说。。"
paulng85,20170809,"要贪污的话，道高一尺，魔高一丈。"
AMOS5566,20170809,"你有張良計  我有過墻梯  八仙過海  各顯神通"
tuatualiap,20170809,"貧富差距越來越大了做小的要做兼職"
无名好留,20170809,"无现金概念很好，不必担心假钱。。不过目前手机付款有不少漏洞。。用debbit / credit card 就好。。和银行合作，不必通过那些垃圾3rd party 平台。。"
又是強國人,20170809,"比較好奇 "系統" 要多少個百萬?"
无名好留,20170809,"为何中国行动支付兴盛？  日媒：因为假钞太多                            中国的行动支付迅速普及化，诞生了许多独特的服务项目。然而行动支付能席卷中国，背后原因竟是伪钞太多，对现金没有信赖感？中国的“无现金化”正已超越日本的速度进行著，然而日本人使用行动支付的比率仅仅6%，同样便利的服务，为何在日本完全没有优势？据《每日新闻》报导，在中国青岛市，连路边的煎饼摊贩从几年前开始都会放上QR Code或是二维条码，摊贩老板表示：“（客人）都用行动支付，很少人用现金”。据当地媒体报导，目前阿里巴巴的支付宝或是腾讯的微信支付的使用者都已达到数亿人，城市的普及率达到9成，从餐厅、计程车、电影院到乡下的商店都能用行动支付，因此不带现金上街的人也变多了，不使用行动支付的店家还会特别加注“只收现金”。然而，行动支付一直被批评，其交易纪录可能被中国政府拿去做个人监视的用途，但北京市的上班族郭婧就表示：“即使个人资讯被看到也不介意”，因为在中国伪钞一点也不稀奇，即使是小商店也备有验钞机，“用行动支付的话就不需要带现金出门，方便又安心。”对此现象，北京对外经济贸易大学的副教授西村友作表示：“在一个对于现金有著强烈警戒心的中国社会，出现了像阿里巴巴这种有实绩的大公司所担保的行动支付，这就是中国社会无现金化的导火线。”然而根据日银在2016年11到12月所作的“生活意识相关调查”指出，会使用行动支付的人仅仅6%，同样便利的功能，在日本却未出现优势。而不使用行动支付的理由排行第一的是“对安全性有疑虑”，除了担心信用卡等其他支付手段有被冒用的可能，也对个资安全有著强烈的警戒心。转自光华日报"
无名好留,20170809,"没必要要花大钱弄系统，读卡机就可以了。。"
又是強國人,20170809,"facebook不用錢 但是curi-curi malaysia也是要百多萬來弄pun"
无名好留,20170809,"哪个废物部长弄的？没人举报？"
又是強國人,20170809,"cari的帖還在 還沒被河蟹掉旅游部耗180万设面子书专页 陆兆福凯里齐齐炮轰浪费公帑"
无名好留,20170809,"卖国贼一个，查到她有澳洲永久居民证的。。"
Mitutoyo,20170809,"在马来西亚有买东西就有Kopi喝，这是一定的，看大的喝还是小的喝罢了！！"
Daewood,20170809,"吃太凶没分到上面"
kingpower2016,20170809,"早十年前就要做咯。什么都慢过人，就是迟钝的地球王子。"
猴年馬月,20170809,"阿里巴巴的經營方式，朋黨都有機會吃香喝辣。"
binkybinky,20170809,"機器？機器可以破壞的。。。"
mark,20170809,"看来这电子付费系统少少也要算亿要不然不够分..."
小生怕苦,20170810,"不是很懂"
