Topic title: 火箭檳州彭文寶被反貪逮捕了！ 炭窑廠24小時運作，全日排出黑煙，村民投訴不受理
username,date,text
一燈大師,20170811,"火箭檳州彭文寶被反貪會調查：炭窑廠24小時運作，全日排出黑煙，村民投訴不受理。是否有行政议员滥用职权包庇污染环境的炭窑厂？村民多次向槟州掌管环境部门投诉都不受理 ，村民唯有轉向反贪会/ 中央环境部 进行投诉 。继昨日反贪会展开调查 前往威省MPSP市政局搜查证据后，槟城反贪污委员会不到24小时后再前往槟岛光大53楼行政议员办公室楼搜查，因而传出被查的是一名行政议员。据了解，由于炭窑厂是24小时运作，全日排出黑烟，令双溪里武新村的居民皆受影响 ，频频向执法单位作出投诉。据悉， 环境局将以环境法令对付该厂 负责人。惟， 反贪会官员曾透露， 该会的搜查结果将有待该会的文告做出阐明。【更新：彭文寶被逮捕了】平時 LCLY 不可一世的白毛終於鵪鶉了。Loading FB Video..."
一燈大師,20170811,"被逮捕了。村民總算了了一個心願。"
mark,20170811,"哇， 以MO1 为首的反贪会好快啊！！ 但对1MDB和全部内阁大鳄“捐款”的当作看不到听不到...."
us2009,20170811,"cheh少过26亿不用查却偏偏做事快26亿的还在翘脚没事"
lhk1883,20170811,"果然如本座所想，一定会提26这个号码的。"
mark,20170811,"26 亿的 MO1 是反贪会的老板，那里敢查？？还有全部内阁大鳄都 Under MO1, 没 MO1 的 permission 谁敢查..."
mark,20170811,"26 已被MO1 弄得国际化， 当然要提一下..."
lhk1883,20170811,"希盟贱党下届bye bye"
mark,20170811,"国阵捐款党来届 bye bye"
假冒是神50,20170811,"DAP INSIDER 万岁JJDAP上得山多终遇虎嗯嗯嗯嗯嗯嗯嗯嗯嗯嗯"
chinapee,20170811,"有图有字。。。。 你可以跟老板拿狗饭了。。"
一燈大師,20170811,"邪不能勝正。對匡扶司法正義的反貪會致敬。"
一燈大師,20170811,"反貪會請鎖好尤其是高樓的門窗。"
一燈大師,20170811,"整個村的村民也吃同樣的飯嗎。"
pcmont,20170811,"马华村民跑去Complain巫统反贪会跑去作弄反对党州政府人民眼睛是雪亮的来届必要马华和巫统一起埋葬！"
lam69,20170811,"大选近了。"
us2009,20170811,"卖花们一看到檳周出些问题 立刻跳出来可悲呀"
一燈大師,20170811,"火箭得罪太多中文報紙了，中文報紙竟然沒幫火箭州行政議員的臉打格子。"
tigerbeermon,20170811,"这样就不对，廿四小时放黑烟。不是林bie大，就可以。"
一燈大師,20170811,"這就是火箭粉時常喊的 ：官逼民反"
一燈大師,20170811,"“紫衣” 錦衣衛的教頭被逮捕了。"
mark,20170811,"到最后是巫统高官在包庇，closed case"
mark,20170811,"包括马华中立...."
ongtk,20170811,"什么是 bie?去学学再来！"
一燈大師,20170811,"SO WHAT？國陣如何有大鱷，就代表火箭可以貪污嗎。"
一燈大師,20170811,"火箭粉新誣衊：馬華化受害的村民。"
福气又安康,20170811,"据说这非法工厂也是公正党 Penanti 议员今年五月在州议会投诉过的。"
廣美利,20170811,"原来几日前反贪局说要捉的大鱼。原来是这条。"
一燈大師,20170811,"哇，原本關著門可以解決的自家問題，現在浮現全國、折了議員又賠廠，得不償失，再次印證了火箭和林冠英差勁的治理能力。"
tigerbeermon,20170811,"又关你lin事。 "
一燈大師,20170811,"我看這次王太子不會叫大家去掃光檳城的蠟燭，拿去反貪會示威了。"
假冒是神50,20170811,"JJDAP外劳村陷害公正党DAP INSIDER再次发功清理门户DAP INSIDER 万岁万岁万万岁嗯嗯嗯嗯嗯嗯嗯嗯嗯"
一燈大師,20170811,"別誣衊村民了。會看第 9 條嗎？  你老子林冠英加上去的，所以別亂亂打林冠英的臉。"
空中说话,20170811,"Bukit Minyak 大路旁也有一间工厂不停排出毒烟。当地居民抗议没人睬，火箭分子个个当盲人当哑巴。乘这个时候一劳永逸把它解决吧。"
一燈大師,20170811,"還沒上台前，就答應什麼都聽人民的。上台後作風橫蠻到不可思議。"
一燈大師,20170811,"真的要去買蠟燭了。在貪污濫權州賣蠟燭好賺。"
ongtk,20170811,"是 lin pe ，谢谢"
一燈大師,20170811,"林冠英，不好意思，我們華團有 “飲得杯落” 的慶祝晚宴，無法出席反貪會燭光晚會。你自家貪污腐敗的事自己解決，別拉人民下水。"
假冒是神50,20170811,"你说话最好想过才说PENANG 的 MCA GERAKAN是ZERO SEAT如果今天会有MCA GERAKAN的回流也是被你们JJDAP恶霸楼逼出来的你们尽情的愚弄口出狂言挑战 PENANG 选民吧呵呵呵呵呵呵呵呵呵呵呵呵呵呵呵呵呵呵呵呵"
tigerbeermon,20170811,"是林北啦！ 教人。"
tigerbeermon,20170811,"要监管penang DAP 的行为"
ongtk,20170811,"自己查字典再來，謝謝無知的人！"
tigerbeermon,20170811,"还想教人！"
ongtk,20170811,"白痴是嗎？林閩南語念什麼音？lim 啊！ "
ongtk,20170811,"請自己去看台灣劉先生的網站吧 taiwanlanguage.wordpress....lin pe be song 的文章。"
chinapee,20170811,"击败人。。。。 DAP没有99% 票对吧。。 你要车也用下脑啦。。。 不然MCA OFFICE是狗住的? "
tigerbeermon,20170811,"要你教！ 听周董教你啦 ！"
假冒是神50,20170811,"那你们 JJDAP就发文告攻击那个村子吧是那个村子的居民去反贪与DOE投报捉人的不敢发文告是乌龟王八嗯嗯嗯嗯嗯嗯嗯嗯嗯嗯"
一燈大師,20170811,"藍眼議員協助村民打擊非法工廠。檳城州政府真的有協助人民呢。"
假冒是神50,20170811,"JJDAP现在却在演戏拉大队攻击MACC其实MACC只是在执行任务帮村民办事嗯嗯嗯"
nagao,20170812,"这是滥权，反贪会做事双重标准，没能令人信服。"
李国锋,20170812,"JJDAP的丑闻渐渐露出来了，就像台湾民进党。"
bcteh,20170812,"没一人一元，火箭双重标准"
ongtk,20170812,"lin 在闽南语是代词，林字是代词吗？那是随便找一个华语音而已傻瓜。叫你专业的文章和词典你不会看我没办法。这个世界人gong就是gong!"
阿镖叔,20170812,"炭窑这种工厂不可能是新开的，为什么过去没有被对付？如果是刮阵执政，反贪局敢去对付刮阵政府包庇的工厂吗？不喜欢污染功业的选民如果选刮阵了当州政府，反贪局就不会对付污染工厂，如果选希盟政府，反贪局就会对付污染工业要那一个自己决定！"
一燈大師,20170812,"沒有如果。只有執法。工廠新開或舊開，不代表火箭州行政議員可以貪污濫權。"
一燈大師,20170812,"這是林冠英說的 law by law。反貪宣言 +10 也是他加上去簽的。現在林冠英自己做事雙重標準，沒能令人信服了。"
