Topic title: 【毫无隐瞒2.0论坛骚乱】受访邻居：可能有人付钱给肇事青年！
username,date,text
Cari_YWQ,20170815,"土著团结党于诶娡星期日举办的閯攮“毫无隐瞒2.0”论坛发巤鲇生骚扰，3名肇事的搾铻瘂巫裔少年譂萘蹹随后被警方逮捕。土著团结党青績愇年团团长赛沙迪事后透露，3名青年陪鋰鲼分璤饭飠别是煔滸17、18矋搧和19岁的倀頯少檅佬檤年，并非土著团结党青年閘潑樉团遄刟橎会员。有蹪駺跤消息指出，厈柖这3人啯莃或许柀埙是被聘用浭恨前去制造混乱。根据《自由今日大踬蔷鵂马》报道，事发后，该网站记者前去其丑懯中襛魧瘄一砈櫘个肇事青年駁道位絵梞炤于八打灵再也猜樅岈的住宅区一兹臔带，发现这俟崱里住着的竲顚都掆佾嗴是中俪龇低收入家庭。其僊囨瞛中一懜鵟名縒噺不愿曝光身份的揾喛堰住户就磪焑站向记者透露：“其实，这册湻嶁里瑟騱煹的青少説鉈蒚年癬簡对壛鑦璓于加入政党没有葓篾蓫多湤迂大兴趣，他焤唨忡们犝徟铅基本上畷瓲都篪赎不关心政治。但是抰筶禵，可能有蕺箝庂毻褢人给垾壚了篺角榜他酏孴蛳们20或30令吉、并提供免费食物萨蠉狳和交通，这杏嵂是寸噉憵非常普遍的妥檮餛。”“他髮傪躊澾諒们或许被一篺毿些错误信息误导，惹怒了觗鄇臕他檠雥犔皓岔磶们，才会眊懣市做出琵婺这样怠匧毹的事情。”据悉，另外两蠕蝏鑕个肇事青诪畦年的憘烗筜住所縚煭坂分别是懬輘嬎吉隆坡文良港（Setapak）漘堼嘑和玻璃市州。也有仢勓消息指出，其中犎韺泻一轙慎名警员透露，鶾顅傓这3爯觗稼个肇事青鶛溧年都向警方透露，有慒资枡兞人垈奥以50令吉聘请鳡坎坝他釞榃们到怿鮫“毫无隐瞒2.0”论坛制造混乱。图片瓔玷来源：东方日报无论艽兕如何，3名嫌犯已获推事准许延扣至8月17日，以篻梘爱嘎墋鴛作进儾際敓一步调查。警方目前援引三项法令调查此案，当唜顣中包括2012锧楙各年晗鯄和平集筟嚲会法令第15（2）（d）条文、刑事法典第153条文（蓄意挑拨引起骚乱）家喏岯以及1957年姢触爆炸物法令第6条文调查此案。警方目前也在淲璤湀调查，骚乱事件中谥溎所使荸旱璤用的鄗笠照明弹囥慄是从何处取得，并将揪出幕后供应爆炸物者。新闻背景椅子、烟花乱飞！“毫无隐瞒2.0”论坛爆发骚乱【毫无隐瞒2.0论坛骚乱】行动尬濺党华裔青年郃夯胂英勇挺身 代马来鳅螏苝同胞挨打"
pupuman,20170815,"背后付钱的人物，大家都不愿意公开说， 是有脑的人都猜到是谁鼓吹政治暴力。只有中立会说是老马制造混乱嫁祸鸡鸡"
qweasd147-,20170815,"次次都是番薯。。将大个人脑子是空的？正番薯。。。不务正业"
coveygoay,20170815,"番薯已经卖得很贵了, 这些只是三坨大便..."
prince,20170815,"mo1一早就知道有骚乱，所以不敢现身，免得给了钱又丢错它。"
prince,20170815,"假马要价太高，mo1只好找便宜的。"
喵了個咪,20170815,"那麼少錢 真cheap"
AMOS5566,20170815,"藏鏡人究竟是誰？字裡行間呼之欲出。"
红虹轰,20170815,"人家出钱，他出命，唉...快供出指使者，然后揪出主谋。我们的执法单位，你们办得到吗？"
AMOS5566,20170815,"有錢能使鬼推磨  重賞之下有勇夫"
chtan69,20170815,"其实是它们的教和党干得很成功。它们的教和党就是专培养这类没思考能力的僵尸草根族来供它们才使利用。不要时还可以为它们圣战牺牲。翻看其它教和党就办得不怎么行了。个个精英，个个会独立思考。结果一盘散沙不堪一击。只要轻轻挑拨一下就鬼打鬼了。"
我是无赖,20170815,"不是说50块一人吗？？？ "
猴年馬月,20170815,""
肥仔聪,20170815,"有谁会蠢到自己安排制造骚乱后又安排击事者被抓去警察局。。"
lolicon,20170815,"刘蝶偷手机骚扰根本就是预谋好的了"
晓非,20170815,"教育和独立思考很重要。"
pupuman,20170815,"如果是执法单位的老板，应该如何"
pupuman,20170815,"偏偏在佳礼你会看到一堆中立把球推回给土团党和老马，他们pusing功夫可谓滥竽充数，指鹿为马"
onglai,20170815,"五十块钱就能让山蕃变流氓，那一百块钱不是会让它们变成猩猩。。。。。"
青森小魔王,20170815,""
sam2ec,20170815,"才RM50， so cheap >.<"
BBJ,20170815,"大哥，这是打赏的小费吧。少到。"
肥仔聪,20170815,"习惯就好。。"
淋神无敌,20170815,"哇靠50块可以造乱，100美金可以暗杀金正男。 我出1000干掉鸡鸡。"
BILLCLINTON,20170815,"这也太没天理了吧，，mo1及mo2分别拥有260000000000及2300000000，竟然只派出rm50给一灯希望一灯及一众卖华党要上街游行示威抗议！"
AMOS5566,20170815,"我原有打算將重賞兩字 BRACKET 起來的  想想作罷  因為知足常樂 "
PRM,20170815,"自己多参加政党的活动就知道这种事情早已经是潜规则 每个政党都有自己的黑白道 "
BBJ,20170815,"大哥，我知错了。我明白了。感叹着不知道是小时候，50的价值很大，还是小时候的需求很小。"
mark,20170815,"一人 RM50, MO1 也太吝啬了吧！！"
RingRingRing,20170815,"kampung 仔 20，30块就被收买了所以你说鸡哥派钱对他们说有用吗  当然是work到dum dum声啊"
pupuman,20170815,"鸡鸡是你大老板，我怕你干掉他后没薪水收了"
kingpower2016,20170815,"应该是0.3做的。"
坦克車,20170815,"以前五一三又說馬爺背後策劃，現在又說馬爺自導自演，馬爺果然是一代梟雄，能叱吒馬壇幾十年，由十八歲混到八十歲，相信沒幾人能和他齊名。"
lancer12,20170815,"也许本来不止50块的，原本更高的钱被上层抽水了。。"
samsilence,20170815,"有钱收的"
