Topic title: 政府每年支付200亿退休金  副揆：不应 “反咬” 政府
username,date,text
CARI_LDS,20170815,"副首相拿督斯里阿末扎希今日提醒退休公务人员不应 “反咬” 政府 “哺食” 之手，因为政府每年支付77万名退休公务员的金额高达2百亿令吉。图片来源：自由今日大马自由今日大马报道，一马退休公务员集会星期二（15日）汇集了7千5百名来自各个政府部门的退休公务员。我国副首相阿末扎希于会场致辞时称，政府目前每年出资2百亿令吉以应付77万8894名退休公务员的退休金。除此之外，国民平均寿命变高、每年新增的3%退休公务员，都让政府的负担更重。 “就算如此，政府还是致力提供退休公务员各种优惠方案，希望我们（退休公务员）不会反咬这只曾经给予我们食物的手（政府）。” 阿末扎希还要求与会者全体起立，给政府一个热烈的掌声。” “已退休、将退休的公务员都不应该对政府有不满情绪。大家应该要不理会不满情绪，否则这种情绪只会让憎恨不停轮回上演。”、“反之，我们应该要感激一直以来给予我们好生活的政府，或许已经跳脱了 ‘我只是奉命行事’ 的框架、或许已经持有不同意见，但这种情绪还是有更有纪律的抒发管道”  阿末扎希称，公务员是政府的资产，即使现在已经退休了也还是政府的资产，并不是负担。 “我们（退休公务员）还有很长的路要走，应该更加积极地持续贡献，如站在这个曾经提供庇荫的政府身后，去支撑它。"
prince,20170815,"放心，国阵滚蛋后，这笔钱希盟政府给。再说刘肥仔一只就挖掉150亿了，在国阵眼中，数百万民穆斯林公务员，还不如一只non halal 的刘肥仔，国阵出卖穆斯林！！！"
完美@1010,20170815,"感恩论在临近大选总是特别多  "
使徒保罗再分身,20170815,"有给退休金 与 独自一人乱吞国家1MDB几百亿美金是两回事。"
us2009,20170815,"好心那两百亿是人民的血汗钱不是你自己出的"
Carpenter,20170815,"原来刮了人民不少去养一大群废物，当然有做工的公务员是有的，虽然有良知的公务员也是有的，但少数咯！那些不同意我用废物去形容这一大群废物的，请带着你的高尚情操去整顿这臃肿的公务员聘任制度！"
Microwei,20170815,"尼玛 这个是应得的，不要说到好像你给的恩惠这样"
JowY,20170815,"竟然拿林神的話來講！林神可以告他侵犯版權"
coveygoay,20170815,"拿人民的钱当作自己的钱来用..."
猴年馬月,20170815,"慷他人之慨，還可以如此大言不慚。 "
coay22,20170815,"人民的錢被你說成是國陣的錢"
BBJ,20170815,"政府的税收来自人民，感恩人民吧。政府是人民选出来的，感恩人民吧。公务员和政府一起来，感恩人民吧。中立的，枪手们，你们也来感恩人民。"
水沉万山,20170815,"马来西亚宪法只赋予国会选出一名获得最大支持的国会议员当首相, 并没有提到副首相这位子。所有部长的薪水都是来自纳税人的钱和其他税收。实际上部长们都是在为人民打工。公务员也是为人民打工。执政党只是这一届的政府, 下一届是否还可以当官还要看大选成绩。不要搞愚民政策。鸟你!"
kingpower2016,20170815,"退休金都是那些高官部长得到而已。一般的公务员就是得个穷而已。"
Hishammudin,20170815,"政府公函下款都有写BERKHIDMAT UNTUK NEGARA还是已经改了？"
MASPRO,20170815,"敢不敢信不信就看他们了"
cct2050,20170815,"马来西亚退休前一年喜欢一种把戏假设 xx 的原本薪水 3000, 最后一年内，连升几级，每个月新的薪水 8000, 退休后拿一半薪水，每个月政府给 4000 超过 80 % 退休公务员都是这样做"
tuatualiap,20170815,"可悲他们不知道谁才是真正给钱的"
cct2050,20170815,"穆斯林政府过度宠爱公务员了马来西亚公务员每年加薪，台湾公务员 7 年没加薪了http://www.chinanews.com/m/tw/2017/08-14/8304349.sht"
AMOS5566,20170815,"改朝换代  拯救马来西亚"
