Topic title: 朝野一家亲  都是戏子
username,date,text
cct2050,20170816,"朝野一家亲别再相信华人选上去的戏盟国会议员会为我们声讨的什么，我們只是送他们一张直往所谓的治国精英阶层的门票，在那儿大家都是 YB, 和谐共处共同享受高人一等的地位，在国会会议里就应景色作一下秀，算是报答选民支持了。https://m.facebook.com/story.php ... =gc&hc_location=ufi"
pcmont,20170816,"难道要内战吗楼主！。。。。。。。。?//????"
cct2050,20170816,"床上肉搏   精彩的   照片你有 ？"
princeforlan,20170816,"难道连一起吃个东西都有错？？ 暂时撇开公事，更何况这活动是拉队去国会举办的。。那柔佛苏丹去海南咖啡厅吃饭为何没人说不halal???"
cct2050,20170816,"一辈子兄弟  有福同享  有财齐捞"
kennyteoh818,20170816,"政治都是dirty 的"
一燈大師,20170816,"火箭黃漢偉一早就打臉林冠英了。"
kmrddecade,20170816,"拍照当然是要笑嘻嘻的，难道要黑脸臭臭吗？你如果可以拿到一张希联和人民拍照但是脸黑黑的照片，就当我没有说过这句话。"
Barryliaozs,20170816,"若以国家利益或人民为前提本来就没有好矛盾的，问题在于执政的有理由为挺而挺；在野的有理由为反而反，所以形成对立，这个对立会变成更严重通常是为各自的支持者展现为斗而斗的关系。"
kenluvpin,20170816,"只知道最毒然的是，雪州反对党执政学人家ban用纸袋相应环保，可是却卖一个纸袋两毛钱给消费人。妈害，最后不但没有达到环保的目的，却未商家增加额外收入！"
cct2050,20170816,"请问反对党到底为华人做一些什么"
lam69,20170816,"难道要做到像仇人一样?"
cct2050,20170816,"锡盟支持者在网路到处一片谩骂两边是差不多势不两立上面在瓜分庞大的利益"
us2009,20170816,"请问执政党到底为华人做一些什么"
us2009,20170816,"对呀 就懂双方面都在做戏然而 现在很多人都看不下去梧桐马华演的打算换希盟上去怎样 ?不可以吗?你有很好的选择就拿出来给大家"
cct2050,20170816,"两边都是烂货"
us2009,20170816,"那是你的认为事实是近五年  超过一半的大马人觉得希盟比国政好 投票结果已经证明一切 希盟是败在选区划分 要是以simple majority来算 他们早就执政 "
prince,20170816,"火箭跟巫统私通？那么楼主何必还要攻击火箭，大家都是一家人？是吃醋吗？"
lam69,20170816,"削弱华人力量，削弱华人势力"
JowY,20170816,"林冠英是 Zahid 的，Nazri 是小三"
JowY,20170816,"是的，佳禮網友 TMNUT 說任何投國陣的朋友/親戚他都絕交/斷絕血緣關係"
JowY,20170816,"馬來西亞的投票制就是 simple majority"
simplething,20170816,"其实，政治就是另一种版本的娱乐圈，有很大的商机和出人头地的机会，有粉丝和话题才造就明星。娱乐圈衍生出电视节目，广告，杂志，报纸娱乐版，周边产品等等都是几十亿的生意，政治也同样让不少人上电视讲政治口水话，写专栏， 出书，网路论坛的主打流量等等。女人沉迷于明星的娱乐圈，会为了自己的偶像互相吵架；男人沉迷于政治，也为了自己的支持者互相打架，本性都是一样的。现代政治已成为很多人的饭碗和舞台，深怕粉丝忘了他们或没有了这舞台或金矿。"
cyberjaye,20170816,"可惜旺旺听不懂"
us2009,20170816,"我讲的是一人一票的simple majority不是国席的simple majority"
