Topic title: 美国报告指大马　区別对待伊教他教
username,date,text
Cinabaku,20170817,"（华盛顿16日讯）   美国国务院报告显示，马来西亚社会越来越无法包容多元宗教，从政府到民间都在加强伊斯兰地位。美国国务院发布《2016年全球宗教自由情况》报告，是从政府和社会两方面来审视大马宗教情况。在政府方面，报告指出，大马宪法规定伊斯兰教为「联邦宗教」，允许其他宗教和谐发展，联邦政府和州政府有权控制穆斯林所接受的伊斯兰教义，並將逊尼派提升至所有其他宗教之上，其他宗派的伊斯兰则是非法，將受到当局对付。大马政府实施「平行」法律制度，伊斯兰教法涵盖穆斯林部分民事范畴，並认为大马仍没有得到解决伊斯兰教法与民事法之间的关係。同时，法律禁止非穆斯林对穆斯林进行传教，但允许和支持穆斯林向其他宗教信仰者传教。报告指出，大马政府区別对待伊斯兰和其他宗教，政府利用煽动法令来惩罚那些批评伊斯兰教的人士，並利用该法令作为控制的手段，但是社会运动人士称，政府有选择性的起诉，通常詆毁伊斯兰教会被控告，但很多时候忽略了其他宗教遭受到的批评。儘管大马政府对其他宗教团体註册没有法律规定，但是许多教会和非政府组织、非营利慈善组织发现要成功註册越来越困难，因为社团註册局以高规格技术原因拒绝申请，这种情况剥削了宗教团体註册为慈善组织。根据报告，大马宗教团体抱怨，社团註册局对宗教团体註册没有一贯的政策或透明標准，不过当被拒绝註册为宗教团体的组织，申请註册公司，相对能更快获得批准。由於设立宗教场所遇到困难，导致许多宗教团体將住宅或商业建筑物用於宗教活动，这种做法看似宗教宽容，其实在削弱宗教团体地位。报告也认为，大马政府严厉管控出版、公共言论自由，可能会引起宗教不和谐，同时认为伊斯兰宗教活动被政府严厉监督，清真寺被利用来传达政治信息，限制公眾表达宗教信仰。在社会对待宗教情况，报告指出，大马人权组织和宗教领袖认为，社会越来越不能容忍多元宗教，称穆斯林团队持续性公开谴责所谓的「非伊斯兰」活动，並通过社交媒体对非逊尼派穆斯林和非穆斯林进行大量传教。伊斯兰教也试图影响世俗生活，包括伊斯兰党抗议雪州政府批准美国流行歌手的演唱会，理由为內容过於性感露骨，不符合伊斯兰教义。报告强调，穆斯林女性在戴头巾问题上面临巨大社会压力，没有戴头巾的穆斯林女性会遭受到舆论谴责，社交媒体会出现羞辱性言论，报告举例指出，本地明星尼扎丽丝（Nik Zaris）因为没有戴头巾，结果遭到粉丝们批评。"
阿白,20170817,"邪教不是一个和平的宗教"
yk13,20170817,"对当局来说，宗教自由也必须付出社会代价的，不然怎样控制国家稳定呢"
frankling,20170817,"本來這些人就對我們地球或者人類發展的進程沒有什麼貢獻-藝術，文學，考古，語言，開化，科學，數學，女性地位，奴隸制度，民主發展，都是匱乏的。只會不停的向他人予取予求，可是卻一味的詆毀他人說他人骯髒，是異教徒，用各種低級的描述去形容他人。我呸！"
feilong,20170817,"如果是某族也就算了，但是连靠华人票做议员首长的，也出卖华人一份。还叫华人支持老马的马人之上土团党。"
Cinabaku,20170817,"你忘了老祖宗的孙子兵法"
yming2475,20170817,"那美国可以帮些什么忙吗 ？？ "
雷克斯R,20170817,"报告说得没错   "
Barryliaozs,20170817,"民众用舆论影响一个人，随便一个普通回教徒都觉得自己有资格对别人说教和批评。这就是楼主你所谓的自由咯。"
immigrant_at,20170817,"在西方极乐静土宗教与政治分离。在马来帝国里我今早6点被两间洋葱棚里的姨妈吵醒了。这两家的棚距离起码有3公里。姨妈互相把播音器调到最大。所以,你生来这国家就得服这的一切,不然,balik tiongkok lah. "
nyluon,20170817,"這個是神教本身的問題，和政府其實沒太大的關係。不然反對黨幹嘛也積極神教化？"
Cinabaku,20170817,"华文小学也不是在推行弟子规吗"
nyluon,20170818,"你可以聽到也有華人反對這樣做；你有聼過哪個神教徒出來反對朝野政黨的神教化？"
Cinabaku,20170818,"不止一个人哦"
si's.JPG,20170818,"這是反對神教化？這只是饒個彎，美其名要“讓其他人了解神教”好為未來的神教化鋪路而已"
