Topic title: 为什么Hong Leong 卖保险那么好赚？ OTS 126
username,date,text
NickNick,20170821,"Hong Leong Group 的 126，卖保险卖到驾BM，住洋房。其他同样也是卖保险的大东方，prudential, 为什么不看他们那么好赚？到底差别在哪里？到底126为什么那么好赚？"
Jason929,20170821,"HLA出了名的wo"
总司令,20170821,"126 揾到食？"
科学就是未来,20170821,"我朋友上线大东方，2008 年还去美国买房。做保险赚到钱的不少人，问题在于高调还是低调而已。据我所知，另外一个AIA 的，他的上线只买2手 Merc, 因为新的驾5年就亏很多，2手的驾3年亏较少，而且也没有人知道你买2手还是新车，尤其是不常联络的人，或者新客户，也是住大房，驾Merc (2手），每年出国（欧洲澳洲日本韩国）保险做得差，年收入 30-50k, 做得到好，年收入几百千，等于一个小老板的收入.我有听到有人年收入百万以上的，但是我只是听讲，也可能是保险上线拿来激励下线的技巧，应该只有少数精英做得到。"
NickNick,20170821,"就是咯。。。"
Barryliaozs,20170821,"我一亲戚也是卖ＨＬ的保险，不到３０岁吧，当然也跟她勤力有关，销售额很好，一直拿奖，现在开３０多万的房车，她妈妈卖菜的，也不是说没钱但习惯低调，但看到她女儿这样高调也是吓晕。听老人家说一直念说这种东西不可能包好做一辈子的，一下子这么高调行事很是担心。但是我看她的趋势，至少未来几年下去应该没有影响，反而越做越好，现在还招收下线了。"
leouy,20170821,"人家做sales的几多都可以，那个norman不是几亿身价了吗？"
gugugu8,20170821,"一个保险plan，和你讲每年有最少8%到20%的保底收入你信不信？傻子信。有那么稳赚，中国政府就不买美国国债，买保险咯。有那么好赚，瑞士央行就不买美股，买这种saving plan咯。有那么好赚，银行早就自己借钱买saving plan给自己咯，还借4.6%房贷给别人赚息差？"
samsilence,20170821,"谢谢分享~"
SilLyPanDa,20170822,"恩，别被外表蒙蔽你的判断。 当然只要努力，还是可以有成绩"
草根一名,20170822,"HLB 最厉害抓字失，它最近推出那个 7% 的FD 我看到就想笑，而且比较其他保险公司代理，HLB 的很会误导人，只说好听的，不好的永远不敢说，到你发现时，他会说你买前又没问，你不问我当然不说，问题是你已经买了，他也已经赚了你佣金。"
草根一名,20170822,"马来西亚人金融知识太差，见到车贷（2.8）还低过 FD（3.8），即然说借多些没有问题，反正车贷还低过FD ,钱放 FD 更化算，，，！！！讲真的，看到这个HLB saving plan 我就一肚火，那些代理只会说 saving plan 怎样好，看到买的人以为买到金，我只想说，你被误导了。"
prince,20170822,"allianz 卖保险卖到架兰博基尼哦！"
prince,20170822,"卖保险不是人人能成功，还不如玩money game比较好赚。"
gugugu8,20170822,"他们为了一己私欲和有能力show off做老千，早晚有恶报。"
aquamax,20170822,"因为没有包生仔的啊。。。。"
淋神无敌,20170823,"我就中招过！说每年给我固定的钱然后7%的利息最后都没有就是几巴仙利息而已。"
monster.inc,20170823,"那些傳銷的也是大把駕好車，住大屋，年年去外國玩。  "
aidenx,20170823,"我的保险经纪就是年过百万那种，不过为了逃税和低调，他把保单分给他全家人，爸爸是经纪， 妈妈也是经纪， 老婆是经纪, 两个儿女也是经纪，全部under他, 而且年年都拿百万圆座奖。 对了，他才驾camry吧了，还是旧款圆形那种。"
aidenx,20170823,"HL的奖很容易拿的，去年我个不是很熟悉的捞偏的朋友的老婆和妹妹才加入不到半年就拿奖了， 听说她们的所有客人仅有她们自己一家人吧了。"
Barryliaozs,20170823,"也是的，因为一直有奖拿，觉得不可思议，不过我这位亲戚也确实勤力。她一个女的可以从巴生开车到安顺会客，只是会客罢了不代表会签购的。"
鸡不择食,20170823,"其实这个HLA有一个Saving plan 叫 HLA Wealth　Invest -> https://www.hla.com.my/CMS/Produ ... uct=73&Sub=1022通常Manager都会叫下线去卖这个HLA Wealth　Invest，相对于纯保险的plan。 原因？ 因为好赚嘛，这个plan每年customer至少要给RM6000，给足6年。这个Plan其实不能拿回本的，只能拿回一年20%的利息，每个RM6000,至少要5年才能回本罢了。一个Customer RM6000, 做6个就可以去Trip了，去Trip的钱从哪里来的？还不是从Customer来的。"
gugugu8,20170826,"嫌钱多，或者前世欠了这些老千，就加大力度去买吧。包管心理预期和实际收益分别大到直接送顾客终。"
gugugu8,20170826,"有10个顾客签，就包今年可以出国。包agent就有，包顾客每年最低8%-20%回报就慢慢等。"
