Topic title: 纳吉推特上传抱孙照  与网民分享“当外公”喜悦
username,date,text
CARI_KJW,20170825,"蛽拐鰊我国椚糩氉首相拿督斯里纳吉鑆蛉蕽于星期五（25日）凌晨在準刳鑣推特上屳埠传了籧礷颇一蜖恣獼张抱孙照，与网民孴莊分享“当外公”罝仨的喜悦。 纳吉与夫嗢啩人罗斯玛“晋升”为囶釓嵏外公及外婆。【截图自：推特】纳吉除娪灛了在摻鴝推特感谢阿拉庇佑，让孙子能够顺利出世外，也向网民报平安，指女儿Gina（诺丽雅娜小名）覦泬塒和宝宝母子皆平安。与此同噘攔赕时，纳吉也大伊髜鸆方向网民公布外孙畴埙的名字濍恺媅为亚当拉萨（Adam Razak）。"
pupuman,20170825,"恭喜小鸡鸡， 一出来就有亿亿声的财富可以分"
us2009,20170825,"恭喜鸡鸡又做外公"
us2009,20170825,"恭喜鸡鸡又做外公"
皇上爱皇朝,20170825,"为何国母一幅臭脸。"
512MB,20170825,"恭喜拥有人民大富大贵的财富"
q(T_T)p,20170825,"x母：好像很好吃。。。"
元旦8466,20170825,"未来首相………"
prince,20170825,"看看我们的商场在它的治理下把奶粉锁起来，就因为人民太穷买不起，连奶粉都要偷。"
qwqwqwqw,20170825,"一出世就等着继承几百亿家产，同人不同命啊"
Carpenter,20170825,"恭喜恭喜我是进来拿分的 ..."
chtan69,20170825,"又多个人要养。不知是喜是忧。"
完美@1010,20170825,"后继有人，恭喜  "
夕阳子句,20170825,"厉害咯，投胎到这个家庭"
yichien,20170825,"做么第三代、第四代都改个鬼佬名，不清真的哦"
sam2ec,20170825,"小宝宝，千万不要以外公为榜样哦！"
夜铃,20170825,"怕多一个跟她分家产。"
夜铃,20170825,"爸爸没有LP帮自己的儿子取名？为什么要继承外家的名声？"
yichien,20170825,"捧都来不及啦，讲什么尊严"
mytouch,20170825,"err...没兴趣知道。。。"
qazz1947,20170825,"一个头发稀疏；一个浓密。一个灰白；一个漆黑。"
他旺,20170825,"外家也是家。其实只有受教育程度低的华人才会分什么婆家外家。就连洋人也不会那样分的。"
雷克斯R,20170825,"传授你什么是吃钱的艺术 "
kentpua,20170825,"未来的小贪污？"
RingRingRing,20170825,"鸡哥表示 即使我倒了 还有千千万万个小鸡鸡"
GR,20170825,"那也好....大选后，大把时间可以含饴弄孙"
夜铃,20170825,"对不起。我读的书少，不会这些高尚的文化修养。很羡慕你这些读过很多书的人。婆家外家是五千年文化华人的俗称。其他族群就可能没有那么称呼。我只知道，洋人会妻随夫姓。然后互称对方家人in-law。如果是不分婆家外家，直接叫就好了。很多时候，他们直接称对方父母的名字或Mr. 和 Mrs. 什么罢了。连辈份的礼仪也没有。无论如何，子女一定跟父姓。伊教和兴教徒就带父名。是这样的吗？有错希望您教导下我吧。"
夜铃,20170825,"对不起。我读的书少，不会这些高尚的文化修养。很羡慕你这些读过很多番文的人。婆家外家是五千年文化华人的俗称。其他族群就可能没有那么称呼。我只知道，洋人会妻随夫姓。然后互称对方家人in-law。如果是不分婆家外家，直接叫就好了。很多时候，他们直接称对方父母的名字或Mr. 和 Mrs. 什么罢了。连辈份的礼仪也没有。无论如何，子女一定跟父姓。伊教和兴教徒就带父名。是这样的吗？有错希望您教导下我吧。"
kennyteoh818,20170825,"这样的种不应该延续下去"
一燈大師,20170825,"恭喜首相納吉和首相夫人榮登公公婆婆級。國人會和首相並肩愛護國家，打造美好未來給子孫。祝首相合家安康。"
福气又安康,20170825,"这外孙就是前年纳吉女儿嫁哈萨克总统侄儿之后生下的孩子。大家忘记了那个华丽婚礼了吗？祝宝宝快高长大，福气又安康。"
zhanmichan,20170825,"有没有屁股的？"
vacheron,20170825,"Ham 着钻石出生的小鸡鸡"
他旺,20170825,"这是儒家思想，与五千年文化没一定的关系。有些人还冠母姓，由你所谓的外家养大，也没啥问题。华人社会里面的重男轻女观念，很大程度都是那种过于注重宗族观念导致的。洋人的老婆会冠夫姓，这是有的。不过现在越来越多的女人都不冠了，因为那里离婚率过高，换来换去很麻烦。"
xiyu8910,20170825,"名正言顺是鸡公"
samsilence,20170825,"可悲哦~"
teachew,20170826,"很可能青出于蓝！你们比较把拉萨跟啊鸡哥比较就知道！"
Winster90,20170826,"宝宝回头会被吓到哭"
beyondseek,20170826,"又一個人來分她的億億~~~"
阿镖叔,20170826,"相由心生！"
teachew,20170826,"当然，每个星期都要买一个新包包，这个星期没有买到？"
阿镖叔,20170826,"据说女魔姥姥每晚要吃一个人心，据说有一群人还在歌颂姥姥慈悲！"
Weida,20170826,"垃圾哥的财产又分多了一份了，又在人民的身上抽多一点了！"
teachew,20170826,"据说有一群人还在歌颂姥姥慈悲？我知道的有卖花一灯江夏、水母_8、神要死、汉奸李、假冒是肾XX、洗洗地XXXX ……"
kevinyap03,20170826,"荣华富贵哦！"
ksleyCHU,20170827,"希望不会步上阿公的后尘"
nsda,20170827,"中國歷史上的太后都喜歡從非親生皇孫下手祝她出手順利"
绝地榴莲,20170827,"是谁的女儿？"
Cinabaku,20170827,"面目好可怕的外婆"
夜铃,20170828,"儒家思想是五千年文化传承之一。冠母情，是有些人不想跟父亲契关系，或名誉上不是夫妻，在登记上可跟母姓。重男轻女不只是华人社会才有，硬把宗教论点带进有点勉强。但是姓氏传承也不只是华人社会才有。在法律上，洋人只有一纸结婚证书，女性就跟夫姓（没有和不想更夫姓有些只是称呼上，不代表登记处。如有此例，请列出让大家学习）。但是如你所说，离婚率高。一些国家如英国，男方在离婚需要负担一半财产的情况，很多都不愿意签字结婚。"
他旺,20170828,"所以冠母姓也是有的，并不只是跟老爸的姓氏。传统的华人社会没有一定宗教信仰，有的只是宗族观念。而宗族观念也就建立在姓氏上。如果硬说重男轻女与姓氏传承没有关系，那是在胡扯。洋人的婚姻注册也不一定非冠夫姓不可。有些东欧国家就不玩这一套。"
夜铃,20170828,"所以重男轻女、宗教迷信、宗族观念、姓氏传承等等（包括龙祖和洋人），也都是因为受教育程度低的关系？自问我本身并不重男轻女、宗教迷信、宗族观念等等，教育程度上也不算太高，但是如果孩子如果不跟我姓而跟母亲姓，心理上我还是不能接受这一块的。"
kentpua,20171214,"未来小贪？"
