Topic title: 还清买电器分期付款后 清洁女工遭阿窿式追债
username,date,text
无名好留,20170826,"还清买电器分期付款后 清洁女工遭阿窿式追债                            余春凤（左3）与丈夫张来安（左2）向谢琪清（左1起）、李凯业和助理李汉强求助。（芙蓉25日讯）清洁女工以分期付款方式向连锁电器公司购买电器，怎料却在清还余额4年后，不断遭电器公司派员以“阿窿追债”方式上门追债。55岁余春凤来自芙蓉百美花园，今日与58岁夫张来安向民主行动党武吉甲巴央州议员谢琪清及法律局副主任李凯业求助。她说，她于2012年9月季12月，分别到芙蓉金马扬广场一间连锁电器公司分店，以一年的分期付款方式购买一台总值780令吉的缝纫机以及总值1600令吉的洗衣机，每月分别摊还79令吉以及161令吉，总价值1027令吉及1942令吉。她指出，每个月都定时到连锁公司分店付款及领取收据，并在一年后清还所有款项。“还清欠款后，我多次到店里要求索取清单，雇员总是以老板不在为由，不能发出清单。”不料，该分店不久清盘，她无法索回清单，更以为已还清欠债，理应相安无事。怎料，连锁电器公司总部却于2014年3月向她发出律师信，指她仍欠340令吉余额。由于自觉已还清欠债，余春凤对律师信置之不理，直至2015年，连锁电器公司再次拨电追债。余春凤说，当时她将所有付钱收据发送给对方，对方执意要她付还340令吉欠债。为了息事宁人，她再次以两个月时间，以每月180令吉汇款共360令吉予该公司。原本以为付个小钱摆脱不必要的骚扰，连锁电器公司却于上月24日派员上门追债，要她清还千余令吉洗衣机欠款，甚至以“不还钱就等收律师信、会把你么告得破产”之类的言语恐吓还钱。余春凤自认已清还欠款，而且于2015年还多付360令吉，电器公司没必要一直追债，还不断致电骚扰她的丈夫与子女，要求还债。“当初购买电器是我的名字注册，不晓得他们从哪拿到我丈夫与子女的手机号码。”根据余春凤说，她当年是以每个月到电器店现金付还并索取收据；不过，从她出示的收据中，记者发现有多张收据没有填上银行汇款号码，事主却始然不觉。李凯业说，他于本月7日致函有关连锁电器公司总部，对方于15日接获他发出的律师信，不过至今未予回函。他透露，律师信中要求电器公司退还当初多付的360令吉，因为那并非余春凤应该缴付的款项，“如果电器公司最后执意对薄公堂，我会免费帮余春凤打这场官司。”谢琪清说，即便电器公司真的上门追债，也不应该采用威胁性的言语方式，非常不人道，更何况在余春凤的案件上，她有白纸黑字的收据作证，确实已经清还欠款。转自光华日报http://www.kwongwah.com.my/?p=378711"
无名好留,20170826,"连锁电器公司是不是 S H？"
koeyqi,20170826,"哇·，这样算坑钱吗？"
koeyqi,20170826,"还有哦，我还以为0% 分期付款，原来还有利息的啊？"
无名好留,20170826,"不算坑钱，只算是骗钱"
dupont378,20170826,"不必请律师直接报警"
一燈大師,20170826,"SH、SQ 這兩家連鎖電器店是以 display set 包裝運輸給顧客而搞到惡名昭彰。估計對準時付供款的顧客，不會故意騙這種小錢。有可能是櫃檯收供款的伙計，貪了那幾百塊，再用過時的收據發給顧客。但在公司的角度，賬目裡就沒那筆供款，而且也會懷疑顧客和前員工是一夥騙公司。"
Carpenter,20170826,"这些奸商和收账的卡佬，晚上怎么睡得了觉？"
无名好留,20170826,"SH和SQ老板都一样的。。他们名字臭，不过还有很多人不知道，尤其是老人家。。"
无名好留,20170826,"其实外面很多奸商的。。我比较好奇，他们看super hero电影时是支持正派还是反派"
舞猫猫,20170826,"原来以前有每个月付现款这样的分期付款方式啊"
kennyteoh818,20170826,"钱自己进口袋"
aquamax,20170826,"现在也有啊。。。"
