Topic title: 政府學校拒領撥款，林冠英旺姐被拒門外；林冠英神話遇阻，大山腳人民稀罕林冠英嗎？
username,date,text
一燈大師,20170827,"政府學校拒領撥款，林冠英旺姐被拒門外。林冠英神話遇阻，大山腳人民稀罕林冠英嗎？撥款給伊斯蘭學校就 30萬起跳，撥款給華小就 1萬。當華人是乞丐嗎？【更正】教育部 拒絕就是拒絕，不用給你林冠英面子或任何交代。林冠英回去反省吧。"
一燈大師,20170827,"支持華小董事部，別接見白X首長，也別讓白X首長進入校園給華小生看到，因為會看了會變愚蠢。"
Hishammudin,20170827,""
Hishammudin,20170827,"纳吉在槟城，时间敏感"
一燈大師,20170827,"SRJK(C) KG SG LEMBU 有骨氣。贊。"
一燈大師,20170827,"據說 9 天內兩次訪檳城，被那個白X 看到有機會討好中央，就擠出 1 萬元上報紙和首相刊登在同一頁。"
cct2050,20170827,"区区一万是嗟来之食廉价大选宣传广告费"
dupont378,20170827,"他的马来文讲到好像马来人"
一燈大師,20170827,"哎呀，真不好意思，原來是中央政府教育部下的命令。很合理呀，中央政府的學校不能隨便收取 “州政府制度化撥款” 以外的貪污嫌犯獻金。"
gaomin,20170827,"大师使的是祖传断章取义神功？"
假冒是神50,20170827,"无事不登三宝殿无事献殷勤奸OR盗ONLY啦自荐 CM白仔以为他是PENANG的SUPERSTAR霸道横行招摇过市嚣张跋扈语无伦次还不知道已经有多少PENAMG LANG肚烂到想踩死他嗯嗯嗯嗯嗯嗯嗯"
gaomin,20170827,"现在可好了，钱又不必出，中央还免费替槟州政府打广告。"
jackyboy05,20170827,"還請這些希土政客高抬貴手，放過學校吧。教育是神聖和超越政治的，不是被你們用來當作廉價宣傳的資本。"
假冒是神50,20170827,"以TOKONG小气记仇不甘罢休的性格他一定会秋后派红卫兵去折人家厕所嗯嗯嗯嗯嗯嗯嗯嗯嗯嗯嗯嗯嗯嗯嗯嗯"
一燈大師,20170827,"“為什麼不拒絕撥款呀？”“這是 SG LEMBU 華小呀。”“SG LEMBU 有什麼特別？”“非法炭廠害了 11 村民患癌去世。”“火箭林冠英的州竟然有非法工廠？”“是啊，火箭州行政議員還被逮捕了。”“還以為換了政府可以解決。。。”"
gaomin,20170827,"不要以小人之心，测君子之腹。"
一燈大師,20170827,"一桌滿滿的君子。哈哈哈哈哈"
一燈大師,20170827,"絕對不是斷章取義，是你說的以小人之心度君子之腹。哈哈哈哈哈。"
