Topic title: 添置4台新机器  捷运2号线明年首季挖隧道
username,date,text
Cari_TBL,20170903,"双溪毛糯-沙登-布城（SSP）的捷运2号线隧道挖掘工程将于明年首季展开，并预期会在2019年中完成。根据马新社的报道，捷运公司（MRT Corp）策略通讯及公共关系总监拿督纳加慕丁表示，长达13.5公里的隧道挖掘工程将从吉隆坡怡保路开始直到大马城南部。挖掘工程将动用12台隧道挖掘机，其中4台会是从中国新添置的挖掘机器，每台4千万至6千万令吉，另8台则是用于建造双溪毛糯-加影捷运路线的翻新机器。截至目前，捷运2号线的工程进行了12.05%，预计会在今年杪达到19%。这个全长52.2公里的2号线共有37个捷运站，当中会有11个地下站，全线预计会在2022年竣工。"
Carpenter,20170903,"加油"
samsilence,20170903,"加油"
daimon,20170903,"真的希望可以快點開 第2條線我們真的慢了很多步而且希望真的能減少塞車"
vongolia,20170903,"不错，利民设施"
mangolu,20170904,"中国货，能挖得出来？竟然没人骂？这不符合马国人的逻辑阿！"
moot,20170904,"这些挖掘机， 说价钱搞屁  ！！又没有零件去维修， 全世界都是租用给使用费的，连维修也包下来。 因为挖掘完后根本就是占位又没用。 （你以为机器放那里不用就不必维修吗？ ） 是不是有人要A 钱  ? 所以先把价钱报上来  ? "
山村野夫,20170904,"纳吉万岁!"
lam69,20170904,"真的是租好过买，除非你有持续性的工程。现在科技日新月异，一台今天最先进的机械五年后就淘汰了。"
qazz1947,20170904,"也许是纳吉和中国交涉的配套来的。"
杀轮大师,20170904,"中国的挖掘机技术在世界上是最先进的，价格也是最便宜"
Hishammudin,20170904,"真的沒有不投納吉的理由"
弟兄姐妹,20170904,"报价4千万到6千万的“一台挖洞机″而已,大马需4台处理一个洞。还没报其他人工，合约(又来官方机密)背后几十年赚钱可一直起价起到60年。"
弟兄姐妹,20170904,"不过工程可以在大选后龟速进行，慢慢来压后还可向政府拿钱，好个屁，他州一条轻快铁都不建。"
yk13,20170904,"虽然不住在KL，但也希望捷运是利人利己的计划听说现在的MRT/LRT等还是有不少瑕疵，希望当局也能进一步改善，不要误时就好了"
Bogel,20170904,"厉害了。。加油。。"
moot,20170905,"这种机器不怎么会淘汰。 真正的问题是，这挖掘的岩石泥土， 那铁锹是要不断更换才行。而且还看铁锹的材料是否耐用。要不然三两下就要更换的话， 就算那铁锹便宜， 那更换就浪费不少时间。"
