Topic title: 【更新#58 如何分辨道路】林冠英：州政府管的路是好的  “爛路，都是中央管的！”
username,date,text
一燈大師,20170905,"林冠英：州政府管的路是好的   “爛路，都是中央管的！” | 中國報【更新】火箭州議員教大家如何分辨道路。呵呵，罵得好。憤青、憤伯、憤姑 看了新聞應該會投火箭，火箭支持率回流 2%。"
beyond_4896,20170905,"的确。有些电灯柱也是这样的。  有分州政府或者中央的。"
一燈大師,20170905,"林冠英，爛華小是中央管的，不讓你拿 1 萬元支票進去華小拍照上報紙就別發爛砸。你還是到州政府管的 sekolah agama 拍照吧。"
巴士来啦,20170905,"马华对马来西亚华社的教育有贡献："
李国锋,20170906,"没有马华，马来西亚一早就被JJDAP出卖成为回教国了。"
梦想之追求者,20170906,"为什么不让人家那支票捐助华小呢？"
李国锋,20170906,"小林越来越像陈水骗。"
seankaz,20170906,"嗯，说得真对"
kent05,20170906,"你还没睡醒还是装傻？当老马宣布大马是回教国时，马华静静不出声。"
一燈大師,20170906,"因為州政府無法插手中央政府管理的華小。中央管的華小，州政府不能插手，沒有辦法，希望大家體諒。 "
梦想之追求者,20170906,"捐钱都算插手？怎么插法？"
一燈大師,20170906,"我也不知道，人家林冠英說不能插手中央管理的東西 。"
梦想之追求者,20170906,"好像不是林首长的问题，是中央直接instruct校方不可以接受该支票那么是中央政府应该justify这个指示才对"
一燈大師,20170906,"沒錯，因為就是中央管理的呀，林冠英在公路維修方面也證實了。    "
梦想之追求者,20170906,"那么中央应该解释为什么拒绝捐款，为什么把捐款视为插手啊..........我每年捐款不少给非洲助养儿童，非洲政府也没有说我插手非洲内政啊"
一燈大師,20170906,"林冠英已經幫中央解釋了。既然檳城州政府管的是好路，那麼同樣地也管好的學校。爛路、爛學校 都是中央管的。要不然中央學校要了林冠英的捐款，是不是代表林冠英以後也要捐款給中央政府修路？"
traviskl,20170906,"虽然是中央管，但那些路在penang的话，州政府不是应该积极督促中央修复吗？"
一燈大師,20170906,"有啊，還去剪彩呢。 "
一燈大師,20170906,"被網民罵翻了。 "
壬炜,20170906,"还什么烂路好路，连州政府自己要建的三条路整四年都没法开工，却常常都在说三道四，赖三赖四！"
壬炜,20170906,"没钱就不好那么大口气又嘴硬咯！"
一燈大師,20170906,"人家有十多億前朝留下來州儲備金的。然後人家為了證明有信用，就要去向中國銀行借錢。所以就能塑造火箭檳城州政府是有錢和有信用的噱頭。"
梦想之追求者,20170906,"谁说捐款给学校等于也要捐款给修路？"
一燈大師,20170906,"難道林冠英是雙重標準的人？  "
