Topic title: 台湾《众神之斗》游戏亵渎宗教？本地宗教团体要求政府禁止
username,date,text
Cari_YWQ,20170907,"由台湾游戏团队“数位卡夫特”（Digital Crafter）制作糯恇的驨絺旃新游戏《众神之斗》（Fight of Gods）刚刚推出不寶憀久，即引起国鯯蜗内多个氥毭逬宗教团体侳拱虔不满。图片綟蝝来源：香港01 据《香港01》报道，游戏开发者看中銗氭网友们筑欗激烈讨论疘梑的话题“耶稣与佛祖，到莞骻礰底哪个拁廇塐好？”，进而决定将一犄鷓众神话、宗教天神角色、甚至历史传奇共冶邍榟洚一炉，创作硖拥出恶搞味浓的毶皡《众神之斗》。玩家可以拜摀鋷选择耶稣、佛祖，还厹壨魮有苑篆揮分开红海的憷藆糚摩西、希腊文神话舂穭屡的众神之王宙斯、甚至三马烘獻国脨院羹的战神代表关公等等，而各角色都斟寻偂有自己権迮的必杀技。结果，胊櫶零这款游戏的脀瓇灨推出，引发了羕橨稃嚾国内各宗教团体蒘酦的不孥施满，纷纷呼吁我乵縁僪窗岖国政府必须马缧莇侣上禁止这瑖碦絘款游戏倩再在本棅俸地推出。据《自由今日大剻倡珛马》报道，玻璃市宗教司莫哈末阿里斯表示：“我紋踘相信没有嫈醄釉任何庴湈一个瓞褷宗教潊辛顈会鼓励大萒倹家暴力相待，也不歙蜶郢椷蜦会想鳎憑轨要看幇弧到大摈嫉靔家互相打斗寜尭你的。”給钲灳他认詡讖为，政府应该立即禁止厙蓊人民下燥鵢载有詀铬齴关游戏，預朂以避免引发辞檪濆国内宗教局势紧张。图片吏摩来源：网络全雪獽懶国五大掀謿皧宗教理事会咦婉哑（MCCBCHST）副主盹庼诗席莫汉沙也谴责这述箷是蚁堛鹺一鑇鎮本款亵渎宗教的韃桊游戏。“这薠番是揑袞一紴对犽个傛袏非常敏感、且无法让人衬胪接受的縬脑鷄游戏。我禅庯们髝螜魣劻是不瞨掁会钫孭批准跫麛这样的澭壐游戏。因此，政府必须立即采取行袇奂动，禁止这短捩款游戏日赪禲在悶蒊桚国内盛行。”“沌摜畞对于拰憀孩子哿飂来说，这鹄欵也罹足呧是不諩鯈健康的陾嬑。他抎乒熒们逛婿会讄韅冯因某个彏饯堿角色螧瘞貣的威力，而崇拜篮蘚有关角色。”马曇獎綒来西亚基督教协資捍醪会总秘书赫曼也抨击发行者尬苰嫐不尊重宗教暢蕖人物攋缡和神像。"
Orochimaru,20170907,"禁止的到meh，Google store？？"
lier-king,20170907,"虽说是游戏，但关于宗教的题材真的是非常敏感，能的话这类型的游戏不要研发，毕竟玩游戏的人神经会比较大条，玩输了有时候会去诅咒人家的宗教，事情就一发不可收拾。"
pauline7096,20170907,"本国最厉害的神好用吗"
q(T_T)p,20170907,"很好的游戏，建议不同宗教信徒在游戏里面组织工会互殴，谁赢谁就是真理 "
yming2475,20170907,"啊拉之神 ～～ 最厉害会用诈弹炸死敌人 。。"
春秋,20170907,"要出power是需要技术的"
512MB,20170907,"某教的最大神有出来PK吗？有什么必杀技吗？很想看看，希望有好心网友分享。"
dupont378,20170907,"帮忙打广告吧赶快去 download"
chtan69,20170907,"很早就留意着这游戏了。看着佛祖和耶稣在相互KO着，很搞笑下。也是有所谓的慈悲宗教信徒会有过敏反应而已。我倒无所谓。"
SurveyPlayer,20170907,"没阿x在战斗都关宗教句的事？"
daimon,20170907,"画面好丑 = ="
LoboSolitario,20170907,"名字应该改成同音异字。。。 然后那些食古不化的宗教师出来呼哈时，就要他们拿出真神相片证明游戏人物就是他们的“神”。。。 "
chtan69,20170907,"Steam上有优惠，才卖RM11.40。"
探险家,20170907,"果然出事了.....还有Jesus打Buddha的....."
elvinday,20170907,"佛祖的大招该不会是五指山吧？"
探险家,20170907,"有神教的人物在游戏里面吗?"
hoongyin07,20170907,"原来是台湾公司开发的，前几天看到耶稣的 Trailer 搞笑下 "
metis,20170907,"这个游戏出得太迟了，早点出的话那些教宗教主有纷争直接开pk就可以了，让世人共同见证，同时又不用打战血流成河。到底是谁的神power强，开打就知道了。"
followme123,20170907,"感覺遊戲本身挺無聊的，用宗教只是想吸引人注意而已"
vongolia,20170907,"打斗画面不够美，不够华丽， 不过很有趣。 "
探险家,20170907,"這款遊戲目前有10位人物可以選擇，包括：佛陀、宙斯、耶穌、關二爺、雅典娜、希芙、天照大神、阿努比斯、摩西、奧丁"
vampcheah,20170907,"米可机神 有吗？ "
CF88,20170907,""
chtan69,20170907,"论坛上有很多人要求神教人物可惜开发者不敢。没死过么？画个公仔也会被人开枪射杀，谁会去惹这“超”善良的教。"
hangz81,20170907,"身正不怕影子歪"
今晚打老虎,20170907,"回教的 ulti 是 kamikaze?"
viplim,20170907,"干，都没涉及到一神教，关他们鸟事咩？少在那边敏感，玻璃心了何况西方对耶稣的玩笑接受尺度更宽。日本甚至有关于耶稣和佛陀的漫画，都没事，不像某教，巴黎画个漫画就要扫射人，动不动就炸人"
探险家,20170907,"把它弄成隐藏最终Boss....."
阿白,20170907,"打完9个神后, 就会对上最后的boss. 此boss没有power, 只有一堆炸弹绑在身上, 你打他就爆炸同归于尽了, 所以没有人可以打赢这个boss"
chtan69,20170907,"很多人也是这样建议的楼上那个更绝， 来个同归一尽，很适合的结局。"
JowY,20170907,"各種不同宗教的人不爽誰的神就去遊戲裏面打，很好啊就好像憎恨社會想亂找人來打來殺，可以玩 GTA"
元旦8466,20170907,"某教人物在游戏中一个也没有的，或那公司认为都不值称神…"
ding96,20170907,"这个画质和画风美的我无法想象。"
巴士来啦,20170907,"阿修罗的愤怒好像也是有那些神佛打斗"
罗马军团,20170907,"本国最强的神是林神！林神一出，谁与争锋？"
dupont378,20170907,"大士爷一出来西方邪魔一次扫完爷"
神垂死,20170907,"阿拉应该最厉害，必杀技素直接自爆，问你死未~"
leouy,20170907,"没有法轮功吗"
samsilence,20170907,"搞笑哦~"
浪客賤心,20170908,"佛陀把對手狂打到睡地上後還補一句阿彌陀佛，我佛慈悲。"
metis,20170908,"除非你是女神。。。而且只能出绝招，脱衣服。。。"
leo3_puff,20170908,"好像沒有某最敏感宗教在內的～～開發公司應該是怕了～"
