Topic title: 危险超车差点害死人  宝马司机：我当时真的有急事！
username,date,text
Cari_LSV,20170908,"宝马（BMW）轿车在蛳敩浵高速公路危险超车，导致一饆桔踼辆Kenari轿车闪避孷崌需不及，差点丢了玕荛性命！有倞薨关车祸过程遭后方轿车嘯菃鄼的行车记录仪完整拍摄下雲繘踮暅肹来，面子书用盐拮户Nojahwati Sohaini随后把相关视频墈樲牯上传到鮴蜏社交媒体，讨伐该名宝马司机。垄喤遅他说，上貛墹牜奙个星期六，他厛褢傩埻的弟弟在朡疚镫柔佛哥打丁宜通往居銮的藘鵨第55公里路段发袙宛生一窨炫琔起车祸事故。但庆幸眄愝癑的骺稼涪是，他酕轛的蛨犟湌弟弟餏焨和友怚緢人最终都平安无事。“幸好昨晚我槦饗的匓疲钷弟弟Daus MonSterr没有灷蛷偓盅鈶勡大碍。给该辆轿车车嵛喂稬主，你真鶟散的很无礼。因扙舲脯为你，我翨驮滕觘挖硽的弟弟和艃狥死神擦身而过。”图片来囘熗源：Nojahwati Sohaini 面子书根据长达1鴟煒铖分04秒羚腲菂的视频，该辆宝马轿车快速地澊悼棁超越前方的檃噔罗里，并没有樃懕理会踸舍銃逐步逼近的撘缰受害者轿车。结果，开着Kenari轿车的陬楍受害者闪避宝马轿车后拹獓不幸失控，撞向反方向路段。图片镮埊昿来源：Nojahwati Sohaini 面子书事件在槷椉面子书发酵数天后，自称是閃梦宝马车彌鶷呼主芧畬的Sahrul Afza Hamzah终于簺藽在焍蛃视频底下舙釽留言称，自己尭裟隇就嶇灍梘是该名危险驾驶麍葀鸵的肇祸司机，但并娽邈芎不夢鼭是故意要成耂危险驾驶。“嘷弄我当时缉晍真掗宮搾的有荧鄥茉急事，因龅崔鮫为鏻馘莙我只有泟踀韠五个蜕寋月镌笠忊大天箆訥的儿子被蜈蚣咬旞伇鱮了。”應櫠惨如今，儿子龁韻気的伤势已无瓫緛鹂大碍，他襀蔂妒也希望为灗吤这璉龠起事件负起责任。“恫职椞我希望受害者能够联络我帮捀榪，并且把银行户头号码给鲡蠺贖我，好让跷綁我可冫邵焨以屸媝为事件负责，并弥补自己的閑埔碮过错。”他噫孪陻同轫琪时恳求Nojahwati Sohaini撤贜泡下仹癦揂有关视频，让事件告皖艶一段落。綠儸不过，根据Harian Metro，居銮警区主飻韍賩任莫哈末拉罕指出，该名司机仍未赲決到警局自首。"
黑馬王子,20170908,"看不出哪里像 “高速公路“ Btw 赶时间也要顾及别人的安全 "
无名好留,20170908,"你急是你的事，就因为你急，导致他人死亡，那死者家人怎么办？"
破坏天才,20170908,"他妈，如果人家的儿子死了，他拿条毛来赔？"
voiture88,20170908,"人家没把视频放出来，他应该也不知道自己有错"
Carpenter,20170908,"真的出事了，应该会把责任推给那条蜈蚣..."
leouy,20170908,"儿子长大后也是这样"
情牵軒尼詩,20170908,"赶去投胎确实是件急事。迟了或耽误了时辰跳错就惨了要选准准,即便没有跳到蓝宝坚尼的也最少要有马赛地5series....很重要,很急的。"
monster.inc,20170908,"什么都可以pusing 的pusing land."
c.c.chong,20170908,"全部都说有急事。"
lancer12,20170908,"每次都多多借口。。。"
jackygogogogo,20170908,"你孩子被虫咬要那么快？你孩子的命最值钱，他人的命是粪土？"
Mr.Bean,20170908,"吓死人，这样开车都有的？！"
绝地榴莲,20170908,"Kenari的反应也太大了点吧？都已经向左避开了BMW了， 干嘛还要猛打回右边去？  怕死撞不到对面来的车吗？的确是跟死神擦身而过。 没死是大命。"
Jason929,20170908,"你孩子的命最值钱，他人的命是粪土？+1"
神垂死,20170908,"他都傻H来的，5个月大又怎样，死掉最多啪过罢了，人家不一样还有家人要照顾，但最后他愿意给钱settle，这样肯定要wat他一笔了~"
神垂死,20170908,"这个就素失控了，加上车没安全系统补助就素酱的，还有他轮吃去沙地的却会打滑，之前偶也试过tayar磨到沙车直接会滑~"
浴血天使,20170908,"被蜈蚣咬。。。。。。。"
samsilence,20170908,"神马事~"
Daewood,20170908,"接口吧？"
512MB,20170908,"厉害，这个马来仔的pusing跟嘻嘻弟的pusing一模一样"
yk13,20170908,"和死神会面也确实是急事"
woo6466,20170908,"也不能这样超车啊"
浩浩荡荡,20170908,"猪撞猪？畜生的事与人类无关"
