Topic title: 游戏《众神之斗》涉破坏宗教和谐  通讯部：24小时内下架
username,date,text
CARI_KJW,20170908,"由台湾游戏团队所开发的禋胕蜦格斗游戏《众神之斗》（Fight of Gods）才刚刚在棎筿我勫謁琯机糽国推出不鰎障虤久，通讯与多媒体部便下潃儒塄令国獈棡内电子游戏平台供应商必须奶褅在24小藩襍时内，将铰柅这款游戏吋囩下架！《众神之斗》的古鵛游戏界面。【图片蠚睭诊来源：网络】通讯与多媒体部长沙烈赛益于狓薭减星期五（8日）发表文告称，该游戏以铗璽璢各悎滲个宗教嫪所的神明檥謚为游戏人绿饂瀏物，除了鈄卙亵渎宗教，也威胁鳌眙篯了国怡芧誅内嗾阐銖的宗教和戶湦晬种族哉嘃和谐。鸂斢鯋为此，通讯部下鐽揷令这剉就伖款游戏必须立即飈觅鳐下架，否则该部就制耾会准专采取行动騶侶湁，避免这螂賭款游戏的餀倮谀内容对棷鹱牖寡墳国嫜嫶人造成伤害。你也可以佦鐅笨看台湾《众神之斗》游戏嘲弄宗教？本楼瞰幷地宗教团体要鐷滟橈求政府禁止"
VINCENT@YONG,20170908,"这就是为什么一直以来没有人出神明这些游戏，一般都是用和尚,人物那些来代替…"
qwqwqwqw,20170908,"steam上的电脑游戏被你说成手游，工钱那么容易拿的？"
kenny16031984,20170908,"能禁得完吗？玩个游戏也怕叛教?正事不干尽干些蠢事。"
Kyrios,20170908,"直接用佛祖是敏感了一点"
lumixcer,20170908,"好像没有用到他们的。。要不然又吊水上台湾炸了。"
vongolia,20170908,"禁个屁，我们这些教徒就喜欢这种游戏。 神神佛佛，电影中早都拍到烂了，一个游戏会被认为亵渎宗教？ 以为我们是你们回教徒玻璃心咩？。。。"
vongolia,20170908,"敏什么感？ 。。。电影，电视也有佛祖打斗画面啊。"
q(T_T)p,20170908,"宗教害人不浅 "
神垂死,20170908,"丢。。就素Street Fighter罢了嘛，只素把人物换掉罢了嘛。。必杀技：偶流gE～"
夕阳子句,20170908,"千万不要低估人类的脆弱，玩个游戏都可以被伤害"
dupont378,20170908,"如果换上政党领袖不知道有没有人买"
bvu,20170908,"问题是要去哪里下载？？找不到咧。。。很想看看诸神们有什么 Power!!"
180,20170908,"是不是某某神教没什么比杀鸡，才会被banNed "
weiwei318,20170908,"突然想玩谁有ipa"
Jason929,20170908,"不是手游來的吧?!Fight of Gods"
AMOS5566,20170908,"國內種族關係為何會荒腔走調，大家心知肚明，了如指掌。"
weiwei318,20170908,"原来3楼已经扎了lz"
elvinday,20170908,"我看到那个游戏里 如来的打法，说不好笑一定是骗人的"
Orochimaru,20170908,"关公OK，三国无双赞"
kennyteoh818,20170908,"通讯与多媒体部应该时常在上班玩才那么清楚"
阿白,20170908,"应该设计那鸡和老马对打"
探险家,20170908,"妈的, 整个Steam都下架了....."
素还真,20170908,"我觉得很有趣的游戏，尤其是佛祖一直坐着莲台很特别。"
yewchang,20170908,"应该是穆哈默的设定太差， tak boleh pakai"
anthony94,20170908,"厉害 整个steam都ban掉了"
teachew,20170909,"那么，你们就可以知道为什么某些论坛以及论坛版主会亲国阵。"
Orochimaru,20170909,"遊戲素質不是很高leh ，和tekken， street fighter 5差很多"
teachew,20170909,"如果那鸡的设定不够强，肯定很快就会被下架。"
leouy,20170909,"之前一个骂神仙的小说神魔列国志刊登在星洲也是被反对声浪搞下架"
Orochimaru,20170909,"看著佛祖被關公打倒感覺的確怪怪的 ，還有佛祖坐的蓮花一直粘著屁股的 "
kingpower2016,20170909,"其实是很大胆 大家看到都说酷。可惜就是太僵硬的质量。"
阿白,20170909,"那鸡不够强没关系，最重要是河马必须是最大的boss，还要设定为不可能被击败的boss那么这个game就不会下架了"
洋葱小弟,20170909,"大马可以设计一个 animal wars。 斗鸡 kick + 河马 dash"
kimkim5,20170909,"还要加入 穿红衣的假马 必杀技是神打，拿砖块敲自己的头。再加入 泡咖啡的Mr15  必杀技是“你听我说”，结果一直被打直到KO "
chtan69,20170909,"这就是宗教吐的嘴脸。根本就是人类的毒瘤。"
teachew,20170909,"还有可加入CD佬，必杀技是一条生殖器，可以伸长出来打人。还有脸孔讨人厌穿着性感睡衣做到半死的婆娘，必杀技是施放山埃毒，近距离远距离攻击都很厉害。"
猴年馬月,20170918,""
locolyric,20170918,"这个游戏设计很差。还没有以前看的2d那个版本过瘾。"
followme123,20170918,"其實就是拿 Street Fighter 的人物換成神佛而已，遊戲本身沒有什麽特別的，就是很普通的打鬥遊戲"
