Topic title: 被瞧不起的华裔选民
username,date,text
tco911,20170908,"“联伊”最近成为了希望联盟的最重要字眼，因为这联盟的各成员党都园绕着这个字眼团团转，而所谓的“联伊”就是希联要与已经对外公布断交的伊斯兰党继续合作。原本国内的人民都以为希联已经与伊党切割了，然而，自从“联伊”这字眼出现在人民的眼前之后，人民现在才如梦初醒地发现到，原来希联对伊党还是念念不忘，并一直在等待伊党的回心转意。希联成员党之一的人民公正党实权领袖拿督斯安华最近表态，强调联伊路线乃公正党一贯路线，而且其他成员党，包括民主行动党等，都知道公正党这个一贯路线。这句话真的是有如醍醐灌顶，因为这意味着行动党根本很早就知道公正党一直以来都在极力拉回伊党的，但是行动党却没有对公正党这个路线表态，想要静悄悄地瞒骗人民，特别是已经将伊党视为洪水猛兽的华裔选民。现在华裔选民也终于明白为何伊党最近一再做出伤害华社的举动，例如在国会提呈355法案丶在吉兰丹州落实公开鞭刑的刑罚等等举动，行动党总是避重就轻地带过的原因了。很显然的，行动党不敢在任何课题上严厉讉责伊党，原因就是担心它做得太过火的话，可能会破坏希联的“联伊”计划。所以，行动党对伊党的抨击总是采取“话到嘴边留半句”的态度，凡是都留下转身的余地，而行动党这样的所做所为实在是伤透了华裔的心，因为华裔一直以为把选票投给行动党之后，行动党就会大胆地进行各种的改革，或是悍卫他们的权益，或是至少不会做出卖他们权益的事情。然而，华裔这种心态也未免太过于一厢情愿了，因为行动党在获得华裔的选票之后，不但没有维护华裔的权益，更不用说去争取华裔的权益。现在大家可以看到是行动党早就已经转身全面去讨好我国最大的族群，让华裔在国内自生自灭。可不是吗?行动党顾问林吉祥最近还再三地强调行动党并非华基政党，这意味不是华基政党就可以“理直气壮”地不必为华裔争取权益了。根据报道，最近为了代替公正党上阵的柔州3个国席，林吉祥说了一句“经典的话”，即行动党不会因为“貌似华基政党”，而争取以华裔居多的选区；行动党不是华基政党；新山3个国席皆不是华裔国席。由此可见，行动党可以为了争取在一些议席出征，而不惜一再与华人选民做切割，以证明行动党是多元种族的政党，希望国内最大族群可以支持他，那么，华人选民这时是否也应该醒醒了，因为就算华裔选民百分之百地支持行动党，行动党最后还是不会为华裔争取权益的，而搞不好华裔选民那种一厢情愿地以为行动党会打救他们的想法，最终可能还会被行动党的头头们瞧不起。"
512MB,20170908,"楼主的车大炮文章，时间到了证据会自己浮上来。"
loongken,20170908,"巫伊合作马华民政静静不敢出声。"
kenny16031984,20170908,"所有的马来政党都有个终极目标，建立伊教神权治国，管它执政党还是反对党。"
lumixcer,20170908,"没有被瞧不起的选民，只有被瞧不起的政客和政党，大家心里有数。"
jellyfish_8,20170908,"”林吉祥说了一句“经典的话”，即行动党不会因为“貌似华基政党”，而争取以华裔居多的选区；行动党不是华基政党；新山3个国席皆不是华裔国席。”楼主，看他在槟榔的贡献，也说明了他的确不是华裔政党。铁票仔，记得了。"
512MB,20170908,"假的，你的文章肯定是P的。没关系，时间到了，证据会自己浮上来。"
tuatualiap,20170908,"文章多數應該是copy回來的"
kimkim5,20170908,"文章多數應該是copy回來的 +1"
paulng85,20170908,"大选到了。"
feilong,20170908,"火贱清蒸化槟城大家有目共睹，宗教拨款98%vs2 %还上中文报公告天下，好一个为了拯救国家。"
