Topic title: 提供临时庇护所 大马收留超过10万名罗兴亚难民
username,date,text
Cari_CYJ,20170909,"为了保护缅甸罗兴亚人，大马海岸卫队将提供临时庇护所给抵达大马的罗兴亚难民，目前大马已收留超过10万名罗兴亚难民。据路透社报道，大马海事执法机构总监拿督祖基菲里表示，由于缅甸再次出现暴力冲突事件，近几个月将会有许多艘来自缅甸的船只抵达大马，而目前大马已收留超过10万名罗兴亚难民。“原则上我们应该提供必需品给他们后，便要将他们送走，但基于人道主义，我们还是不能这么做。”他表示，这些即将抵达大马的罗兴亚难民由于没有证件，所以会被安置在移民拘留所内。截至目前，有5万9千名罗兴亚难民向大马联合国难民署（UNHCR）登记，不过根据非官方统计，罗兴亚难民的人数或许已超过正式登记的两倍。"
leevis501,20170909,"现在是难民，较后是选民，再来变国民。"
leevis501,20170909,"现在是难民，较后是选民，再来变国民。"
阿白,20170909,"有了这些难民的选票, 那鸡就可以大大声叫华人balik china咯!"
院长,20170909,"没有签署联合国难民公约，为什么要做犯法的事。这样的决定需先通过民调吧！"
行动人,20170909,"还是高华人一等的“地球王子”。。。。地位。"
kingpower2016,20170909,"穆斯林信仰就是一切"
Botty,20170909,"如果穆斯林是多数，那么那个国家就是伊斯兰国，且不容挑战。如果穆斯林是少数，他们就会闹。闹得好，闹得到，地位待遇提升。闹不好，被人摒弃或遭驱逐，最后变了难民，到了新地方继续闹，继续争取他们的权益。"
pupuman,20170909,"大选时他们的名字就散播各地"
SIEWMIN,20170909,"鐵票區選民沒意見"
512MB,20170909,"嘻嘻弟和一众马华同行只看到槟城有问题，郭镇搞的就没有问题。"
prince,20170909,"已经是选民了，很多一来到就拿ic了。"
肥仔聪,20170909,"有了第一个10万，就会有陆陆续续第一、第二个10万。。。"
dupont378,20170909,"在收留罗星加 议题执政 反对党 都支持应该让支持的议员 全部倒不要管是什么党"
512MB,20170909,"徐子跟上台。"
dupont378,20170909,"他没有表态反对"
类一凡,20170909,"同教，自己人。你们跟我闭嘴"
512MB,20170909,"所以，未来许子根代表华社。这都是郭镇故意给马华滚下台的阴谋。"
kenny16031984,20170909,"那些华基政党都是卖华党，不管马华民政还是火箭，静静不出声。"
“@_@”,20170909,"这次PK了啦...人家德国都搞到损手烂脚了...我们拿什么来养呢...."
seankaz,20170909,"他妈的，有问过人民的意见吗？到时候有什么事，谁来担当"
Carpenter,20170909,"伟大的马来西亚，The Great Malaysia "
512MB,20170909,"马华大话精讲是林冠英的错，郭镇没有错的。"
qweasd147-,20170909,"木事林就是一切"
