Topic title: 罗里疑失控越过分界堤致1死1伤  白蒲大道今早大堵车
username,date,text
Cari_CYJ,20170913,"白蒲大道于今天（13日）早上6时许发生一起死亡车祸，一辆载着沙石的罗里撞向一辆轿车，导致一名华裔男子命丧当场。图片来源：东方日报据东方日报报道，这起车祸发生在白蒲大道第22.6公里处，特易购霸级市场前的路段。目击者表示，载着沙石的罗里疑似失控，接着冲过大道中央的分界堤，再撞向反方向的轿车，导致轿车内的华裔男子被夹毙。尽管车祸在早上6时许发生，但由于是上班时间，大道的车流量高，导致将近10公里长的车龙，直到早上9时30分，交通堵塞的情况仍未获改善。图片来源：东方日报中国报报道，根据警方初步调查，此意外导致一名华裔乘客林吉钦（译音，28岁）当场毙命，司机陈子轩（译音，27岁）受伤。涉事巫裔巫裔罗里司机则无受伤，警方也在早上10时许清理了事发现场。"
Hishammudin,20170913,"駕在快車道真的很危險因為雙向速度很快"
Jason929,20170913,"分界堤可以弄高一點..."
Carpenter,20170913,"问题一再重复"
lengflower,20170913,"Tesco 前面那段路好像是被下了魔咒似的 每次有车祸十单八单一定涉及死亡的  阿弥陀佛"
Daewood,20170913,"华人7月，多意外"
SilLyPanDa,20170913,"我本身觉得puchong这段中央路挺乱，车流量又多。每次来到这里我都是放得特别慢行驶"
512MB,20170913,"又是罗里 "
院长,20170913,"分界堤可以弄成一道墙"
三傻Samsung,20170913,"楼主改标题吧！警方证实是汽车司机超速危架追尾撞罗里"
BBJ,20170913,"找到原因了。你放特别慢，造成后面的车必须超你的车。然后意外就容易发生了。"
chengengfeng,20170913,"悲剧、、、开车需谨慎。"
kennyteoh818,20170913,"一定是刹车器坏了。"
阿杜,20170913,"很恐怖一下，车都扁了"
mkcc,20170913,"看图就知道系追尾，而且车速快到离晒谱。"
rioj,20170913,"犹记得十多年前一样的事发生，只是在白浦大道Kelana Jaya。也是罗里冲向另一边大道 压死一辆宝马女司机，死状恐怖 也是血溅四处。阿弥陀佛"
AMOS5566,20170913,"小心駕駛，欲速則不達；一心一用，生命沒有重來。"
professiorKing,20170913,"有几个不懂的，这个分界堤不是区分迎面的车，是区分上天桥U转和直去的同向路。"
calvin_siang,20170913,"愿死者安息"
BlazeA4,20170913,"羅里佬沒有一個好的，應該通通抓去槍斃"
神垂死,20170914,"不要乱咒人家lorry佬，素vw学人开快车失控撞向沙石lorry，lorry被vw撞出分界提，你看看lorry后面的斗就知道了，vw撞击力蛮大lorry都撞飞，离不开直路开快车，谁应该死这素天意~"
samsilence,20170914,"rip"
Eric_88,20170914,"警方的调查结果是vw司机speeding导致意外 改下标题吧"
SilLyPanDa,20170919,"是适当慢，不是慢到给人“问候”啦"
表酱紫,20170919,"应该说黑皮的罗里佬"
