Topic title: 火箭檳城又大水災了，有人看著檳城水災開帖幸災樂禍拍手叫好，大家心情是怎樣的呢？
username,date,text
赤练仙子,20170916,"火箭檳城又大水災了，視頻顯示小汽車被巴士行駛過的水浪震開，心跳一百。【更新】翻摩托被急流冲走 女骑士遗体被寻获***************************************許多網民都向上天祈禱保佑檳城。其實從论坛上看著看著檳城水災，有人開帖幸災樂禍拍手叫好，大家心情是怎樣的呢？是罵許子根，還是感恩林冠英？"
盡用話題,20170916,"应该是前朝没把建设做好，故意挖坑等十二年后林首长踩下去，不信就算"
kmrddecade,20170916,"其实淹水只是小事情罢了，水淹上来不要紧，只要快快退就好，而且又不是每天淹水的你说是吧？久久一次，没有问题，这是天灾不能怪谁的。天灾来的政府可以做什么？而且家里的东西泡水了也不一定会坏，你说是吧？就算坏了，就买新的咯，全部买新的过后，整间屋子也变新了。"
一燈大師,20170916,"吉蘭丹大水災了，有個州首長上報紙發表諷刺吉蘭丹政府的言論，大家心情是怎樣的呢？"
赤练仙子,20170916,"槟城很多地方水灾，有人幸灾乐祸，只因内心狠毒！"
mark,20170916,"马华中立最开心了， 因为可以发帖攻击槟州政府了..."
richgod,20170916,"什么淋也政治化做得很厉害酱，馬化会淪陷为垃圾党1定有它的理由，垃圾奇葩功不可抹！"
赤练仙子,20170916,"我看着一直在他们一个个那里幸灾乐祸，原来他们都在那里暗爽！我发觉他们的内心太狠毒，我很惊讶又难过！"
赤练仙子,20170916,"他们只有落井下石，他们不会雪中送炭！"
richgod,20170916,"它们只会抹黑炒作博出位赚些廉价政治筹碼真正的垃圾中奇葩！"
bkkt09,20170916,"红豆兵当初就一直对丹州水灾幸灾乐祸这就叫礼尚往来吧"
假冒是神50,20170916,"PENANG LANG 想问 TOKONG LIM GUAN ENG你们觉得明天起LIM GUAN ENG会下令所有山坡PROJECTS无限期STOP WORK ORDER么？嗯嗯嗯"
hellmales,20170916,"没办法，因为那几只中立都是可以为了钱不要脸，不要自尊的生物。所以只要可以攻击希盟，这几只动物哪会有什么良心。"
假冒是神50,20170916,"你有自尊的么？唐人里60年来没有半夜去帮UMNO切过ROTI CHANAI的YOU ARE THE ONLY ONE哗哈哈哈哗哈哈哈哈哈哈哈哈哈哈哈"
immigrant_at,20170916,"这都是Tokong Lim 的错，神在重罚。Penang 很缺MSL医院， sembahyang 场地 ，到处都是猪狗。"
cct2050,20170916,"MCA 请泰国大巫师诅咒槟城水灾 ？"
kmrddecade,20170916,"我发觉人民ubah过后都变了一个样了，本来不骂粗话的，ubah过后是也骂粗话不是也骂粗话，本来不是大嘴巴的，ubah过后是也大嘴巴不是也大嘴巴。"
kmrddecade,20170916,"民政早几天不是有去弄那个马路？他们看起来是在补路，其实他们在弄破地下水管。"
cct2050,20170916,"谣言止于智者"
richgod,20170916,"每天开口关口tokong林你説的不累林伯看久了也猪淋，説得自己酱把炮有本亊買起他在这里每天像疯狗般乱吠有淋用嗎！？"
假冒是神50,20170916,"UNCLE没淋用你也懒得REPLY UNCLE咯UNCLE就是要除掉唐人大族奸LKSLGE你有淋用就LIST出UNCLE的罪呀从那里开始好呢？就从KOMTAR吧嗯嗯嗯嗯嗯嗯嗯嗯嗯嗯嗯嗯嗯嗯嗯嗯嗯"
richgod,20170916," 就憑你疯狗弍的乱吠？komtar?你想談么淋？不要棄樓宿春就好。"
假冒是神50,20170916,"就谈你在KOMTAR的日子吧嗯嗯嗯嗯嗯嗯嗯嗯嗯嗯嗯嗯"
绝地榴莲,20170916,"雨太大， 水太多， 涨潮， 排不出去， 又没有地方储水， 就自然淹水。"
cct2050,20170916,"这不是历史最多的雨水不过却是槟城最严重的水灾"
假冒是神50,20170916,"涨潮?TIDE TABLE放出来给PENANG LANG 看一看哦哦哦"
jellyfish_8,20170916,"槟榔郎如果还没看清那就想一想为什么林苍佑和根根时代不会糟糕到这个样子左青龙在水中抓pokemon记得要留意安全"
假冒是神50,20170916,"25 涨潮?TOKONG LIM GUAN ENG 的 日历 说的哗哈哈哈哈哗哈哈哈哈哈哈哈哈哈哈哈哈哈哈哈哈"
richgod,20170916,"屌！林伯早己解脱了，知道什么叫現眼報嗎？当年抄家現在摟在一起跟你的tokong lim 同歸与尽"
假冒是神50,20170916,"你怎么解脱的?你在KOMTAR的日子说出来帮TOKONG LIM GUAN ENG SHOOT BN呀PENANG LANG想听嗯嗯嗯嗯嗯嗯嗯嗯嗯"
richgod,20170916,"林伯比较喜欢shoot馬化垃圾中的奇葩"
假冒是神50,20170916,"MCA跟KOMTAR你的KOMTAR史有直接关系么？哦哦哦"
richgod,20170916,"馬化垃圾党自从被敦林團灭之后在槟城还惨过做妓女，槟城几时輪到垃圾党出声。"
假冒是神50,20170916,"你是在谈着TANJUNG 1啊 2啊 3啊 那个被LIM KIT SIANG AND 马哈迪联手拉下那个林苍佑么？嗯嗯嗯嗯嗯嗯嗯嗯嗯嗯嗯嗯嗯嗯嗯嗯嗯嗯"
