Topic title: 【革命性改革】突尼西亚允许穆斯林女人与非教徒结婚
username,date,text
mm333,20170917,"没有规矩不可被改变，问题只是时间这个革命性改革，会不会是伊斯兰文明走向开明的一小步呢"
他旺,20170918,"这是一件好事。只要马来西亚华人努力点，尽力影响多一点马拉人改信基督教，那么这里的政策也有可能会改变。"
cct2050,20170918,"突尼西亚是经过大动乱才醒悟"
kenny16031984,20170918,"娶了之后需要入教？"
jasonwong8228,20170918,"搞清楚先，是不是娶了要入教才行只是从远古时代进化到近古时代而已"
yming2475,20170918,"北非国家突尼西亚政府近日宣布，女可嫁给穆斯林婚姻解禁，她们非穆斯林，而非穆斯林配偶无须改教。在这之前，非穆斯林男性若想娶突尼西亚女性，就必须先改信伊斯兰教，並呈交其信教证明。不过，突尼西亚男性却更早获准娶非穆斯林女性。半岛电视台(Al Jazeera)报导，总统府发言人加拉奇(Saida Garrach)恭喜突尼西亚女性，和男性同享自由选择配偶的权利。突尼西亚总统艾塞布西(Beji Caid Essebsi)在一个月前要求解除这项始自1973年的禁令。http://www.orientaldaily.com.my/s/213033#"
lam69,20170918,"嫁娶了之后需要跟他/她入回教？这是重点。"
dupont378,20170918,"被 ISIS 吓到失禁"
yming2475,20170918,"真的咩 ？ 有那么严重 ？"
dupont378,20170918,"吊完砍头"
雷克斯R,20170918,"凡是革命是要流血的 "
leouy,20170918,"男非穆斯林可以娶穆斯林老婆吗？最后生出来是什么斯林？"
monster.inc,20170918,"這邊你慢慢等。"
无名好留,20170918,"马来西亚实行的话，华妹真的吃自己了"
三傻Samsung,20170918,"更希望全部人没有宗教信仰，还地球人一个自我意识。宗教只是骗子故事，有谁证明神的存在？"
他旺,20170918,"先把马拉人变成基督徒再说。到时候他们比较容易成为无神论者。"
Hey花爷爷,20170918,"马来妹很多蛮漂亮又很小鸟依人"
Kyrios,20170918,"要马来西亚真正团结，宗教必须自由。自由的话我想会有很多马来人脱教"
locolyric,20170918,"马来人的弱点就在于回教，要是脱离了回教，恐怕很多华人都找不到吃。马来人演艺天分厉害，放开了恐怕不计其数。再加上很多马来妹身材有料，组一个少女团体，恐怕在亚洲会带起一股马来风暴"
yk13,20170919,"强烈支持大马实行这个计划以证明我们是开明的国家！到时候肯定很多非穆斯林宅男尤其是华人可以迎娶马来妹天天啪啪啪了"
弟兄姐妹,20170919,"大多数华人都是拜神的，你怎样证实神不存在?"
Kyrios,20170919,"我觉得不错啊，互相通婚，宗教自由，造出真正马来西亚下一代，再也不用分种族。分分钟我们是亚洲最强的国家。"
三傻Samsung,20170919,"我是无神论，随随便便就可以证明没有神囖! 无知者才信宗教"
蓝火爆,20170919,"如果娶马来妹不用入番。。。。马来仔肯定会游街抗议娶不到老婆，华人妹也会游街抗议嫁不到老公。"
