Topic title: 政治恶斗，政棍散播恶毒妖言破坏中资
username,date,text
cct2050,20170917,"这几年谣言满天飞，说什么中国给贿赂纳吉一大笔钱以东海岸铁路工程来说85% 的资金来自中国进出口银行提供年利 3.25 %的贷款，长达7年的延期偿付，第 7 年后才开始还钱15% 的资金来自马来西亚的国内银行通过伊斯兰债券集资。中国交通建设股份有限公司负责承建一大堆谣言说 ： 钱给纳吉 ？ 中国银行会怎么傻吗 ？ 中国进出口银行的贷款是给承建公司http://beltandroad.zaobao.com/beltandroad/news/story20170810-786017https://m.malaysiakini.com/news/391410"
aidj,20170917," 3.25 %利息 为何比泰国印尼还要高 这一点给国民解释一下 不要让国民误会国阵"
蓝火爆,20170917,"空穴来风肯定必有因，身有屎自然臭也不需迎风扬。"
aidj,20170917," 巴生港口 一半生意被新加坡抢走 请问 首相马来西亚政府 有何对策??https://www.joc.com/maritime-news/container-lines/cma-cgm/cma-cgm-confirms-mega-ship-order-swings-profit_20170915.html"
jellyfish_8,20170917,"楼主，火箭肯花一大笔钱养红豆兵，安插版主，网民就是希望利用人多势众来散播不实的谣言，污蔑来洗脑其它网民建议吉哥，廖哥需要采取行动对付网络论坛污蔑和假消息的网友和版主把污蔑的交给警方，通知面书管理封杀假消息杜绝假消息，才有胜算"
cyberjaye,20170917,"280亿+(HSS的年报)变550亿++，傻差才觉得没问题"
syncsw,20170917,"水鱼中立可以教一下网络污蔑和假消息大概是怎样的吗？是不是像下面这样的？https://cn.cari.com.my/forum.php?mod=viewthread&tid=3918647"
aidj,20170917,"若要提振国内经济，为何该工程不交由国内的公司来承建，因我国有能力、基金及专才等来兴建轻快铁及地铁，是什么原因不能兴建相关铁路？"
syncsw,20170917,"建ECRL，如果中国不借钱给马国（467.5亿），钱从哪里来？用屁股想都知道资金很大部分将会来自 EPF 和khazanah买的 corporate bond咯。既然 EPF 和 khazanah 买了ECRL项目的corporate bond，就没多少现金流投资去美国了咯。酱简单的东西还要pusing东pusing西 "
蓝火爆,20170917,"等一下4点多那鸡如果宣布解散国会你兴奋不？。。。"
cct2050,20170917,"马来西亚国债收益率是3.25% 左右"
cct2050,20170917,"对不起马来西亚公司没有承接铁路工程的经验全球铁路工程坐第一把交椅，其实就是中交建"
壬炜,20170917,"嘿嘿，如果工程给马来系呀，那可要等到2050年咯！"
leouy,20170917,"人家建这些是赚钱不是投资"
leouy,20170917,"给1mdb的，中国只是友谊之手帮忙转转，不会收多钱"
cct2050,20170917,"你在散布恶毒谣言，诬陷中国银行你是 dap 那一条政棍的属下？"
leouy,20170917,"你认为中国收完550，尼最恶毒吧"
cct2050,20170917,"又一个谣言"
leouy,20170917,"恶毒如你，认为中国操控的公司突然加倍价钱。事实就是中国帮人转转，没加价。"
cct2050,20170917,"巴生港口已经私有化哪是属于马哈迪集团的大家不需要为马哈迪烦恼"
cct2050,20170917,"这几年谣言满天飞，说什么中国给贿赂纳吉一大笔钱以东海岸铁路工程来说85% 的资金来自中国进出口银行提供年利 3.25 %的贷款，长达7年的延期偿付，第 7 年后才开始还钱15% 的资金来自马来西亚的国内银行通过伊斯兰债券集资。中国交通建设股份有限公司负责承建一大堆谣言说 ： 钱给纳吉 ？ 中国银行会怎么傻吗 ？ 中国进出口银行的贷款是给承建公司http://beltandroad.zaobao.com/beltandroad/news/story20170810-786017https://m.malaysiakini.com/news/391410"
aidj,20170917," 3.25 %利息 为何比泰国印尼还要高 这一点给国民解释一下 不要让国民误会国阵"
蓝火爆,20170917,"空穴来风肯定必有因，身有屎自然臭也不需迎风扬。"
aidj,20170917," 巴生港口 一半生意被新加坡抢走 请问 首相马来西亚政府 有何对策??https://www.joc.com/maritime-news/container-lines/cma-cgm/cma-cgm-confirms-mega-ship-order-swings-profit_20170915.html"
jellyfish_8,20170917,"楼主，火箭肯花一大笔钱养红豆兵，安插版主，网民就是希望利用人多势众来散播不实的谣言，污蔑来洗脑其它网民建议吉哥，廖哥需要采取行动对付网络论坛污蔑和假消息的网友和版主把污蔑的交给警方，通知面书管理封杀假消息杜绝假消息，才有胜算"
cyberjaye,20170917,"280亿+(HSS的年报)变550亿++，傻差才觉得没问题"
syncsw,20170917,"水鱼中立可以教一下网络污蔑和假消息大概是怎样的吗？是不是像下面这样的？https://cn.cari.com.my/forum.php?mod=viewthread&tid=3918647"
aidj,20170917,"若要提振国内经济，为何该工程不交由国内的公司来承建，因我国有能力、基金及专才等来兴建轻快铁及地铁，是什么原因不能兴建相关铁路？"
syncsw,20170917,"建ECRL，如果中国不借钱给马国（467.5亿），钱从哪里来？用屁股想都知道资金很大部分将会来自 EPF 和khazanah买的 corporate bond咯。既然 EPF 和 khazanah 买了ECRL项目的corporate bond，就没多少现金流投资去美国了咯。酱简单的东西还要pusing东pusing西 "
蓝火爆,20170917,"等一下4点多那鸡如果宣布解散国会你兴奋不？。。。"
cct2050,20170917,"马来西亚国债收益率是3.25% 左右"
