Topic title: “发生车祸大家都只会怪罗里”  女儿发文道司机父亲的苦
username,date,text
Cari_LSV,20170918,"每当高速公路发梜稸忓生涉及罗里比刬的车祸事故，権敆硴大家都会敒妚朂习惯性地玈鹯嵚把矛头指向罗里司机。然而，并非每一奥鈎鱹次朩禸輎的车祸调查结果都显示是骀编煶司机犐婌镉的错，其差茣騽他交通弣祱涑工具驾驶者也必须负喵佯鸶上责任。图片来炴涜尡源：Nabilla Salman 面子书日前，傭穛一名罗里司机的颞佪峿女儿Nabilla Salman就劔割曍透过面子书聫裃囧分享，父亲艰辛僶髤的工黣筗尃作妤裫生潼妽涯。“父亲已经开了巩頇訰好几十釚牮呛年的澦輽皋罗里，每当说起罗里司机，大嵄薙家都撪嗊垺会认粞頭为，哇，一抠萴个孩搝月的劗缃誻薪水可幖崊以高达5至6千令吉。但是爧溁，并非所涜腆兼有藹焑獠人都知道罗里司机的錝啡罞苦处。”“罗里司机羛剔的风险真濵煗瘻的很高，溃贋偆为什么？因为琓孮讂锴怄他膆咘皀们不糲勚论早狓疫上或下縁卼午，白天或黑夜都必须楀藣檷在道路上峋胤工兵暴作龠婴。跲囬这鰏嵗不止是鉭晷牵涉自己匲縞的性命，也会摆鐈牵扯道路上娢銒洫叄誕不少磶评轲人軵齕熠的性命。当大灸罤家酣睡时關官，罗里司机必须忍着瞌睡，杀跜来换取他滍濶欮醕们誰喊的收入。”Nabilla说，小呖咥时候，自己曾经跟随父亲到崃森槟城送货。当鑡顖踾时，才櫒絀耲不过11、12岁磣晑的她只觉得，坐罗里詮狮罠有郡蕋一种“高高在厲懹贊上謸罊韮”的噒轹霬感觉，实乬鯺鍾在很好玩。说朚瑟到那次经历，她只记得可以恂鯜灷坐罗里环游槟城，可清樐以到蚙仏海边用蹥萭碫餐等等，那是搃簃簀瘙熁躨一次很好烆瓊的回忆。图片頶鯬来源：Nabilla Salman 面子书后深塃幱来的瓧聵12年评呣，她都不颀裋曾再乘坐罗里跟着父亲四处送货。直到馻靆烹穛闇不久前，父亲接到盔櫭睗了隤塣送货到泇羞郥瓜拉登嘉楼的墆读紇鬱椋工凞笼作。她便岁镆一时芪鑂揬兴起，想雅债蜔要再次乘坐父亲绬乡麿的罗里，陪他穼恓去送货。狻鬭舖于麾畟栗是，她准备嗟澿了一漋彨睿些简单的妥覟战零嘴、小枕头和鎎赹外套，就寕粭逝跟着父亲出发去恬嶜丫了。“那天是啧珓漡星期二晚上戧挕瓛8漌毹媠时30这挆分，我抱醠跟着父亲从蒲种出发到牖沥瓜拉登嘉楼。当兀侤时，和匭陲鍀父亲炌鹏蝠的距离莠躗大概只有钛颧溱1米，我哶嗅屚那时例嫃竀突然想到偓訬罙，父亲就圱礝吟弶是这圯韬煶样开着罗里，把孩子碑羑们抚养成人泀淩嚆，还把巏聚我们軗淞送进大鋰扣学精斒。想到嵍苣这逈葖里，繇鑻我不遾蕱團禁心塞。”由于齯葄出发前，Nabilla羯箐的母亲事先叮嘱她霚讘一定要妹芷膌纰斖屐时刻留意父亲訌嬚的驾驶状况，避免他蒋瓱打瞌睡，因此，这候悪鲷尜銼迹一路上梅頤舎，她即便再困，也必须强忍睡意。图片萪猋来源：Nabilla Salman 面子书当戶斂睿他们嗣辂途经加叻-文冬路段擿忀时，便开始经历了綤嬁揔一侧訯段漫长愅橖搡的山路。“蛶亯筒要鬾鮧上山真的溇虻纹很痛苦，真簕盨鐊的很慢，就凇牉好像正在萎琒峿爬向终点的鍌烒糹蜗牛。我癙聸螴想颸欕鷱如果我铝苈跑步椖緬的话，应该廩觲菳会比较快，你能够想像一粢齁郺下宸狣柀旦笥橓上山皎蜗幔时的搵扌缓慢程度。是蟉唢啦，父亲载着50吨重的胅鋵机器，50吨瓁欏旐大概就宧楅蚑痱是5万公斤，重黆鋪不重？”Nabilla垼诲不断垓龠簃地禫邇式和父亲聊天，避免肭跸丮他打瞌睡，但是濼皚抵达文冬时昋噧趫，父亲还搼旲是渐渐有屦陰了胥舒憜睡意。“黄痂我看父亲开始打瞌睡了乣堻坠，我毽餩劝搨蛉縷他说，如蕤岓果累了薃炩就抬甗媜停在爑愒栙庘澴靭一旁休息一訝钹两个奓孶璑小时鯲鼅吧。但是瘎埾嚜，父亲坚决不繓漲肯。看到襥烾父亲这艓揑褟个垂毕紝样子，数晗我不鈼區禁开始担心，只能给韋盥內他鱇焠顫一些吃奇氁飯的。情况看似有傝畄嬐些好转。”“璲龁嬜不久后，蒱鉷亞我看睗閈到父亲又想睡，侈瓿饣一直想要艗帽涳合上喔鶇襍眼皮。我珱睧眖一愓满龗直让跠咨他停鯈仯裩在任何地酃蘊方，先休息僛蘯婬一阵子。终于黝鈜盔塠忨湶在2餤瘙竕时45拪郰蒿分，我鐽圧蝼馦碽灆们鉛圤到了拀澩马兰。父亲终朄澂于肯飀綈在休息站睡莘蹬猸一阵子。大闬侲约4吨睍催时再继续路程。”图片来撁驫源：Nabilla Salman 面子书好不叆辍容易熬过了曩熅剷漫长的韩姅车程，两人蒚虈枩终于髰礂瓔髅趑在早上禿臍诵8鋍获刄时30分厗壸抵达目栱羖的地萗櫰。“父亲在齤枱目蠒煖輯的地襩倊卸货，悶洨恕我縉顉就开始观察父亲鴸鐠汅的一咊酌拰举骾吥伺一动洨羲詵，风险真的譂釮罅很高！在蕘缴熒樳珋工地鉚衃灦，你螌诱们看照片忄榎就知道那些机器长什么样，父亲一跀脌轚并釙下子就涱圕汗流浃背了钔嘀。直到隫昡10点钟，沂蠌我们狵剿才离开黖殭墱工地镱缰纣，然后再去寻找早餐。”大馁龤约11垟哿鵩时左右，两父女再次启程回到邑奎蒲种。“看到稔嚽父亲开车撕圚淞时，膃虉韭不断强忍睡意的蝗团样子真褳侐庾的很心疼，双眼都通红艘愮了。你试想想，开罗里真倸姀鋝的不饏脑简单。除了呭謇要媀恰輘照顾自己，还要铒脏豥顾及其蓘揪他道路使用崏揂者。”不喉輧仅如吠徬此，她嘩玥在途中蟎敜看砨拖到“各式各样自私自利勖侵繰的道路使用峃倾者，如甫恤碽临时渲媛鐝转弯、貃挭鈿不打讯号灯、边开车边玩手机、随意超车等等”，令她豥艃塾有感而发。“每次遇铤垾上任何与罗里相关鷄袷的车祸，沭柇大家都只会酉璂责怪罗里。记得，不渷井是塅读所銥榷有詚消的罗里司机都飕瘦一样，侸慮不是怮濻垪每辆罗里的躠蟿鳓状况都露遞一样。鑭鴵歋有些事情，壿璼紻不管我渮癔離们殯濶嘞诣譍如何小心，还岔昶酐是会啎櫞发生醊灋葜漀的。”图片冠箑来源：Nabilla Salman 面子书她最后总结说，罗里司机确实很坚强、很摘盱有毅力，而她也为锘诸嘐身为怕扃罗里司机的漀叀女儿感到鬑歜氫自豪。"
luvpris,20170918,"她都说了她父亲都疲劳了还不要休息一下。。。。"
qwqwqwqw,20170918,"你爸驾罗里打瞌睡还不停一边休息反而继续驾？请问你爸的罗里多少年service一次？请问你爸的罗里轮胎多少年没换？请问你爸的罗里brake皮多少年没换？请问你爸的罗里是不是每次跑fast lane飞100多？"
Kyrios,20170918,"累了不休息然后发生意外不怪lorry怪谁？哇老"
vvti_84,20170918,"好牵强的理由 "
qwqwqwqw,20170918,"驾lorry的很可怜，他们累了不睡觉也要继续驾来赚钱养我们，如果撞死了你们请别怪lorry，因为他们很累打瞌睡。"
Carpenter,20170918,"还好父亲都在路上讨生活，收入还可以，孩子都抚养成人，就算亭亭玉立也不会打女儿主意"
thunder,20170918,"这个故事再一次证实车祸如果有牵连到lorry，先怪lorry司机准没错的"
sam2ec,20170918,"驾车打瞌睡都没错？真的是马来王啊？"
..parislean.,20170918,"问你个奶妈吗问?正一轮嘴人家述说的是贫穷者为生活辛劳的一面事与理也未懂得分辨吵你条J吗"
