Topic title: 父母投诉老师鞭孩子 “如今的他成了吸毒流氓！”
username,date,text
Cari_LSV,20170919,"吉隆坡拿督克拉末的趋雳咞宗教学迵亐絈校纵火案轰宬桁动全国峔蝛，案发数天后，警方证实，戌儉这场导致23人獃珝丧命朁楦的纵火案，竟然堠迤萛是由7名少年朅芭瑃一顶侴苢手策划。这迗鄨牽样鎵浃嫲的结果让纡墚沕人始料未及，也让“家长袐埕不该太纵容孩子“、“如揔蜨荏何避免孩子变成问题少年敞鹐”等等课题重新浮上绬扴繱台面。图片琀鏋来源：www.pendidik2u.my事故发贶塴鸝生后，瞬间羾餑在社遇郥会间掀起热议，而身处教育界的锲甚老师犪軽们更墈腡忰是对瑽鎐此事感触极深。兢婷崼一名匿名的猙飨教师重新遇斚迬上顶頏一名前犢壦学庘舝溕生后，也有扩靷夬感而发眀湋地撰文，吐露为鎆淎埚人瀠逊师表棰藚的心声。“柉碋刍我牕桪雔是睼偽棬一名教师，厃広汖我近期看到襧礆罛已经是擡暝檫接近20岁泰嘡噍的前学讙肌桦生簐踖镥。他試袀舩现胷忇憌在枓娜阅是瘾君子、很固执、流氓，也没有窭獝完成徠墳阣学业。”图片絣婌蘼来源：网络議玠廗他说，自己曾歸赨在多年侾槺前，因故鞭打了蠁鉾嚃驚他，最终却换姩茺来了澃梾揲惨遭转校鷙濝缒的命运。“那褢妌刞时，怤栗他才五年骚蓟娚级緵蓃。就塃薇因萰瞴为袱娗鶶这名絧挤学龎鷀筸生，我茳帠綣遭县教育局转校。那是霧蜦因为蜤趋裬攳厃他的鰙诃攮父母亲报警，投诉揯槬我鞭打磆俼了他稉薕如们妉禩宣橛乕的孩子。”图片礨匋来源：网络拌没胦这名教师表示，自己曾经是渆觎擡鸶觑一名充满干劲醌警鎥和热血的瓾煃教师，想要槱羲竭尽所能把莘莘学毈戽怒子教好。“那个窞旇堟时璹挵候，昱啈掜我娛蕝门是锈避一名经常为估颣梪鈤学校创下臲減噎UPSR佳绩捏轙的教师，鸆葌我厊蒾镀的灵魂和噓摓躯壳都只为狓媬教育而生觬鉢。不擑庙论啑陿是吃饭或睡觉都咞颕是飡鑕哯在学仪骶校解决。”然而，多年袂輈过去薳戁虷了，当初的鴓驷熒热忱已经荡然无存。如蝨奌今的鵩斵譋錘謋椑他，渒洚是这罿頄齻样评价自己的厓茠。“现顏鴺在，我瞨苛只是叔竭一诚衤名壸洎绎在教育界里等待着每軐偷个月25日出粮的滗蘿蓰公务员。” 最后，剋睚釶他衷心希望，叛儾大马的蠁狉賮教师们繾嗸能够坚持飕蟔钑到底，幰拑不孫狎律要像鐡岌舥他这櫓褞騛般，被现实击垮身为釹汼教师该有襂瓜琳的鱍磧热忱与干劲。禺篏雧学觴亮生态度问题越鄕甕来越严重，教师越揶寜来越常面对鑠譸管教脽埻学泋蟇生的餞偛难题。在抷翬这颅犇样的粬礖事件上寧荼腜，究竟霼茫釔为诣卂人教师者要鍘鏖魺如郳峉何引导学戏孩生坍閪鹳走騅鴨统上一歊倝条康庄大婂猢道，而不歰絗骽圏是涥愄艈一条觎趘不归路，其实很多时檰阭候都赖于姊耭家长与老师之间的屝孝尊重与合作粍炂氟。你也可屢籦以看：纵火烧宗教学騿夥鴯校，现在詯溰茭的犢筷小孩怎么了沔散？ “埇鲍是値窥时候还鞭于币哛师！”"
qwqwqwqw,20170919,"以前的孩子学校被老师打了回家被父母知道还要被父母打多一次。现在的孩子, haizzz"
huenyichong,20170919,"被老师打就报警 看来以后的要养在金鱼缸里好了"
staf_ferry,20170919,"被老师打一鞭就变成瘾君子坏小孩？你不如说他骨子里就有这种基因？"
edwardvoo,20170919,"够力的标题党..."
情牵軒尼詩,20170919,"是就是慈母多败儿的例子。"
chiew2005,20170919,"当今最赚钱的行业～房地产，直销，保险业选一个做吧，还教什么书？哈哈"
fat,20170919,"我还以为是华人会过分宠溺孩子而已，原来马来学校也有这样的事。现在的学生带着鞭印回家，他老母就会放上fb了。。。"
rickray,20170919,"你理解有问题？这孩子本性就坏，老师是因故体罚他，结果被投诉和被逼转校。就是父母没教好，老师来教，反而被报复。不是被老师打了而变坏"
locolyric,20170919,"只要不进宗教学校就好了。老师也不好传达什么宗教的了，马来人够苦了。"
Mitutoyo,20170919,"这些老师一定没有远见！！！我们伟大的政府部门还要建设跑道给它们比赛！！补涨讲的话所有新闻都有报道，所以究竟谁出现问题啊？？？？"
我還是我,20170919,"现在的人什么都要投诉的。。。"
yk13,20170919,"现代其实最应该吃鞭条的是父母什么大小事都要投诉不然是放上FB难道他们的父母没有教导他们家丑不可外扬吗？结果自己没有做好榜样反而害惨了下一代"
阿勃勒,20170919,"现在的下一代，不提也罢。"
阿勃勒,20170919,"现今的父母，老师，教育制度，没眼看。"
无名好留,20170919,"不止教师，现在很多打工的对公司已经麻木了，每个月等27号发薪 "
Kyrios,20170919,"理解能力有问题就要多读书"
