Topic title: 禁办啤酒节让大马成笑柄  社运分子：“下次要反对养狗？”
username,date,text
Cari_LSV,20170919,"德玶衍颐国慕尼黑啤酒节始于翈卡1810年敕倢吕，士謴是当地哭獴流传孆爤籆了超过两百年皸莻穆锁的传统节日。如嚋膲今，诀侬蒸这项节目已经演变成民间的喑甽次盛大敶鋤瞅嘉年譐艟犰华会琗黽，就閔羕鍫连其他鴯座夦喔謷瞍国家包括马来镸獖坭西亚，也跟欚遮上脚步，纷纷蜺檉敁在10月份举行盛斚撰陑大的纡沎啤酒节活动気琄竪。图片来軌擸源：网络不稚輝过，哔尶凁在我蠛厎挊国盤荟举行啤酒节，向鋇媫聃来受到傂嬻僦伊斯兰组织强烈反对潉鮎，活动贰痶主樞奖貱办方在甂闭申办准证拂丧时，也难免碰钉。好比今抓榃葄年，原定于鋻蔚10月6日和噈够押7日在燶桙偻吉隆坡举行紸駦鮵的啤酒节活阕玂笺动，狝僴就因为摆蚒蕣吉隆坡市政厅亮出红灯被迫喊卡。当记者询问吉隆坡市长莫哈末阿敏取消啤酒节的籇偸崓原因葠夼讴时，他関暈儘却焴菌撔以“太敏感”壤锕为由，始终没有寇需透露半点详情。图片来翾阿瘑源：自由今日椝跙大马对曾茁鴿此，嶎嶟一名社运箐嶌分子范平东（Thomas Fann）蟋梭痥就在摕烼磹自由今日幠唍鱄大马撰写愥賮踕了一鲑演亾篇名沥蔎焾为“今日是鹳鳟馳啤酒，明日輔卡是狗儿？”的膃杗蘑文章。笋憆鮻他说，自己偶尔飭哢会喝上漥漭粄獢晅阉一杯红酒，最多也免褃是烻荋一年嫞沲才喝喝啤酒，但从补始来都没梣敏濖有酒瘾。但論朶祚是，他闎娕唗依然很关注市政府做出潞檑掛的睔鑢掅这项决定。“我栧貀从来玤鍶湺没有关囿嶨关注宗教团体提出反煊務橀对，甚至举办集沰陗会抗议这澕杌洙项集会矁眊，因鶢镜鍝为这評钻萓痄浌是各赋們人的厮籁权利。但是韛举，市政府应该依据健康、公众秩序宅幦和安全等等层面做出考量，如媒歐果只是懜跪为癑谶了囪輐满足部菡蝚分宗教组织簊摣鼍的要瓖笔鋏求，那娍铸对马来菎舟洕西亚滇眜糺这种多元屿醟攜国家蟍勼锣来说，似乎已超越了玂馅饖烶啴他们性咚的馯餐柞使命。”赯我纡他提到慒嬓帊，当时滿噥抗议这噣禸吚项活蕰齮稡动的畈偵伊斯兰组织曾表示，“这薐苚彣些邪恶膄媢的活巖矕搽动能够轻易韦嵇慭地圢鑨在社会熓腋躻间获得一嬮冔席之地氘楪饨，也可挛鲸粖以无限制袶髃地（簰捈在各处）举办，彐啺痈这烣桌对伊斯兰国盨鄆数家，比如給挂马来畎靎贐西亚跠煒絵来说，是辂价一栿环蔔件羞耻瘰羘隔的事。”他顈鼨走稓齉们甚至提及，类似的獱鳖活饁廿鸳动将绌虥会让吉隆坡变成全球最证瑒旁大讗妻煬的贩毒岉颟中心，因亪絊拻为这焐洖杳样的宨辰活动欽悼爟将痬蟃哥会促使罪案、自由性交、强奸等等问题。范平东因此反驳，“羾安材一熈磾銛个在吝懜澄吉隆坡高级挜顶蕴购物叮巅俌中心举行竚鬬的周末活动鼰瑖朧，展示榝说俀来自世界各地酙鎋庴超过250种啤酒的噖僙彴活蝷須巵动，骈佫会衍生项幢窖性交和褚胻强奸问题，还能让我噺燥鞎国阉攡成为買楅全球最大庰鶁饾的煗簇剪毒品中慤鵷心？緇墸我真鰢惿藏的很怀疑。菦凐就徵億熎是这襁苬些人褟础，让我簺輎逈们翂眪澙成为甃偍篋全球的韴诫笑柄，感谢这草櫢些荒谬瞄芾豄的指控。”图片来嵕妊幖源：网络訝汵他说，酒精和矝湹酗酒确实成锰皠为不镀港少家庭的兊癬核心问题。因此站在嗟亡鹻个贫拠葕靌饼人立场，他虝厛鈇嘷喃是绝甹仗对支持相关单位透过提高销售价格或禁止未成年礩適人阍砭购买酒精，减少酒精对茟媦楺民众造成伦笡的负面影响。“涍褿我们譇饫擎已经有禍敺尥数项法律遏制酗酒问题，当然苁鵙我相信除穉忣了禁止酒精外，还有狣毐錼更好的鉾偶方式解决问题。”“好比胻湃这紑愒个啤酒节活动輣藡，吉隆坡市政厅应该给主骯檪墭办方制定条规，确保活动桘惄苭叉齃不会笭鼗峢扰乱公众秩序。这瞟銬总比全面禁止它，同觡誸时剥夺负责任的枽谼饮酒者享受酒精的棈鮣权利来魱峰得袵犴要好吧。”但蝞滋是，范平东最关心鄍霅閿的秿饥是，这驓烯獤次让反对騄絹方“得逞”后，锔譾颔下一沟杮竏次，他衸鶛韁籫沞们又会肪訫提出另氠锞一个寏掬孧砦恒要求。“娇桡殍会是呑鮊关闭所有惰劌簣槖打的酒吧，并且取缔所有趫枹提供酒精的甋裪傇礏地方？廙欶藞以美铺峊国頂晢蚍在1920年蓽圬曾经实行挥荣的禁止酒精活煜潥焤动唔鰤为例，那根本僌肉筟就屳栏洑是蕌恞骆一蠀踗勇个失败的鼯瘈谚例子。溗秃冣不单是漛赾无法达成减低罪案的樭慧目标，反而还助长并强化了蘔齱罪案率，也促使非法制作絟闂酒精去顒和饮酒等等活动刨垉。”他脓盨也因此质疑，“酒精”祈幦繒不会磺膊蓇睷氮巓是唯驗諆佶一一赫藟个衋笶让穆斯林仇视的鵜休物品。“縕痪碋下一堝昔辟朥譀个恭袊会是箣遍蟻什么？禁止猪肉、养狗，还是討嵞不髡恱闚能展示部餐瓫愔分特定图案或符号（雕像、雕塑、十字架），非穆斯林的讖橘圸服装、非穆斯林音乐和玿棺乐器，还有藳鯫僎非穆斯林活动彤惧鱡如靥栒圣诞节、磻仰垍大宝森节、卫塞节、农历新鬒魥麗年鵟凗和丰收节？”图片園讒檞来源：网络范平东强调，禁止啤酒节并孍鹥不袂椤是舭梣觘有关公众秩序的蕞岠课题，更不匯裀梫柭是旅游业缾凈的课题，而碄鷣是整个猥嘒马来劉建西亚该关注鈻鲸虷的课题。“韗嗛这里说的孒蝇每是锖諻務，如雠潭何维护马来埿昃西亚忭鸍嗆的多元种族文化，吣毮櫞在匬弭斠不影响其报茅他种族媈闢的权益下灮鶫髑，每个桐瀐少数民族的埭奥鐑权益都必须获得保护。没有迩瀉喝啤酒的閜纨人酲资蠴不卩轊逎需要硘柔鴕参与这趢肑筙项活动揼箑，也没有蚩愐人袘骉圩被逼喝酒，就絚宿驅好比每瀥瓿人应该把自己刁邷的信念强加在銱晞僣氳蚭飌他窳喆人身上亩礅粋。”“扃蛰螩如果我彍埔巔畭碯们埍菜要他個潻人揄粭预尊重栒褺暖我们镣霛的亿懤鍴权利，那就犓綴赦应该先窦蠧翶学炾閝会尊重他縘奪豨甖曞人星囿的权利，即便朝踒我鮒凿趘们并不将坖頸认同他邒簨们鐜顱裮。”新闻背景：吉隆坡市长拒答取消啤酒节原因 “课题太敏感”DBKL不滐咲薍批准证 吉隆坡啤酒节办不帉鯒槪成"
wuyaya,20170919,"香蕉和冰淇淋和黄瓜也会很邪恶啊，所以禁止吃这些麽？"
禅师,20170919,""
GagahSetia3.0,20170919,"何此禁止养狗、再这样搞下去，未来还会很多的禁。禁止养猪禁止庆祝非回教节日禁止膜拜非回教的神禁止上非回教的网站禁止看非回教的电视节目禁止刊登非回教的书籍报刊禁止使用非回教的语言禁止使用非回教徒发明的工具禁止非回教徒进入国土最后，此地成为全世界唯一一个纯回教的国家，比沙地阿拉伯还要圣洁。"
Daewood,20170919,"可以撩撩马来妹吗？"
kmrddecade,20170919,"我有个问题，这个啤酒节一定要在吉隆坡才可以举办罢了的吗？不能去其他州举办吗？我们不可以说DBKL不给举办就没有啤酒节，所以我建议换来槟城举办。"
阿白,20170919,"所以抽烟和4D toto在穆斯林看来是神圣的"
kingpower2016,20170920,"叉叉林 简直就是个笑话。"
johnnie_jazz,20170920,"先进国都有喝啤酒的习惯，应该反省一下提出的理由？ 强奸，贩毒，这些是教育的问题。又是一堆与经济无关的政策，白养的人。"
followme123,20170920,"我覺得最根本的原因是因爲獨立初期達成的社會契約被打破了原本 非回教徒 以不干涉 回教事物 作爲條件獲得國家確保 非囘教徒 宗教自由的權利，可是隨著越來越多人向 馬來人 傳教（尤以 基督教 和 無神論 最爲甚），打破了這个契約，所以 回教徒 就開始剝奪 非回教徒 的宗教自由要解決這个問題，首先所有向 馬來人 傳教的行爲必須停止，然後 30% 華人 應該進回教"
假冒是神50,20170920,"幸好PENANG在308 MANY MANY YEARS之前就已经有OCTOBER FEST了要不然现在也敢敢被他们BAN了呢嗯嗯嗯嗯嗯嗯嗯嗯嗯嗯嗯嗯嗯嗯嗯"
jellyfish_8,20170920,"你这不是为难马犀利1号吗？现在马犀利1号已经开始“避嫌”，不在公共场所喝啤酒，吃烧肉等等等不清蒸陋习你没意识到吗？"
yk13,20170920,"这既是鸡哥嘴巴吐出来的形容：我国是非常民主的"
einsttan,20170920,"中肯，什么年代了还那么守旧，也不想想学习和平相处。"
chtan69,20170920,"废掉宗教团体才是明智之道。鬼神都是这些团体搞出来。长到这么大还活在神话故事里，羞也不羞。"
feilong,20170920,"从来就是他们可以干涉你，你却不可以干涉他们。说什么会叫法不影响非木，鬼才相信。"
hellmales,20170920,"它们可以...禁止酒精禁止养狗禁止吃猪肉禁止教会设立十字架可是...不禁止乱伦不禁止强奸不禁止贪污不禁止烂权全世界也只有这个宗教才那么奇葩"
daimon,20170920,"只是觉得他们有双重标准而已每次那宗教来说 性 啦  跟动物有关的啦 酒啦但是社会那么多问题，政治人物那么多问题 又不用宗教去改变一大堆伪君子但是很多马来人就是BUY，那些不跟他们站在同一方的马来人就被骂到臭头了所以真的要很大努力去开化他们"
qwqwqwqw,20170920,"他们每天开性爱毒趴就没问题啦，我们喝个酒就政治敏感种族敏感啦。"
ccsoon3279,20170920,"他们永远不明白“敬人者人恒敬之”的道理？？？"
bdclwl,20170920,"不喝酒的XX好像是乱伦和强奸最多数哦"
thunder,20170920,"香肠也不可以！"
金灵小筑,20170920,"就算沒有啤酒節，也是有強姦案、亂倫案、吸毒案發生。。。"
alvin_chai1101,20170920,"结果部长们出国玩突然变不敏感，雪茄红酒一口接一口，被拍照了还说，干，那么丑不是我。。"
zaqre,20170920,"喝太多酒，會出問題，就ban酒那同樣邏輯對比IS的話，需要ban什麼如果是少數人因錯誤使用而導致問題就要ban的話，那所有東西都可以ban了"
Oneng,20170920,"酱接下来要禁止 Holloween 咯？"
wuyaya,20170920,"对对对，我怎么忘记还有个香肠。"
jswongyt,20170920,"重点那族没有喝酒也是有很多强奸案拉~"
loongken,20170920,"下次会不会不能飬猪和吃猪肉？"
