Topic title: 骂了什么也没做
username,date,text
Joey2000,20170919,"很多人不满现状，当你和他讨论时，他骂得最大声，但是骂了什么也没做，也没投票。报纸写超过三百万名合格者还没登记成选民，你身边有没有一个？"
完美@1010,20170919,"身边还没不是选民的朋友多的是  "
Joey2000,20170919,"那要谢谢他们的什么也不做，才可以壮大恶人。"
Hishammudin,20170919,"憤青：投了有用嗎？還不是一樣"
使用者,20170919,"對啊，我是罵，我有做啊，但是它會魔法。對啊，我是罵，我有做啊，但是它還不倒。對啊，我是罵，我有做啊，但是它還是贏。"
xiaom25,20170919,"我身边没有这种人 我朋友身边就有！"
kmrddecade,20170919,"300万里面有290万会投国政，因为他们对现状很满意，不然早就登记反政府了咯。"
samsilence,20170919,"拿臭豆腐丢他们~"
使用者,20170919,""
samsilence,20170919,"所以拿来丢他们丫~哈哈~"
使用者,20170919,""
samsilence,20170919,"你有吃过吗~"
kel2b,20170919,"“你有回家乡投过票吗？”“从来没有。””为什么？！”（语重心长的表情）“因为我对他们的所作所为很失望。”以上是我和我的室友在几年前的对话，当年他已经35岁了却从来没有投过票。当年问他失望些什么却讲不出。这就是最佳的不投票籍口。"
使用者,20170919,""
samsilence,20170919,"我吃过两次~吃来吃去都是白豆腐味道~根本都没什么特别~就奇怪那些人还排到长队去~"
samsilence,20170919,"还是他们把你的投票地方放到远远~嘛懒烦到你~所以你才不投jek~"
使用者,20170919,""
一燈大師,20170919,"9 年了，答應了什麼也沒做。"
jellyfish_8,20170919,"骂了 --> 马上去注册 --> 投票给左青龙 --> 左青龙选上 --> 左青龙抓pokemon没开店 --> 你又骂 (恶性循环）还是废票好啦，比较不浪费时间"
samsilence,20170919,"所以都没有吃了~哈哈~之前去拜九王爷的时候，远远就闻到~挖垄沟味道哦~"
使用者,20170919,""
kel2b,20170919,"我不觉得是地点问题咯，一个没有公民责任的人是讲不听的啦。但如果政府派钱的话，我相信他会第一个pok着去！"
samsilence,20170919,"哪里懂哦~那时好奇啊~看戏都出名哦~肯定要试下的啊~结果吃下去没兴趣了~完全没有味道的~"
samsilence,20170919,"哈哈~不是有互助金派咩~他米有去拿咩~"
使用者,20170919,""
samsilence,20170919,"那就不懂了~那时很怕一吃下去就是大便味~结果就什么味都米有~哈哈哈~"
Kyrios,20170919,"说真的那些人如果去注册一人一票给反对党的话，08年早就变天了"
使用者,20170919,""
samsilence,20170919,"那时我是厨房佬叻~当然要试吃啦~哎呦~"
使用者,20170919,""
samsilence,20170919,"是这样的咯~哈哈~就是要敢吃而已丫~"
使用者,20170919,""
samsilence,20170919,"哈哈~那些蛇肉丫，鳄鱼肉也吃过哦~"
使用者,20170919,""
alisonwee51,20170919,"我身边真的有"
samsilence,20170919,"我不信你没有吃过其他野味~"
使用者,20170919,""
samsilence,20170919,"你吃素的咩~"
使用者,20170919,"不是。我是葷的。"
samsilence,20170919,"那么一定有吃过野味的~"
使用者,20170919,""
samsilence,20170919,"肉类就算了~"
使用者,20170919,""
samsilence,20170919,"走地鸡，山猪。海鱼也是野味~你吃过吗~"
使用者,20170919,"沒有。"
samsilence,20170919,"我不信~"
使用者,20170919,""
samsilence,20170919,"讲骗华~jj会变短~"
使用者,20170919,""
samsilence,20170919,"哈哈~说笑吧了~是不是这么素哦~"
jackyboy05,20170919,"改朝換代的熱忱都被希土政客消磨怠盡，還投什麼"
使用者,20170920,""
samsilence,20170920,"乳鸽，田鸡，有吃过吗~"
使用者,20170920,""
samsilence,20170920,"哇~这些都米有吃过哦~好纯种哦~"
使用者,20170920,""
samsilence,20170920,"哈哈哈~好特种人哦~"
kennyteoh818,20170920,"要赢。等久久。不到半小时。就知道输赢了。Tv 报出东马成绩"
使用者,20170920,""
大一,20170920,"选了吧。这种人很多。最好笑的是那些可以投票的。这里骂骂骂，然后投票给害他的人。"
samsilence,20170920,"哈哈~第三类人~"
使用者,20170920," 才不是你説的第三類人。"
samsilence,20170920,"你看起来就是~"
