Topic title: 蕉赖路发生严重车祸封路 往隆市方向大堵车
username,date,text
Cari_CYJ,20170920,"从蕉赖千万吉隆坡方向的路段，在今早（20日）发生严重车祸，部分路段封路，导致大堵车！据东方日报报道，该车祸事故发生于早上6时许，车祸地点是靠近蕉赖特易购霸级市场附近的万顺花园交通圈（Billion Roundabout）的高架天桥上，但并无造成任何伤亡。由于涉及车祸的车辆与罗里堵住两条道路，交警随后封锁高架天桥，驾驶人士需改道交通圈路段前往隆市。由于事故发生在上班时段，导致路段自6时许就开始堵车，车龙甚至堵至十一英里收费站，许多前往隆市的民众更是因此而困在车龙内。据悉，从蕉赖十一哩方向往吉隆坡的交通将延迟2小时，从班登英达往交通圈方向的第二中环公路路段也严重堵塞，驾驶人士可使用新街场大道（BESRAYA）前往吉隆坡。"
Carpenter,20170920,"“涉及车祸的车辆^萝莉^堵住两条道路”萝莉..."
Jason929,20170920,"原來這個小編喜歡這類的..."
thunder,20170920,"今天塞到淋那样，迟到一个小时！都是箩莉的错！"
bdclwl,20170920,"为什么我看不到萝莉的字liao的"
Carpenter,20170920,"改正了 "
ahhow,20170920,"我上班是往加影方向的，不算超级塞，但就是几乎全部司机经过桥上车祸点都放慢或停下看，导致有点塞。其实这方向是一点影响也没有的。每次看到这样我都超级火滚。"
无名好留,20170920,"佳礼编制暴露喜好了，一定是常google萝莉"
phoi86,20170920,"楼上的7位有6位都只谈萝莉。。。"
大一,20170920,"有时候车祸未必造成大塞车，而是那些不关事的人在那里看热闹造成阻塞。到底能否立法对付那些看热闹的人"
loongken,20170920,"没人坐 MRT 吗？"
thunder,20170920,"平时其实不是很塞的了，只是今天的车祸在flyover 上面，去loke yew 的只能用billion 交通圈过，所以全塞在那里，当然也要多谢那些插位的鸡婆的，加剧塞车！"
lokijuh123,20170920,"請問萝莉是什麼？？ 可以不可以吃？？"
thunder,20170920,"箩莉通常是拿来骑的！"
lokijuh123,20170920,"是不是骑馬？？。。。我還沒有骑過。。哪裡可以試試看？"
seankaz,20170920,"这网友就说出了重点。塞车是人为造成的"
samsilence,20170920,"看热闹的人"
t.c.l,20170920,"酱ngam的上个礼拜就是puchong tesco前面也是6点多"
弟兄姐妹,20170921,"其实真的只要发生小意外，整条路双方面就动不了了。大家真的保重，我也是受害者之一。"
失望,20170921,"问题已经累积，只是忽然爆发，还会连续而来的。"
