Topic title: 第14届全国大选 马华列有胜望20国席
username,date,text
abc74,20170927,"27/09/201718:00http古乃光（左起）、魏家祥、黄日升、黄家泉及何国忠料上阵的国席，是马华首5个最有胜望的选区。（吉隆坡27日讯）《光华日报》探悉，马华放眼在第14届全国大选角逐40个国会议席，期盼在“团结势更强”的党内凝结中吐气扬眉，攻下半数议席，交出亮丽成绩单。消息说，对马华而言，来届大选是场鏖战，议席赢输多寡，关系着党未来的浮沉，毕竟若在这次大选取得比5.05仅赢得7国11州亮眼，将增加党在国阵里的话语权，反之或令国家政治出现新面貌。鉴此，马华在派出“有胜算”的候选人前，已透过多个管道进行密秘抽样调查，寄望派出的人选集“高民意与高党意”于一身，一鼓作气，不负众望而凯旋而归。据说，马华订下10个必赢国席决心，除了捍卫原有7个所胜的议席，另加本届大选输掉的亚罗士打、劳勿及峇吉里，同时抱着再下10城目标。蔡智勇（左起）、廖中莱、姚炜豪、周美芬及李俊滽受托重任，以为党完成“十必胜”目标。马华综合内部所进行的调查，列出20个最有胜望的国席，排在首名的不是党总会长拿督斯里廖中莱的文冬，也不是署理总会长拿督斯里魏家祥的亚依淡，而是马华中委拿督古乃光中选的亚罗牙也。文冬的胜望排在第7个，反观亚依淡排在第2，第3的是受委中委兼青年及体育部前副部长拿督黄日升。第4位是党总秘书拿督斯里黄家泉报捷的丹绒马林，依序地不佬 、拉美士、亚罗士打、劳勿及峇吉里。副总会长拿督何国忠、拿督蔡智勇及拿汀巴杜卡周美芬，将分别上阵地不佬 、拉美士及劳勿，全国组织秘书拿督姚炜豪角逐亚罗士打，马青署理总团长李俊滽竞选峇吉里。另外10个有胜望的“红利”国席，依序为旺沙玛珠、关丹、居銮、金宝、红土坎、巴当色海、芙蓉、敦拉萨镇、振林山及务边，前4个议席准候选人为马华联邦直辖区主席拿督姚长禄、马华宗教和谐局主任拿督斯里郑联科、马华宗教和谐局主任颜炳寿及副总会长拿督李志亮。中委拿督俊瀚黑马跑出，当天兵出征巴当色海；芙蓉是马华总团长兼教育部副部长拿督张盛闻，如果遇上原区议员兼民主行动党组织秘书陆兆福，将会是场硬战；敦拉萨镇区会主席丘应权及中委兼振林山区会主席拿督张秀福，都奉令在所属区会上马；马华全国妇女组拿督王赛之回到霹雳州，出战务边。据了解，在“只许增多不许减少”的紧要关头时刻，马华或把更多的精力、人力及财力，投放在这20个国席及其他有胜望的州议席，以便集中火力迎战反对党的势头。随着马华已拟定候选人入围名单，最终人选有待与国阵主席作最后敲定，不过综合多个因素，人选呼之欲出。如无意外，大部分的国州议席人选已圈定，只有极少部分未定夺。根据推测，在20个最有胜望的国席里，只有两个出现超过一名准候选人的名字，有待宣布。第一个是丹绒马林，尽管黄家泉保住胜选，但有传在本届大选硕果仅存的积莪营区州议员拿督马汉顺准备抢滩，弃州攻国，以便寻求更大的平台施展抱负。另一个是红土坎，霹雳州团长陈大富有望初试啼音，却遇到前总秘书丹斯里江作汉的儿子，即红土坎区团署理团长江联伟插上一脚。马华20个有胜望国席      预料候选人          党职1.）亚罗牙也                            古乃光*               中委2.）亚依淡                                魏家祥*          署理总会长3.）丹绒比艾                            黄日升*           受委中委4.）丹绒马林                            黄家泉*             总秘书马汉顺                  中委5.）地不佬                                 何国忠*            副总会长6.）拉美士                                 蔡智勇*            副总会长7.）文冬                                      廖中莱*             总会长8.）亚罗士打                              姚炜豪          全国组织秘书9.）劳勿                                      周美芬              副总会长10.）峇吉里                                李俊滽          马青署理总团长11.）旺沙玛珠                             姚长禄        联邦直辖区联委会主席12.）关丹                                     郑联科         党宗教和谐局主任13.）居銮                                     颜炳寿   伊斯兰法律与政策专案组主任14.）金宝                                     李志亮               副总会长15.）红土坎                                 陈大富              霹雳州团长江联伟        红土坎区团署理团长16. ）巴当色海                           赖俊瀚                    中委17.）芙蓉                                     张盛闻                    芙蓉18.）敦拉萨镇                            丘应权          敦拉萨镇区会主席19.）振林山                                张秀福                     中委20.）务边                                    王赛之           全国妇女组主席注：*为原任议员http://www.kwongwah.com.my/?p=396667"
一燈大師,20170927,"加上馬華2.0 的 36國，華人肯定能進內閣做部長。"
stupid819,20170927," 应该不过5席"
ijibang,20170927,"全部人胜。。。只有 尿中来 败选，那有多好。。。"
完美@1010,20170928,"期待马华大胜  "
禅师,20170928,"拿之前補選的成績來參考？"
thunder,20170928,"恭喜马华勇夺２０ 国席，争取更多部长，为华社争去更多权益！"
Barryliaozs,20170928,"20？拿下十个国席就很不错了。"
AMOS5566,20170928,"競選峇吉里國席和文打煙州議席，馬華的勝面不高，雙李（李俊滽&李錦興）料鎩羽而歸。"
vvti_84,20170928,"可以保持 7-11就已经很好了。。 "
蓝火爆,20170928,"看到蔡智勇我笑了。。。。。下一届他如果得选，我从此以后不来论坛。"
miche0724,20170928,"is ok啦，只要乖乖听老大的话，从上议员，当部长，也不是问题"
kennyteoh818,20170928,"放心。我们会给你 android O"
BBJ,20170928,"可以顺便说这20处在什么州？"
dogdogman,20170928,"其實我認真這些目前7-11當選馬華仔心裡頭是期盼保持一樣的成績。因為馬華贏得更多議席的話，就必須要交功課。7-11， 14-22，21-33 都好。。馬華一樣永遠只能當YES MAN。贏得多，當時候就不能像現在那樣有大把藉口不做工，然後把國陣政府幹的一切事情都推給行動黨。當然，那些以前輸掉的候選人，和新的候選人，當然希望馬華贏得多，馬華贏得多，他們自己贏的機會就會比較多。不同候選人，心裡頭就有不同期盼。"
夜铃,20170928,"突然感觉良好，信心十足，应该可以宣布解散国会了。"
