Topic title: 哈迪是个无德行的政客吗？
username,date,text
12A123,20170928,"    一直要大家原谅贪污的第一官，但又罚踢球员的裤子短。    "
DeathofShenQi,20170928,"虛偽的邪教教主，又名神棍"
firehawk,20170928,"是兼职屠夫 。。与牛有深仇大恨！"
loongken,20170928,"【有钱能使鬼推磨】"
12A123,20170928,"还好他名字没有改成圣人"
12A123,20170928,"一个每次到巫桶活动里吃喝免费的人。。。"
大一,20170928,"我只是希望大家不要投包头党。我们不能让保守派主导国家走向。只要不投他们，我们就可以专心发展国家。"
12A123,20170928,"他喜欢吃牛吗？"
Longan,20170928,"神棍一名.以神之名招摇撞骗."
yming2475,20170928,"它是講利益不講人格 。。"
使徒保罗再分身,20170928,"他已经很明显公开愿意做鸡哥的二五仔。所以马来人看不过眼分裂出来成立amanah对抗回教党。"
mark,20170928,"哈迪只是MO1 的一枚棋子而已"
ninjaTT,20170928,"为了自身利益不顾国家利益。利用宗教招摇撞骗，给自己上帝抹黑的终极大神棍"
Quest716,20170928,"现在回教极端化的其中一个原因就是哈迪，把外资吓跑的就是哈迪。整个国家经济迟早被他弄死。Amanah也没有用的。在那么多的宗教事件上，根本没有所谓开明穆斯林站起来大声讲话。也没有人站出来，用宪法赋予的权力把宗教极端压下去。连执行国家行政的警长也屈服！ 什么国家来的！ 这样下去经济、马币肯定会一直退步下去。这种水平的国家，如果我是外资也不会投资了。 华人的资产尽量和马来西亚脱离关系，不要被连累到。"
Quest716,20170928,"哈迪一上位就搞得满城风雨。搞到各种族之间有心病、裂痕也是他。搞到大马形象难堪也是他。。。希望这两面人赶快退休养病。"
chtan69,20170928,"政客？？？我见到的是封建落后活在童话小说里的政棍而已。对国家、政治、经济毫无头绪建树的混蛋。"
firehawk,20170928,"喜不喜欢不知道 。。不过，他身佩屠刀，威风凛凛，在清真寺亲自下手屠杀牛只，是千真万确的事！"
