Topic title: 我想问有关选举的事情
username,date,text
michaellmj,20170928,"其实如果，我是说如果罢了。如果选举，出现了国阵输了，反对党赢了。中央政府要换去反对党管理。然后如果国阵硬硬不让权，还是继续管理，因为所有政府部门的阿头都pakat好，警察，法庭等的都是自己人。那么我们还可以做什么？我重新讲明，这个是一个问题，我说的情况是我自己虚构的，如有雷同，纯粹巧合。"
followme123,20170928,"別傻了，所謂的反對黨聯盟 稀聯 只是 囯陣B隊 而已，Jib Gor 領導的 囯陣A隊 輸了換 Mahathir 的 囯陣B隊 上，根本就是換湯不換藥，那些 警察、司法部門的頭跟 囯陣B隊 也是有交情的，不會動蕩的"
firehawk,20170928,"阿吉一面叫人焚烧 1MDB 文件，一面赶去机场，漏液坐飞机去吉尔吉斯探望女婿 。。总检察长第二天一大早也出国了，还有许多大官也纷纷出国 。。国内一片真空状况 。。。其实如果，我是说如果罢了。"
大一,20170928,"什么叫硬硬不让权？假如选举成绩出了真的是反对党赢，国阵也是要放手。政府部门那个时候只能保持中立，你不要忘记，我们还有最高元首在此主持大局。国阵那个时候不敢乱的。不过回到现实，国阵是不会倒的。之前我说过国阵的王牌----公务员，退休的，垦殖区，东马。这些是国阵的根，定期存款，50年不变。反对党很难攻下布城。最大的致命伤是没有首相人选，你说服不到土著选民，他们担心自己的权益受损。那些甘榜人，你只要讲火箭上位，那些人立刻忘记所有国阵的错误，立刻投回国阵。这些东西，看到麻木了。所以我敢写保单国阵不会倒。现在反对党内乱，伊党在外搅局，反而提供机会给国阵赢回一些议席。"
michaellmj,20170928,"其实如果总警长，总检察长，法庭，国会立法庭等等都已经是他的人，就是说没有法官可以告到他因为自己人，警察不会抓他因为自己人，国会立法都是他说了算因为都是他的人。那为什么还需要走人？反正如果人民出来吵，红头兵（白）和红衣兵（黑）都出来处理。我是想知道，如果面皮够厚，赖死不走，我们又可以怎样？"
jellyfish_8,20170928,"楼主你想太多了槟城308成绩出来时根根有锁大门吗？"
vvti_84,20170928,"我们只能在家reload facebook和论坛update status咯 "
michaellmj,20170928,"州政府和中央政府不同吧。可能他们觉得失去州政府的权力没关系也无需太多动作，因为他们要的只是中央政府的权力。"
michaellmj,20170928,"其实我也不懂最高元首有什么能力可以主持大局。请原谅我的无知。。。如果政府的阿头，那些警察，法庭，国会都是他的人，只要这些人不行动的话，选票说是反对党赢但是他们不走，还有谁可以赶他们走？我说如果我说如果我说如果"
firehawk,20170928,"过得了一时，过不了一世 。。那些自己人大部分是聪明人，纷纷表态弃暗投明，阿吉觉得用三十六着最安全，越快越好 。。。"
ga00,20170928,"不會 放心 如果大家都不服從，就炒了魷魚。大家以前服務najib 就是為了錢，如果換了政府，老闆也就換了，沒必要反抗，打工仔都是坐岸觀火而已反倒是那些心有鬼的，才會擔心，到時間就跑了"
jellyfish_8,20170928,"火箭以前不是常常骂根根和朋党贪污吗？到今天完全没有找到任何证据，至少根根是个没有买便宜的清官。"
Barryliaozs,20170928,"我比较有兴趣万一反对党真的夺权，到底谁当首相。"
aidj,20170928,"instagram  "
aidj,20170928,"https://cforum1.cari.com.my/forum.php?mod=viewthread&tid=3992907&mobile=2"
aidj,20170928,"看过某网友回复柔佛 书单曾派军 保护华人 "
vvti_84,20170928,"几时的事情？ "
aidj,20170928,"5。13顺便问一下 在脸书 facebook 曾看过 一贴称纳吉 参加 日本皇军 什么来着 结队(依稀记得身穿制服)是真的吗?"
kennyteoh818,20170928,"lz 放一万个心。再过100 年。国阵都不会输。"
aidj,20170928,"国阵a队 赢了 国阵b队 人马归队老马 到时候 会不会 走路 ??"
aidj,20170928,"过于武断"
followme123,20170928,"完全杞人憂天，今屆大選 反對黨 席位不要減少太多就好偷笑了，還想懟淋 囯陣"
大一,20170928,"9#其实我也不懂最高元首有什么能力可以主持大局。请原谅我的无知。。。如果政府的阿头，那些警察，法庭，国会都是他的人，只要这些人不行动的话，选票说是反对党赢但是他们不走，还有谁可以赶他们走？你到底要谁走？选举的意思是选国会议员和州议员。现在你说的是中央就是联邦政府，国会选举。一旦选举成绩揭晓反对党赢了，自然反对党的党魁在多数的议员支持下会觐见最高元首，宣誓成为首相。政府部门的头--首席秘书，警察总长，军方首长自然要服从这项委任。新首相是政府领导人，政府部门自然要服从。就好比你做工的公司换了老板，你敢反抗？你的饭碗在里面哦。新老板没炒你算你幸运了。工照做，粮照出。"
followme123,20170928,"老馬 成立一個新黨就是為了懟淋 Jib Gor，把 Jib Gor 得罪到這种份上，Jib Gor 哪裏可能讓他 ‘歸隊’？"
michaellmj,20170928,"你到底要谁走？选举的意思是选国会议员和州议员。现在你说的是中央就是联邦政府，国会选举。一旦选举成绩揭晓反对党赢了，自然反对党的党魁在多数的议员支持下会觐见最高元首，宣誓成为首相。政府部门的头--首席秘书，警察总长，军方首长自然要服从这项委任。新首相是政府领导人，政府部门自然要服从。就好比你做工的公司换了老板，你敢反抗？你的饭碗在里面哦。新老板没炒你算你幸运了。工照做，粮照出。比如说，反对党赢了，中央政府由反对党接收。新的首相宣告了。可是旧的首相不肯走。假如政府部门的头--首席秘书，警察总长，军方首长全部都是旧首相的人。他们不赶旧的首相走，也不承认新的首相，直接无视最高元首的情况下。人民游行抗议就派红头兵和红衣兵，就如之前的513事件差不多的话，我们可以做什么？我知道是很牵强，可是如果全部都是他的人，没有人赶他走的话，他厚面皮到还是继续掌权。。。不过说说下，又好像不可能。"
大一,20170928,"25#你的想法很奇怪。假如新首相已经宣誓，那个旧首相已经没地位了，你懂吗？你不肯离开办公室就是藐视宪法。可以赶出去。至于其他政府部门，肯定是听新首相的话。你是担心纳吉会赖死不走？你不必怕。假如选举成绩真的一面倒，他肯定第一个逃走。不过目前来看，不会变天。"
使徒保罗再分身,20170928,"楼主小胆到笑死人。"
寂寞的小子,20170928,"是這個吧？"
mark,20170928,"MO1 有选委会和警方的配合， 来届大选肯定狂胜...."
大一,20170928,"29#帮什么？假如大多数土著还未睡醒，单靠非马来人票做不到什么的。"
gaomin,20170928,"楼主想说的，不知道是不是这个，希盟赢了，敦马争着做首相，赶都不走？"
gaomin,20170928,"这年代，也不知道穿短裤是会被罚的，小心驶得万年船。"
leouy,20170928,"顺其自然，继续赚钱"
