Topic title: Uber司机发短信称要和她“睡”  勇敢乘客报警抓人！
username,date,text
Cari_LSV,20171002,"私家车召车服务Uber再爆丑闻！色胆包天的涯宠Uber司机竟然餃軞在载送女乘客回家后发短信性骚扰她，还公然询问她：我咜懒璎今晚把你包起来球垮可睔畐以吗？（Saya bayar awak malam ni boleh？）庆幸阊憠煡的価潃極是，女乘客并非胆小怕事之銣陦人，她接树猍杠到短信后就炑庉马絑轧上向Uber公司举报该名司机，同敵鍚时报警求助，最终成功将司机绳之扲坟以法！图片来测暀源：Nur Damia 面子书网友Nur Damia表示，不样捙喪幸遇縚韙上性骚扰司机的譢鏷膯女乘客正是搦鐯阨她的筊踮非穆斯林好友S。她透露，事发当裤螰时大惰僦棠概是詽芽频半夜，S当駡精瓯时是爦籟蕴独自一敇癿瑆驿人，因此便打算电召Uber司机从雪兰莪梳邦再也的簣懧暙购物箢彻豾中心犦萶一带回到啭溔住家。S告诉Nur Damia，坂屉溭在她一捭膏上睘倍焑车后，司机寜煙就趚樏跠和她聊天。一歜儅亄开始，两徔鰑蕻人的忸厛凄对傓除伤话内容并无极悛不妥。但在缷唊欒几分堄餙奔钟后，司机似乎故意走错路，让整个鎕迶櫼车程变得更久。这铢崔娮氉蹜时，司机便开始显得療肎不对楬仍劲了已钲。司机 ：你吃饱了蓎鄝吗？儻例如果肚子饿觲氝鳷的话，廾赩亖我可歞嵟以带你去雲锤栜用餐。S ：没关系，不鵦鴱樇拐逇用了軇墧，我阮焝祕想回家。司机 ：你閘洄鷐和谁一毀犌鱏起住？窶鼭捱我可以鰙茿嘬跟你回家吗？S ：不妻嗅铲洔用，鵹竾懬我禘蛵口和家矩螲人一駪陉呝起住，我题笔的崿蜡哥哥现轫熐在正等着戊婶我。（为宛鼿酊罉庍了保护自己，S开始捏造故事）好不臯瑚棛容易抵达目竼逶瘞的郐呷地后，S还特意让司机停在囮庨较远箙販的地钛餚鶨方，避免让司机知道自己筍刡的真正住处。“非常庆幸佞蝔濍的是蜆阣，S下漄撍车后打算步行回到詼毁皱住所崙醞舓时，刚好有叜仒几名公寓保安正在呃宵附近巡逻。”图片来鲿棽源：Nur Damia 面子书S本展讗鰪以为郯邟事情已经告一龋苚尚段落，没想到轀磗，司机竟透过短信与电话骚扰她。“S收豌機到来佻帼自司机的丿昃4通未接来咒事駼电和犨限一躶厏封短信，那个踽濧短信写着：菃涞衈我今晚付费给你，可歃豲墳以吗？意思是垃瀿说，礠鮝鱪我想羽鸱裃要付钱，让S跟他逯鶊隄“睡”。”图片来蟸粃源：Nur Damia 面子书后来坧啘，S就涴俁马皡蓎辊上语带警告咓缏地回复司机，同时蠒媿向Uber骝騍萅和警方报案。而翖羻在隔天，S再次收到顅笪访司机的犻鐸濇道歉短信，绩襃氩不过喢旷殶一切都已经太迟鏭拾了。“米已成炊，已经报案荼誦髛了，人押徳也已经落网了抬骆幄。”燍騺为此，她特别警告司机捜克歀们：你只有餽硟荎一晵荘个芃鬺责任，那就莛肠穢瘶是把你的摦黙乘客安全地慥桔鍳送娿捔到目椡璁的地阑嬢。觎霘如果想澬鐫槝要找牺錰籠人约会鎳澧的癕枬话，赧熁大可使撼虑吡用交友应用竃磤程序。无论鎰憐如何她强调，S虽然是闪羃非穆斯林，但她当峸衕时的鍦撓穿着非常普通，并没墄扄眓有穿着性感的顖卂虌服装。“包头巾和堧氣穿着密实樻廥的女子也同样滬翣会沦为誼捻强奸案的鉀庄受害者。所以贱絹黍，请摒弃责怪受害者的裂谂摰恶习，也抛掉性别歧视的限審绲心态。”图片来朧趷源：网络她同禣批窸时提醒女性，如礿彾果必须彮敆在没畋肢偍有办法之抜犹絧下，必须单独搭乘Uber的擽狨话，记得占覕要谨记瘬霼以下肹牼闀几点：- 可凾潽醯以攟濦的话，一傌單悓定要妳齿坐在篳夯歳后座- 栺鉙浡如果司机很可疑，请暶錘埫一定寕敭要开着手机，然后把司机和潙慈譲轿车的峈熛鰗资料告诉亲友- 駕搒不惞鑡竤要刺激司机，否则情况棪潷僡会更加糟糕- 胺揻繱不要嚪謃裑慌张，记得要衙斳保持冷静。Nur Damia表示，虽然自己的瀚岫鵂朋友不寒熕幸遭司机骚扰，但她依然对瓡皏Uber和晟恮耇Grab雘鐑的召车服务臗幈唫有信心。她也深信，外头还祥綧有很多好司机，而她也不劓鋦会姺皻蹱停止使用僊橗也类似的詯粆载召车服务。"
情牵軒尼詩,20171002,"Saya sewa engkau malam ni boleh???这样写应该不是想"睡"了吧。哈哈哈哈"
Akira_sendoh,20171002,"Ini mesti kerja Melayubukan main miang punya gatal"
immigrant_at,20171002,"这马奶友看捷克黄片 Faketaxi 太多，把假戏当成自然行为了。"
阿白,20171002,"糟糕, 那天我开玩笑的向一个朋友说: 我怕鬼, 可以跟你一起睡吗?如果她报警, 我的人生就毁了"
洗零,20171002,"怪不得这么多猪哥驾uber"
SurveyPlayer,20171002,"看看，不可以喝酒的人不是都在想干坏事吗？"
盡用話題,20171002,"人家只是开玩笑问两句，玩不起就不要搭uber来了"
chiew2005,20171002,"人家只是诚实表达自我意愿，你拒绝就算了还要报警，我要给你差评。。哈。。"
devilsroad,20171002,"满脑子性和强奸，猜一种族。可怜，回家后说不定会拿自己的女儿泄欲。"
大一,20171002,"这种人报警就对。死人渣，很多人驾车规规矩矩找吃。这些害群之马去跳海啦。要叫鸡去妓院。没钱卖自己的车啦！！！"
Mr.Bean,20171002,"一小撮不规矩的司机破坏uber的名声了，如果再次有这类新闻传出来慢慢的大众一提起uber马上没有好印象！"
cikmekyee,20171002,"性骚扰在马来西亚是一种罪行，不是说你在开玩笑就可以脱罪的。"
Daewood,20171002,"等艳遇，嘛，不用乱问"
ijibang,20171003,"女生最好不要半夜三更一个人在外。。。又叫TAXI 又叫GRAB UBER 的。。。会自添麻烦。。。"
秋风死书,20171003,"晕，那女人是不是自以为自己很漂亮？这样的问话言语基本不可能告的入罪（有错请法律人士指点），世界上就是有这种又现代又不开明的非穆斯林才会激发很多事端。一个人是不是妓女也得问过才知道的嘛，难道妓女能大字报写自己是鸡？人家问一次而已。如果有个女的问我“今晚要不要给钱？”，我是不是可以报警呢？看她回复就懂是臭嗨女，要是惹到我看看一定piak死她为止。"
我是传说,20171003,"我猜根本就是佬作，我才不会上当呢。"
秋风死书,20171003,"记者有没有去采访人家的？妳们好像很轻松哦，如果是假新闻你也是得负责任的。我建议你们不如自己炒作佳禮网友比较好：网友A时常被网友B性骚扰，网友C一直被网友K叫去吸毒被禁言，网友Z今天又在网上露宝结果报版主处理了。"
