Topic title: 反驳陈国伟「歷史罪人论」　沈同钦：或许將创造歷史
username,date,text
abc74,20171002," 最后更新 2017年10月2日 17时11分（马六甲2日讯）针对民主行动党全国代主席陈国伟促退党的甲市区国会议员沈同钦等人勿当歷史罪人，沈同钦反指陈国伟是在恐嚇及威胁，并表示他们在来届大选是否以独立人士的身份出来竞选的决定不会轻易地受到任何影响。沈同钦今午召开新闻发佈会时套用行动党常说的「写歷史，创奇跡」，並指他和吴良山等人並不是歷史罪人，反而或许將会是成为创造歷史的人，在来届大选中以独立人士的身份胜出，一切从马六甲开始。沈同钦说，他们目前尚在观察局势，尚未决定是否会以独立人士的身份出来竞选，一旦有了决定就会隆重地对外做出宣佈。鲁容州议员吴良山则促请行动党领袖別三番四次地攻击已退党的他们，因为这或许將会弄巧反拙，令到马六甲行动党失去了基础票。他说，从陈国伟所发表的「毒瘤论」和「歷史罪人论」中，已经突显出马六甲行动党领导层缺乏信心。http://www.orientaldaily.com.my/s/214890"
syncsw,20171002,"马国历史上都出现过好几次独立人士胜选了，哪来的创造历史？这几条水如果以independent在马六甲胜出，林北发誓将officially搬出马六甲。"
skyline68,20171002,"行动党不是说不怕3角战的吗？现在又怕这几位马六甲有口碑的人。马六甲人敢敢的送这4位有良知的人进国会和洲会！"
bcteh,20171003,"「歷史罪人」帽子也太大了"
alex2083,20171003,"这几个独立竞选最好输，给他们醒一下。"
pig733,20171003,"等等不小心，赢了，为了救国救民，招安毒瘤，漂白历史罪人，然后回收垃圾。沈老伯是很有骨气的！"
山村野夫,20171003,"支持毒瘤帮师徒北上檳城跟林神死过。"
Engineer,20171003,"沈同钦的按柜金冻过水"
JowY,20171003,"陳不就一粒蕃薯？老實講很多年輕黨員有才華多多，這種庸才只是在阻擋黨前進"
Engineer,20171006,"这就是陈做了代主席这么久都无法升正的原因"
