Topic title: 本地農產品出口獲得青睞，果農的努力獲得回酬改善生活，卻被火箭用來政治化煽動人民
username,date,text
一燈大師,20171002,"本地農產品出口獲得青睞，果農的努力獲得回酬改善生活，卻被火箭用來政治化煽動人民。從國家獨立至今，本地榴蓮價錢最近因為出口獲得青睞，才飆升，卻被火箭用來政治化煽動人民抹黑首相 “不懂民疾”。試問榴蓮如米飯那樣是必需品嗎？ 一年 365 天，佔了大家飲食 diet 的多少 % ？難道果農種榴蓮，是為了賣 RM1 一粒嗎？自從東盟經濟體開始，東盟各國都競爭激烈，那些能力較差、貿易商品不吸引的國家，已經紛紛落後。難道馬來西亞也要落後才甘願？到時候火箭是不是又有話題攻擊納吉，罵納吉不會把榴蓮推銷出國外？林冠英，你真的越來越垃圾，甚至垃圾也不如，為了反而反。好。你有本事的話，就禁止全檳城的榴蓮果農不能出口，然後在檳城舉辦 RM 1 榴蓮促銷嘉年華，當個體會 “民疾” 首長。"
leouy,20171002,"果农和吃货投票看谁多"
一燈大師,20171002,"林冠英，是時候插回你自己州的養蝦業者了，你要插回你自己也可以。出口新加坡檳養殖場訂單增30% | 東方網需求增產量減入口海產漲價30% | 光明日报"
jellyfish_8,20171002,"西门说出口榴莲去中国是“进贡”"
一燈大師,20171002,"是啊，根據火箭的：1）邏輯 A，投資是朝貢；2）邏輯 B，被人進來投資是賣國。恭喜檳城獲得朝貢，然後賣掉檳城。"
feilong,20171002,"减少种油棕，大家一起种猫猫，可以减少破坏环境。"
一燈大師,20171002,"賣 RM1 一粒，你種嗎。  "
假冒是神50,20171002,"凡是东海姓陈OR姓淋 UNCLE HATE到底说给MCA GERAKAN AND UNCLE ZERO 定了的族奸LKSLGE 听嗯"
cct2050,20171002,"油棕种下去野生动物减，河里的鱼也不见了"
假冒是神50,20171002,"为何?"
hangz81,20171002,"请支持林神，希联禁止我国产品出口到外国来保障我国公民可以以低廉价格购买，别让外国人抬高我国物价"
feilong,20171002,"甘榜长大的孩子，小时候河里很多鱼，可以抓到斗鱼。大量种油棕后，河水巧克力色 ，多数鱼类都死了。除了化肥除草剂的危害，油棕的种子掉入河里也会污染河水。种植树胶，可可，椰子和水果的河水就比较干净。印尼朱去年烧了几百万公顷森林，地球温度明显上升。彭亨是重要的食水来源，也疯狂的开森林，迟早一起死。婆罗洲原始森林也大量减少，那个唐山老板油棕企业去年还被红毛抵制就是这个原因。"
假冒是神50,20171002,"外国?LIM GUAN ENG有那个外国的淋粉?有。。。。UNCLE记得TOKONG LIM GUAN ENG 很出名他杀狗杀到全世界认识它都呸呸呸它那一次ONLY嗯嗯嗯嗯嗯嗯嗯嗯嗯嗯嗯嗯"
paris.lean..,20171002,"你做什么生意？有修读过类似的经济学课吗？看报纸打字斋Talk渡日你就别学人扮经济家了"
假冒是神50,20171002,"化肥中国用得最多它奶奶的呸"
jellyfish_8,20171002,"奇怪，Penang top叻怎么京皇港不建在槟榔啊啊？槟榔郎这次走宝了。要是根根在，那条铁路就是槟榔贯穿霹雳州去到吉兰丹。。这是命。"
假冒是神50,20171002,"那个婆罗州老板再不知悔改的话等天收好啦嗯"
一燈大師,20171002,"人家火箭軍師劉鎮東很會選中資的，說不定拒絕了。"
syncsw,20171002,"其实在在野党中间人抬高价钱害的 "
syncsw,20171002,"不要pusing 来pusing去，投资不是进贡，不过纳吉哥哥跑去美国的确是进贡。不要pusing来pusing去，纳吉哥哥给中国CCCC以550亿建造价值290亿的ECRL合约就是卖国 "
jellyfish_8,20171002,"刘阿东的居銮，三年来，最明显的就是交通圈变漂亮了。。槟榔会不会被其它州迎头赶上？"
梦想之追求者,20171002,"怕就怕在能够出口的license只有一张，全部果农都以rm1卖给这个人，而这个人就以rm100卖去给中国真正获利的不是果农啊以上內容純屬虛構如有雷同純屬巧合"
北方未明,20171002,"那以后也别推广檳州，应该要想办法把檳州搞得一文不值，东西自然就便宜。"
qazz1947,20171002,"日本人都把本土最好的东西留下来。"
cct2050,20171002,"johor苏丹出资做的关肿瘤东 x 事情"
jellyfish_8,20171003,"啊，一语惊醒梦中人，原来刘阿东什么都没做 "
hangz81,20171003,"但价格一样高昂。 不过却可以借这吸引外国人去日本旅游。"
jellyfish_8,20171003,"楼主问得真好：难道果农卖的榴莲一粒只值RM1？"
Orochimaru,20171003,"榴莲尾好像是rm2,好怀念那段日子"
Orochimaru,20171003,"榴莲之后下一个会不会到奶粉又再大起啊阿鸡的功劳"
jellyfish_8,20171003,"我想大部分大马人会敞开胸怀乐意看到马中你侬我侬的关系，为一带一路带来更大经济效益。华人骂卖国的，可能他见不得马中关系太融洽。难道这损了他的利益？会是哪里人呢？"
jellyfish_8,20171003,"价格永远跟着需求还是很多人不介意现在的价格"
一燈大師,20171003,"林冠英臉書被『公幹』了，人民的眼睛是雪亮的。 "
梦想之追求者,20171004,"几时是榴莲尾啊........."
jellyfish_8,20171004,"多希望猫山王和黑刺卖RM1一粒 ^_^"
一燈大師,20171004,"不可能的。RM1 是那些兩個拳頭那麼大的 durian kampung。是名種榴蓮的話，產量過多最便宜時刻， RM1-2 應該吃到一包果肉的。"
jellyfish_8,20171004,"没想到大师还是榴莲高手～榴莲树和棕榈油一样从种植开始幸运的第五年才开始收成一粒买RM50都不能够回本如果一粒卖RM20榴莲园主的心怎么不会淌血？"
nothandsomeguy,20171004,"虚。。。。大师不要敲锣打鼓这么大的宣传。近来抽税官check到这么紧，他们以为个个园主赚很多，等下个个抽税官排队去check每个园主，屈他们几年没给税，个个中罚款，那时候又哭爸哭妈。大师，你居心何在？忍心看着他们血汗钱被抽？"
一燈大師,20171004,"你被那個唬嚇帖洗腦了，原來政府依法追稅會讓華人滅絕。"
nothandsomeguy,20171004,"几个人被追了几千万，脸都青了，还是你认为几千万对你来讲小意思？"
一燈大師,20171004,"幾千萬是從哪裡來的？ 國家追稅是靠誣衊還是靠算出來的？"
nothandsomeguy,20171004,"追旧账就有，这么多繁复的条列上市公司随便都能抓到一条。但有一个疑问，如果以前税官可以过关，为何现在不能过关？procedure换了？"
一燈大師,20171004,"凡事講證據， 可以打官司呀。馬哈迪說截斷了希盟的收入，所以有希盟的律師去幫助這些被追稅的企業公司嗎。"
nothandsomeguy,20171004,"无端端要烦官司，吓倒脸青尿漏。亏你还讲的蛮轻松。"
一燈大師,20171004,"有道理有證據，當然站得住腳呀。以火箭粉的邏輯，不敢告就身有屎了。"
nothandsomeguy,20171004,"为何税收局不搞清楚procedure,每次一时一样，避免不必要麻烦。不是一单了，已经几单了。在不清不楚情况下被saman,还要去打官司是劳命伤财。"
一燈大師,20171004,"是呀，全國就這幾家有問題。那麼是其他人的問題呢，還是這幾家公司的問題。"
