Topic title: Syed Saddiq 幾時去報警和報反貪會？【更新：反貪會不耐煩了，叫他快舉報】
username,date,text
一燈大師,20171004,"Syed Saddiq 幾時去報警和報反貪會？【更新：反貪會不耐煩了，叫他快舉報】**************************************Syed Saddiq 幾時去報警和報反貪會？Hamidah 和 Anina 已經去報案了。Hamidah 和 Anina 是 Syed Saddiq 新聞會上，指的土團黨其中兩位各自收取了首相代理人 5百萬而退黨的創黨先驅。"
一燈大師,20171004,"既然火箭粉支持的希盟是打擊貪污腐敗，應該會支持 Syed Saddiq 報警，對不對？否則希盟包庇貪污腐敗，那還支持來幹什麼？"
vvti_84,20171004,"人家会说反贪会都不会调查，投报来浪费时间咩 "
仓底货,20171004,"又伤心又难过的表演真精湛。"
一燈大師,20171004,"Syed Saddiq 還稱自己有交談的錄音，希望他寄去 WSJ 和 SR  然後播放出來全世界聽。"
vvti_84,20171004,"looks like me, sounds like me, but is not me吹他不涨 "
一燈大師,20171004,"在新聞會裡被記者問時，捍衛貪污腐敗的對答更精彩： "
一燈大師,20171004,"Syed Saddiq 不交出錄音，首相代理人 “Habibul Rahman” 想演出也不能出場。"
一燈大師,20171005,"美男子哭了。 "
JowY,20171005,"Lol 這條水值得那麼多關注咩"
一燈大師,20171005,"美男子梨花帶雨，你不想呵護嗎？你不心疼嗎？         "
JowY,20171005,"如果希盟贏了安華被放出來，嘛嘛可以用他讓安華再中美男計進去蹲"
一燈大師,20171005,"到時候或許同性戀合法化了。   "
chinapee,20171005,"你做狗政的RUNNER太明显了。。。。 所以没人BUY你这鞋垃圾帖的。。 "
假冒是神50,20171005,"LKS是不是RUNNER?YES?ORNO?二选一嗯嗯嗯嗯嗯嗯嗯"
一燈大師,20171005,"應該這樣問：LKS是不是RUNNER?YES，是 runner。ORNO，是 runner。二选一"
paris.lean..,20171005,"嗯嗯嗯，，丑人多作怪快谷条便来给大家看"
paris.lean..,20171005,"吃了老妈老婆多少月饼?明年还打算再白吃吗?"
chinapee,20171006,"他是不是RUNNER不关我事， 可是你这RUNNER每天PO CARI的都是狗政的大便味。。。。除了狗政贴， 还有别的贴吗？ RUNNER。"
一燈大師,20171012,"【更新：反貪會不耐煩了，叫他快舉報】"
