Topic title: 装大耳朵，或大碟
username,date,text
can_fei_ren,20171004,"什么装“大耳朵”，报纸怎么不敢直接写装“大型卫星接收器” 或装“大碟”。。会被处罚。大选要到，政府避免人收看外国节目，到处禁止人，也到处处罚。"
20171004_120057.jpg,20171004,"只有 停电 这一招"
aidj,20171004,"相信很多网友旧家都有安装。大家低调不要乱说就行了。东马更多人有安装，很多加油站都有安装大碟，是不是全部加油站都必须撤下才是公平呢？"
can_fei_ren,20171004,"去东马看看咯，敢抓吗？"
梦想之追求者,20171004,"你买星洲日报来看哦？"
kmrddecade,20171004,"xtro 赚不到钱。。。。。。"
sem,20171004,"掛牌公司盈利遜色，會直接影響股價的。 "
AMOS5566,20171004,"那是公司的报纸，我是白纸都买不起的穷人。"
can_fei_ren,20171004,"东马这边到处都是这种大耳朵。"
monster.inc,20171004,"东马几十年前就开始装大耳朵了，看死他们不敢抓。"
gaomin,20171004,"根本就是烂台，一个节目一天播三次，有时两个台播同一个节目，还重播又重播。"
gaomin,20171005,"东马真的很多，而且超大的"
cheehong212,20171005,"现在是网络世界，Stro搞垄断行不通了"
YTS_ATS,20171005,"加油站的大碟是用来收电视节目，真的是长见识了"
krip,20171005,"现在互联网那么发达，很多好看的节目都能上网看了，这些什么astro的大天线大耳朵好像没什么市场了，就像卖vcd的也是，没什么顾客了。"
Mr.Bean,20171005,"请问在北马哪里有得买?可以收到泰国台吗?"
阿白,20171005,"网络上现在什么淋都有，禁来做么？ 根本就是为了要保护朋党利益！"
thunder,20171005,"現在流行電視盒子了，除非沒有網路用，不然沒什麼人想裝大耳朵了。p/s:什麼是astro?那個沒幾台節目能看得下，然後還要每個月還錢的那個？"
melvinlau,20171005,"去过sarawak就知道大耳朵几乎是居家必备"
Orochimaru,20171005,"為什麼安裝是犯法的話，火箭一大堆到東馬開講座會的看到後，不在國會裡施壓中央政府去執法取締？火箭這是包庇犯法嗎。如果火箭和國陣一樣，選火箭幹什麼？"
can_fei_ren,20171125,"听说njoi也是xtro化身，一直重复的节目不懂那些人申请来干什么？"
can_fei_ren,20171125,"加油站也不能放大耳朵啊！只许奸商放火，不许百姓点灯。"
畢畢畢,20171125,"数日前有看到一个报导，不知哪家盒子要进来我国合作，所以开始清非法道路，为大财团开路"
