Topic title: 听到最新消息隆新高铁或改路线  在“森林城市”增设高铁站了
username,date,text
aidj,20171006,"财经周刊《The Edge》早前引述消息指出东海岸铁路计划（ECRL）成本会增加150亿，如今连隆新高铁的建费，也 ...赫京森：听到最新消息．隆新高铁建费料逾620亿东南亚研究所（ISEAS）高级研究员赫京森博士预测，长达350公里的隆新高铁建造费将介于200亿至250亿新元（约620亿至775亿令吉）之间。（吉隆坡5日讯）东南亚研究所（ISEAS）高级研究员赫京森博士预测，长达350公里的隆新高铁建造费将介于200亿至250亿新元（约620亿至775亿令吉）之间。财经媒体《The Edge Markets》报道，赫京森日前在新加坡艾芬黄氏资本（Affin Hwang Capital）会议上发表演说时指出，杨忠礼集团在2006年为这项高铁计划的进行估价时，所预测的建造费为27亿新元（约83亿令吉）。赫京森说：“随后首相署表现管理和履行单位（PEMANDU）进行了自己的分析，将数额修改为55亿新元（约170亿令吉）。现在，我听到的最新消息是200亿至250亿新元。”地下建筑成本高地面5倍赫京森解释，用于轨道建设、电气化和系统集成的建造费预计高达35亿美元或50亿新元（约155亿令吉），相等于每公里的建造费用为1000万美元（约3100万令吉）；此外，用于基建的费用，包括桥梁和隧道工程的建设，可能花费约150亿新元（约465亿令吉）。“地下的建筑费一般比地面高出5倍，因此即使新加坡只占据了铁路总长的6%，但由于土地稀缺，隧道费用预计会较高；而60辆拥有4车厢的列车费用，预计为17亿新元（约52亿令吉）。”赫京森补充，建设高铁的土地费用，并没计算在相关的费用当中。赫京森也预测，隆新高铁往返吉隆坡和新加坡之间的单程票价约为60新元（约186令吉）至65新元（约200令吉）。他认为，为了弥补高铁的高昂建造费，当局必须透过非票价方面来赚取更多的收入。“就如日本高铁的情况，三分二的收入是来自票价，三分一的收入则是来自周边的酒店和商场。”文章来源：星洲日报·2017.10.06原文：Expert estimates cost of KL-Singapore HSR at S$20-25bDoes China have the inside track in race with Japan for SINGAPORE-MALAYSIA HIGH-SPEED RAIL CONTRACT?|SCMP（约146.57亿美元 至 183.21亿美元）* 1 USD = MYR 4.2300BNM 提供"
aidj,20171013,""新隆高铁"或更改路线 在“森林城市”增设高铁站2017年10月13日 16:23马来西亚柔佛森林城市沙盘。（照片：Today）0据报道，连接我国和马来西亚的“新隆高铁”可能更改路线，在柔佛的“森林城市”增设高铁站。马国《新海峡时报》引述消息人士的话说，中国房地产发展商碧桂园集团向马国政府提出这个要求，而双方正在磋商在“森林城市”增设高铁站的费用。由于相关部门可能需要进行可行性研究，因此马国陆路公共交通委员会也会参与讨论。报道也指出，如果当局决定答应碧桂园集团的要求，“森林城市”的高铁站将成为柔佛新山的新交通枢纽。- 958/WH"
大炮勇男1,20171006,"怪不得来回隆新廉价飞机票起！起！起！都没有了所谓的BUDGET AIRLINE？！为了高铁铺路！？"
aidj,20171006,"全球变暖将增加飞机起飞难度燃烧更多陷恶质循环。浅见。"
雷克斯R,20171006,"有没有计算到用多久时间回本 "
professiorKing,20171006,"建材方面，中国以严打环境污染为题，关了很多钢铁场的炼炉缩减了生产量。这个又是一大大增加的开销。"
aidj,20171006,"个人粗略计算过，初期肯定是要赔本。预估30~50年内回本。取决于哪一国提供贷款政策更为优惠的方案。"
大炮勇男1,20171006,"回本？会的！马奶虾应该可以的！？三十再三十再三十年？！"
aidj,20171006,"成本(不包括土地)建2条轨道有分 直通 和 停站。可想而知 直通票贵 客流较高2016.7.19新马两国政府今天签署新隆高铁合作备忘录。新隆高铁将设有八个高铁站、三条路线，其中包括新隆国际直通路线和马来西亚国内路线。新加坡和柔佛依斯干达则开辟接驳服务，以满足新柔两地的需求。预料，建造工程最快后年展开。新隆高铁合作备忘录签字仪式，今天在马来西亚吉隆坡举行，由我国基础建设统筹部长兼交通部长许文远，以及马来西亚首相署部长阿都拉曼达兰签署。我国总理李显龙和马国首相纳吉见证了签署仪式。合作备忘录就发展模式达成七点共识，包括经营、融资、移民与关卡处以及路线等。（图：SPAD、LTA）新隆高铁全长350公里。高铁站共有八个，从吉隆坡大马城一路到新加坡的裕廊东。新隆高铁设有三条路线，新隆国际直通服务直接从吉隆坡开往新加坡，中途不会停靠任何站，全程90分钟。马来西亚境内服务则途经七个站，包括布城、芙蓉、爱极乐、麻坡、峇株巴辖和依斯干达公主城。新加坡和依斯干达接驳路线，则只会穿行于新加坡和伊斯干达布蒂里。（图：SPAD、LTA）新隆高铁预计十年后，也就是在2026年全面投入运作。新马政府在2013年宣布兴建新隆高铁，原本预计在2020年建成。两国政府今年底将签署，有法律约束的双边合作协议。- CH8/LZ"
aidj,20171006,"不必担心 中国东北 钢铁严重过剩问题在土地"
SuperKedah,20171006,"不得不讓人懷疑其中立性....."
yming2475,20171006,"看來雞哥又要去北京一趟了 "
cct2050,20171006,"国家建设基本很难回本"
